index,state,year,name,type,city,county,enroll,mmr,xmed,xper,lat,lng
1,Arizona,2018-19,A J Mitchell Elementary,Public,Nogales,Santa Cruz,51,100,0,0,31.3478189,-110.9380314
2,Arizona,2018-19,Academy Del Sol,Charter,Tucson,Pima,22,100,0,0,32.2219215,-110.8961031
3,Arizona,2018-19,Academy Del Sol - Hope,Charter,Tucson,Pima,85,100,0,0,32.1304932,-111.1170048
4,Arizona,2018-19,Academy Of Mathematics And Science South,Charter,Phoenix,Maricopa,60,100,0,0,33.4854475,-112.130633
5,Arizona,2018-19,Acclaim Academy,Charter,Phoenix,Maricopa,43,100,2.33,2.33,33.49562,-112.224722
6,Arizona,2018-19,Alfred F Garcia,Public,Phoenix,Maricopa,36,100,0,0,33.4353194,-112.1168284
7,Arizona,2018-19,All Aboard Charter,Charter,Phoenix,Maricopa,24,100,0,4.17,33.523322,-112.1337533
8,Arizona,2018-19,Amerischools Academy - Yuma South Campus,Charter,Yuma,Yuma,22,100,0,0,32.690013,-114.623427
9,Arizona,2018-19,Arizona Cultural Academy,Private,Phoenix,Maricopa,26,100,0,0,33.3756163,-111.9929104
10,Arizona,2018-19,Arizona Desert Elementary,Public,San Luis,Yuma,78,100,0,0,32.5006114,-114.7810041
11,Arizona,2018-19,Arthur M Hamilton,Public,Phoenix,Maricopa,35,100,2.86,0,33.430508,-112.103145
12,Arizona,2018-19,Bella Vista Elementary,Public,Sierra Vista,Cochise,54,100,0,0,31.5633897,-110.2810555
13,Arizona,2018-19,Blenman Elementary,Public,Tucson,Pima,54,100,7.41,0,32.2429283,-110.9275187
14,Arizona,2018-19,Booth Magnet Elementary,Public,Tucson,Pima,34,100,0,0,32.2145843,-110.8375036
15,Arizona,2018-19,Butterfield Elementary,Public,Tucson,Pima,57,100,0,0,32.3459724,-111.0390519
16,Arizona,2018-19,Carrillo Intermediate Magnet,Public,Tucson,Pima,47,100,2.13,0,32.2152945,-110.9747402
17,Arizona,2018-19,Casa Blanca Community,Public,Bapchule,Pinal,54,100,0,0,33.1175337,-111.8860664
18,Arizona,2018-19,Cesar Chavez Elementary,Public,San Luis,Yuma,98,100,0,0,32.4983248,-114.7530985
19,Arizona,2018-19,Challenger Elementary,Public,Nogales,Santa Cruz,67,100,0,0,31.3721614,-110.9145932
20,Arizona,2018-19,Chinle Elementary,Public,Chinle,Apache,58,100,0,0,36.15146,-109.586306
21,Arizona,2018-19,Copper Creek Elementary,Public,Tucson,Pima,55,100,0,0,32.418096,-110.98633
22,Arizona,2018-19,Copper Rim Elementary,Public,Globe,Gila,134,100,0,4.48,33.4030162,-110.7717021
23,Arizona,2018-19,Countryside Elementary,Public,Surprise,Maricopa,47,100,0,0,33.621558,-112.387591
24,Arizona,2018-19,Cradleboard,Public,Whiteriver,Navajo,59,100,0,0,33.9200051,-109.9483287
25,Arizona,2018-19,Davidson Elementary,Public,Tucson,Pima,34,100,0,0,32.269635,-110.908085
26,Arizona,2018-19,Desert Oasis Elementary School-85037,Public,Phoenix,Maricopa,63,100,0,0,33.4656544,-112.2495601
