index,state,year,name,city,enroll,mmr,lat,lng
1,Arkansas,2018-19,Maumelle Charter Elementary,Maumelle,717,96.09484,34.8652757,-92.4049127
2,Arkansas,2018-19,Thomas C Brunson Elementary,Warren,279,95.69892,33.6271712,-92.0686244
3,Arkansas,2018-19,Parkway Elementary,Alexander,508,94.88189,34.6423602,-92.4732573
4,Arkansas,2018-19,Sunnymede Elementary,Fort Smith,656,94.05488,35.39385,-94.384082
5,Arkansas,2018-19,Don Roberts Elementary,Little Rock,992,93.75,34.8010895,-92.4543794
6,Arkansas,2018-19,Rena Elementary,Van Buren,485,93.60825,35.4678181,-94.37317
7,Arkansas,2018-19,Jefferson Elementary,Little Rock,412,93.4466,34.7762618,-92.3460157
8,Arkansas,2018-19,John P. Woods Elementary,Fort Smith,631,93.3439,35.3513739,-94.3387746
9,Arkansas,2018-19,Perrin Elementary,Benton,689,93.17852,34.5761842,-92.5689507
10,Arkansas,2018-19,Springhill Elementary,Bryant,524,92.74809,34.6528596,-92.516921
11,Arkansas,2018-19,Forest Park Elementary,Little Rock,480,92.70833,34.766944,-92.334232
12,Arkansas,2018-19,Hugh Goodwin Elementary,El Dorado,536,92.53731,33.2209679,-92.6614337
13,Arkansas,2018-19,Janie Darr Elementary,Rogers,818,92.42054,36.2668104,-94.1939405
14,Arkansas,2018-19,Greenbrier Springhill Elementary,Greenbrier,483,92.33955,35.1806896,-92.4103757
15,Arkansas,2018-19,Ark. School For The Blind Elem,Little Rock,50,92,34.7527841,-92.3031316
16,Arkansas,2018-19,Bernice Young Elementary,Springdale,686,91.54519,36.1850592,-94.2048274
17,Arkansas,2018-19,Richland Elementary,West Memphis,648,91.51235,35.1544231,-90.2093354
18,Arkansas,2018-19,Maddux Elementary,West Memphis,506,91.50198,35.1538503,-90.157305
19,Arkansas,2018-19,Taylor Elementary,Taylor,292,91.43836,33.0987665,-93.4602889
20,Arkansas,2018-19,Moody Elementary,White Hall,477,91.40461,34.2842897,-92.1072736
21,Arkansas,2018-19,Caldwell Elementary,Benton,570,91.40351,34.5664244,-92.606798
22,Arkansas,2018-19,Gibbs Magnet Elementary,Little Rock,302,91.39073,34.7346331,-92.285823
23,Arkansas,2018-19,Sutton Elementary,Fort Smith,585,91.11111,35.404477,-94.374577
24,Arkansas,2018-19,Northwest Elementary,El Dorado,550,91.09091,33.2281805,-92.6746215
25,Arkansas,2018-19,Spring Hill Elementary,Hope,364,90.93407,33.5848428,-93.6512741
26,Arkansas,2018-19,Perryville Elementary,Perryville,506,90.90909,35.0086389,-92.8056408
27,Arkansas,2018-19,Salem Elementary,Salem,511,90.80235,36.3555716,-91.81847
28,Arkansas,2018-19,Bayyari Elementary,Springdale,687,90.53857,36.203333,-94.109792
29,Arkansas,2018-19,Central Elementary,Magnolia,766,90.46997,33.2695782,-93.2362137
30,Arkansas,2018-19,Rural Special Elem.,Fox,113,90.26549,35.753864,-92.2876021
31,Arkansas,2018-19,Scranton Elementary,Scranton,266,90.22557,35.3609587,-93.539155
32,Arkansas,2018-19,Southside Elementary,Cabot,532,90.22557,34.9391825,-92.0124447
33,Arkansas,2018-19,Centerton Gamble Elementary,Centerton,713,89.90182,36.3814623,-94.2919214
34,Arkansas,2018-19,Otter Creek Elementary,Little Rock,455,89.89011,34.6637221,-92.4336728
35,Arkansas,2018-19,Genoa Central Elem.,Texarkana,495,89.69697,33.3766186,-93.8800743
36,Arkansas,2018-19,Trusty Elementary,Fort Smith,378,89.68254,35.4122107,-94.3948637
