index,state,year,name,type,city,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,California,2018-19,Abby Reinke Elementary,Public,Temecula,Riverside,137,99,96,2,,,33.492008,-117.087291
2,California,2018-19,Abraham Lincoln Elementary,Public,Santa Ana,Orange,135,99,99,1,,,33.741155,-117.902009
3,California,2018-19,Achieve Academy,Public,Oakland,Alameda,116,99,99,1,,,37.782075,-122.226605
4,California,2018-19,Ada Clegg Elementary,Public,Huntington Beach,Orange,100,99,97,0,,,33.747813,-118.018803
5,California,2018-19,Adam William Laird Elementary,Public,Santa Maria,Santa Barbara,121,99,99,1,,,34.936178,-120.442216
6,California,2018-19,Adams Elementary,Public,Santa Barbara,Santa Barbara,126,99,98,1,,,34.432489,-119.73455
7,California,2018-19,Addams Elementary,Public,Fresno,Fresno,124,99,93,0,,,36.764231,-119.836821
8,California,2018-19,Agua Caliente Elementary,Public,Cathedral City,Riverside,118,99,99,1,,,33.825092,-116.489982
9,California,2018-19,Akira Yokomi Elementary,Public,Fresno,Fresno,105,99,99,1,,,36.747118,-119.783363
10,California,2018-19,Alamos Elementary,Public,Murrieta,Riverside,149,99,97,1,,,33.563452,-117.110627
11,California,2018-19,Alexandria Avenue Elementary,Public,Los Angeles,Los Angeles,144,99,97,1,,,34.077899,-118.298941
12,California,2018-19,Alicante Avenue Elementary,Public,Lamont,Kern,161,99,99,1,,,35.261425,-118.917233
13,California,2018-19,Alice Birney Elementary,Public,Colton,San Bernardino,102,99,99,1,,,34.0784,-117.31077
14,California,2018-19,Alisal Community,Public,Salinas,Monterey,110,99,99,1,,,36.681928,-121.604478
15,California,2018-19,Almond Elementary,Public,Fontana,San Bernardino,156,99,98,0,,,34.105178,-117.49427
16,California,2018-19,Almond Grove Elementary,Public,Oakley,Contra Costa,101,99,98,2,,,37.975219,-121.726136
17,California,2018-19,Alpha Elementary,Public,Madera,Madera,130,99,99,1,,,36.942766,-120.065693
18,California,2018-19,Alpine Vista,Public,Tulare,Tulare,121,99,99,1,,,36.201343,-119.305404
19,California,2018-19,Alta Loma Elementary,Public,Alta Loma,San Bernardino,145,99,98,1,,,34.125833,-117.597409
20,California,2018-19,Alta Vista Elementary,Public,Redondo Beach,Los Angeles,104,99,99,1,,,33.828888,-118.378426
21,California,2018-19,Altamont Creek Elementary,Public,Livermore,Alameda,128,99,98,1,,,37.722632,-121.718462
22,California,2018-19,Alvarado Elementary,Public,Union City,Alameda,124,99,99,1,,,37.595483,-122.076782
23,California,2018-19,Alvin Elementary,Public,Santa Maria,Santa Barbara,176,99,99,1,,,34.960816,-120.432464
24,California,2018-19,Amelia Earhart Elementary,Public,Alameda,Alameda,149,99,99,1,,,37.744932,-122.238196
25,California,2018-19,Amestoy Elementary,Public,Gardena,Los Angeles,128,99,96,0,,,33.895569,-118.293232
26,California,2018-19,Andrew Jackson Elementary,Public,Santa Ana,Orange,124,99,98,0,,,33.732566,-117.909293
27,California,2018-19,Andrew Jackson Elementary,Public,Indio,Riverside,158,99,99,1,,,33.733896,-116.218164
28,California,2018-19,Andros Karperos,Public,Yuba City,Sutter,107,99,99,1,,,39.124031,-121.64583
29,California,2018-19,Anna Kirchgater Elementary,Public,Sacramento,Sacramento,105,99,98,0,,,38.466163,-121.407632
30,California,2018-19,Anna Kyle Elementary,Public,Fairfield,Solano,123,99,95,0,,,38.258929,-122.029239
31,California,2018-19,Anna M. Glazier Elementary,Public,Norwalk,Los Angeles,116,99,99,1,,,33.893827,-118.10169
32,California,2018-19,Annie E. Cheney Kindergarten,Public,Coalinga,Fresno,124,99,98,1,,,36.14247,-120.365063
33,California,2018-19,Annie R. Mitchell,Public,Visalia,Tulare,127,99,98,0,,,36.310633,-119.268927
34,California,2018-19,Ansgar Larsen Elementary,Public,Oxnard,Ventura,130,99,99,1,,,34.169669,-119.171554
35,California,2018-19,Antonio Del Buono Elementary,Public,Gilroy,Santa Clara,122,99,99,1,,,37.030639,-121.587105
36,California,2018-19,Anza Elementary,Public,Torrance,Los Angeles,123,99,99,1,,,33.834373,-118.364939
37,California,2018-19,Anza Elementary,Public,El Cajon,San Diego,117,99,99,1,,,32.781477,-116.947286
38,California,2018-19,Apricot Valley Elementary,Public,Patterson,Stanislaus,109,99,99,1,,,37.470679,-121.152195
39,California,2018-19,Ardenwood Elementary,Public,Fremont,Alameda,142,99,99,1,,,37.572565,-122.052894
40,California,2018-19,Arlene Hein Elementary,Public,Elk Grove,Sacramento,145,99,97,1,,,38.398731,-121.423684
41,California,2018-19,Arma J. Shull Elementary,Public,San Dimas,Los Angeles,100,99,99,1,,,34.116256,-117.820613
42,California,2018-19,Armada Elementary,Public,Moreno Valley,Riverside,172,99,99,1,,,33.902152,-117.223266
43,California,2018-19,Armona Elementary,Public,Armona,Kings,137,99,96,1,,,36.312159,-119.709853
44,California,2018-19,Arroyo Seco Elementary,Public,Livermore,Alameda,131,99,99,1,,,37.68436,-121.72849
45,California,2018-19,Arroyo Verde Elementary,Public,Highland,San Bernardino,112,99,99,1,,,34.112734,-117.172898
46,California,2018-19,Arroyo Vista Charter,Public,Chula Vista,San Diego,158,99,99,1,,,32.638773,-116.953087
47,California,2018-19,Art Haycox Elementary,Public,Oxnard,Ventura,173,99,99,1,,,34.150334,-119.183203
48,California,2018-19,Arthur C. Butler Elementary,Public,Elk Grove,Sacramento,152,99,99,1,,,38.447808,-121.358923
49,California,2018-19,Arthur Hapgood Elementary,Public,Lompoc,Santa Barbara,130,99,99,1,,,34.635387,-120.448518
50,California,2018-19,Arundel Elementary,Public,San Carlos,San Mateo,109,99,99,1,,,37.503776,-122.274864
51,California,2018-19,Ascot Avenue Elementary,Public,Los Angeles,Los Angeles,169,99,99,1,,,34.003226,-118.248283
52,California,2018-19,Aspire River Oaks Charter,Public,Stockton,San Joaquin,125,99,99,1,,,38.02731,-121.292273
53,California,2018-19,Audubon Elementary,Public,Foster City,San Mateo,155,99,99,1,,,37.567509,-122.25785
54,California,2018-19,Avenal Elementary,Public,Avenal,Kings,121,99,99,1,,,36.004506,-120.138463
55,California,2018-19,Avocado Elementary,Public,La Mesa,San Diego,120,99,99,1,,,32.750641,-116.959841
56,California,2018-19,Aynesworth Elementary,Public,Fresno,Fresno,104,99,99,1,,,36.713148,-119.73777
57,California,2018-19,Balboa Elementary,Public,Glendale,Los Angeles,115,99,97,1,,,34.180276,-118.286044
58,California,2018-19,Balboa Elementary,Public,San Diego,San Diego,100,99,99,1,,,32.687257,-117.10837
59,California,2018-19,Baldwin Academy,Public,La Puente,Los Angeles,131,99,98,0,,,34.048451,-117.942531
60,California,2018-19,Baldwin Stocker Elementary,Public,Arcadia,Los Angeles,122,99,99,1,,,34.117861,-118.047172
61,California,2018-19,Bancroft Elementary,Public,Walnut Creek,Contra Costa,125,99,98,1,,,37.929332,-122.03785
62,California,2018-19,Bardin Elementary,Public,Salinas,Monterey,110,99,99,1,,,36.674117,-121.600396
63,California,2018-19,Barrel Springs Elementary,Public,Palmdale,Los Angeles,114,99,99,1,,,34.543507,-118.06641
64,California,2018-19,Barton Clara Elementary,Public,Anaheim,Orange,107,99,97,0,,,33.822975,-117.9515
65,California,2018-19,Bassett Street Elementary,Public,Lake Balboa,Los Angeles,174,99,98,0,,,34.19526,-118.477651
66,California,2018-19,Battles Washington Elementary,Public,Santa Maria,Santa Barbara,108,99,99,1,,,34.931964,-120.428005
67,California,2018-19,Bay Elementary,Public,San Lorenzo,Alameda,100,99,99,1,,,37.672167,-122.147304
68,California,2018-19,Baywood Elementary,Public,San Mateo,San Mateo,134,99,97,0,,,37.552704,-122.331892
69,California,2018-19,Beachy Avenue Elementary,Public,Arleta,Los Angeles,112,99,99,1,,,34.247318,-118.438667
70,California,2018-19,Bear Mountain Elementary,Public,Arvin,Kern,114,99,99,1,,,35.203004,-118.839732
71,California,2018-19,Bear Valley Elementary,Public,Moreno Valley,Riverside,137,99,99,1,,,33.934785,-117.207777
72,California,2018-19,Beaumont Elementary,Public,Vista,San Diego,114,99,98,0,,,33.197183,-117.223965
73,California,2018-19,Beckford Charter For Enriched Studies,Public,Northridge,Los Angeles,111,99,99,1,,,34.267587,-118.548849
74,California,2018-19,Bell Gardens Elementary,Public,Bell Gardens,Los Angeles,146,99,99,1,,,33.959076,-118.16799
75,California,2018-19,Bella Vista Elementary,Public,Monterey Park,Los Angeles,117,99,99,1,,,34.034744,-118.137307
76,California,2018-19,Bella Vista Elementary,Public,Desert Hot Springs,Riverside,128,99,99,1,,,33.981731,-116.514505
77,California,2018-19,Bellevue Elementary,Public,Atwater,Merced,121,99,98,0,,,37.35962,-120.585507
78,California,2018-19,Ben Hulse Elementary,Public,Imperial,Imperial,196,99,98,1,,,32.845927,-115.576937
79,California,2018-19,Benjamin Franklin Elementary,Public,Corona,Riverside,119,99,99,1,,,33.852287,-117.594389
80,California,2018-19,Benjamin Franklin Elementary,Public,Riverside,Riverside,125,99,99,1,,,33.893881,-117.320312
81,California,2018-19,Berenda Elementary,Public,Madera,Madera,122,99,94,1,,,37.024171,-120.0577
82,California,2018-19,Berkshire Elementary,Public,Bakersfield,Kern,160,99,98,0,,,35.289585,-119.045239
83,California,2018-19,Berlyn Elementary,Public,Ontario,San Bernardino,109,99,97,0,,,34.082821,-117.638331
84,California,2018-19,Bernard L. Hughes Elementary,Public,Modesto,Stanislaus,101,99,96,0,,,37.645843,-120.928994
85,California,2018-19,Bill L. Williams Elementary,Public,Bakersfield,Kern,160,99,97,0,,,35.302481,-119.064763
86,California,2018-19,Bishop Elementary,Public,Sunnyvale,Santa Clara,101,99,98,0,,,37.386807,-122.024188
87,California,2018-19,Bixby Elementary,Public,Long Beach,Los Angeles,144,99,99,1,,,33.796483,-118.130744
88,California,2018-19,Blue Oaks Elementary,Public,Roseville,Placer,109,99,97,2,,,38.786664,-121.336433
89,California,2018-19,Bob Holcomb Elementary,Public,San Bernardino,San Bernardino,111,99,98,1,,,34.17152,-117.316178
90,California,2018-19,Bobbie Smith Elementary,Public,Long Beach,Los Angeles,162,99,98,0,,,33.797494,-118.185871
91,California,2018-19,Bobier Elementary,Public,Vista,San Diego,140,99,99,1,,,33.22026,-117.247185
92,California,2018-19,Bon View Elementary,Public,Ontario,San Bernardino,115,99,97,0,,,34.045921,-117.636232
93,California,2018-19,Bostonia Language Academy,Public,El Cajon,San Diego,138,99,96,1,,,32.808881,-116.931497
94,California,2018-19,Boulder Ridge Elementary,Public,Menifee,Riverside,130,99,98,0,,,33.723464,-117.159856
95,California,2018-19,Bowling Green Elementary,Public,Sacramento,Sacramento,112,99,99,1,,,38.502097,-121.459517
96,California,2018-19,Bradley Elementary,Public,San Bernardino,San Bernardino,103,99,98,0,,,34.123505,-117.272538
97,California,2018-19,Brentwood Elementary,Public,Brentwood,Contra Costa,130,99,98,1,,,37.928697,-121.707894
98,California,2018-19,Brentwood Elementary,Public,Victorville,San Bernardino,148,99,96,1,,,34.522349,-117.358178
99,California,2018-19,Bret Harte Elementary,Public,Corcoran,Kings,325,99,98,0,,,36.095159,-119.568262
100,California,2018-19,Bret Harte Elementary,Public,Modesto,Stanislaus,118,99,99,1,,,37.602759,-121.005854
101,California,2018-19,Brewer Island Elementary,Public,Foster City,San Mateo,116,99,99,1,,,37.561729,-122.260793
102,California,2018-19,Bridge Street Elementary,Public,Yuba City,Sutter,108,99,99,1,,,39.134155,-121.616159
103,California,2018-19,Brier Elementary,Public,Fremont,Alameda,134,99,99,1,,,37.540709,-121.984807
104,California,2018-19,Brittan Acres Elementary,Public,San Carlos,San Mateo,115,99,98,0,,,37.496055,-122.265285
105,California,2018-19,Broad Avenue Elementary,Public,Wilmington,Los Angeles,135,99,97,1,,,33.801363,-118.262672
106,California,2018-19,Brookhaven Elementary,Public,Placentia,Orange,116,99,99,1,,,33.895688,-117.860455
107,California,2018-19,Brookvale Elementary,Public,Fremont,Alameda,147,99,98,0,,,37.568159,-122.015322
108,California,2018-19,Bruce Robert Elementary,Public,Santa Maria,Santa Barbara,187,99,99,1,,,34.960844,-120.442274
109,California,2018-19,Bud Rank Elementary,Public,Clovis,Fresno,115,99,98,1,,,36.861958,-119.640723
110,California,2018-19,Budlong Avenue Elementary,Public,Los Angeles,Los Angeles,164,99,98,0,,,33.986799,-118.295629
111,California,2018-19,Buena Vista Elementary,Public,Bakersfield,Kern,151,99,99,1,,,35.295577,-119.129617
112,California,2018-19,Buena Vista Elementary,Public,Palmdale,Los Angeles,131,99,99,1,,,34.554268,-118.03773
113,California,2018-19,Buford Elementary,Public,Lennox,Los Angeles,118,99,99,1,,,33.937313,-118.364478
114,California,2018-19,Burbank Elementary,Public,Hayward,Alameda,137,99,99,1,,,37.666136,-122.095197
115,California,2018-19,Burbank Elementary,Public,Long Beach,Los Angeles,146,99,99,1,,,33.772878,-118.164456
116,California,2018-19,Burbank Elementary,Public,Modesto,Stanislaus,127,99,99,1,,,37.619277,-121.025283
117,California,2018-19,Buri Buri Elementary,Public,South San Francisco,San Mateo,128,99,99,1,,,37.656897,-122.445929
118,California,2018-19,Burroughs Elementary,Public,Fresno,Fresno,142,99,99,1,,,36.74444,-119.739964
119,California,2018-19,Burton Valley Elementary,Public,Lafayette,Contra Costa,145,99,88,1,,,37.862063,-122.093528
120,California,2018-19,Butte Vista Elementary,Public,Yuba City,Sutter,107,99,99,1,,,39.15917,-121.64999
121,California,2018-19,Butterfield Elementary,Public,Moreno Valley,Riverside,155,99,99,1,,,33.926823,-117.216767
122,California,2018-19,Cabot Yerxa Elementary,Public,Desert Hot Springs,Riverside,147,99,99,1,,,33.957224,-116.4914
123,California,2018-19,Cajon Park Elementary,Public,Santee,San Diego,123,99,98,0,,,32.864737,-116.971914
124,California,2018-19,Cal Aero Preserve Academy,Public,Chino,San Bernardino,124,99,98,2,,,33.965136,-117.623451
125,California,2018-19,Calabasas Elementary,Public,Watsonville,Santa Cruz,112,99,99,1,,,36.943826,-121.792987
126,California,2018-19,Calaveras Elementary,Public,Hollister,San Benito,100,99,99,1,,,36.856469,-121.417358
127,California,2018-19,Cali Calmecac Language Academy,Public,Windsor,Sonoma,144,99,98,1,,,38.550242,-122.82712
128,California,2018-19,Caliber: Changemakers Academy,Public,Vallejo,Solano,108,99,99,1,,,38.111846,-122.24489
129,California,2018-19,Callie Kirkpatrick Elementary,Public,Menifee,Riverside,107,99,97,0,,,33.682327,-117.155124
130,California,2018-19,Calpella Elementary,Public,Ukiah,Mendocino,121,99,98,1,,,39.233408,-123.205721
131,California,2018-19,Calwa Elementary,Public,Fresno,Fresno,114,99,99,1,,,36.707464,-119.753347
132,California,2018-19,Camarena Enrique S. Elementary,Public,Chula Vista,San Diego,137,99,99,1,,,32.62265,-116.957961
133,California,2018-19,Cambridge Elementary,Public,Concord,Contra Costa,102,99,98,0,,,37.954343,-122.045388
134,California,2018-19,Cambridge Elementary,Public,Vacaville,Solano,121,99,99,1,,,38.332763,-121.9512
135,California,2018-19,Camellia Avenue Elementary,Public,North Hollywood,Los Angeles,114,99,98,0,,,34.205594,-118.382942
136,California,2018-19,Cameron Elementary,Public,West Covina,Los Angeles,110,99,99,1,,,34.061888,-117.918939
137,California,2018-19,Canalino Elementary,Public,Carpinteria,Santa Barbara,124,99,98,1,,,34.40385,-119.515236
138,California,2018-19,Canoga Park Elementary,Public,Canoga Park,Los Angeles,141,99,99,1,,,34.20603,-118.605521
139,California,2018-19,Canterbury Avenue Elementary,Public,Arleta,Los Angeles,167,99,99,1,,,34.23291,-118.429201
140,California,2018-19,Canyon View Elementary,Public,San Diego,San Diego,101,99,99,1,,,32.945574,-117.128848
141,California,2018-19,Capri Elementary,Public,Campbell,Santa Clara,101,99,99,1,,,37.266149,-121.964588
142,California,2018-19,Carl E. Gilbert Elementary,Public,Buena Park,Orange,101,99,98,0,,,33.867812,-118.00664
143,California,2018-19,Carleton P. Lightfoot Elementary,Public,Alta Loma,San Bernardino,101,99,99,1,,,34.127614,-117.550403
144,California,2018-19,Carlton Hills Elementary,Public,Santee,San Diego,103,99,99,1,,,32.847601,-116.996045
145,California,2018-19,Carmel Elementary,Public,Hesperia,San Bernardino,130,99,98,0,,,34.421623,-117.241091
146,California,2018-19,Caroldale Learning Community,Public,Carson,Los Angeles,110,99,99,1,,,33.822442,-118.283081
147,California,2018-19,Carrillo Ranch Elementary,Public,Indio,Riverside,108,99,99,1,,,33.731732,-116.252511
148,California,2018-19,Carroll Elementary,Public,Elk Grove,Sacramento,134,99,99,1,,,38.382676,-121.429975
149,California,2018-19,Carson Street Elementary,Public,Carson,Los Angeles,147,99,95,0,,,33.8322,-118.275511
150,California,2018-19,Carsongore Academy Of Enviornmental Studies,Public,Los Angeles,Los Angeles,115,99,98,0,,,34.039701,-118.319698
151,California,2018-19,Caruthers Elementary,Public,Caruthers,Fresno,118,99,99,1,,,36.537126,-119.832429
152,California,2018-19,Carver Charles J. Elementary,Public,Cerritos,Los Angeles,113,99,99,1,,,33.856097,-118.068554
153,California,2018-19,Carver Elementary,Public,Long Beach,Los Angeles,100,99,99,1,,,33.811775,-118.128697
154,California,2018-19,Casa Loma Elementary,Public,Bakersfield,Kern,132,99,96,0,,,35.338866,-118.995765
155,California,2018-19,Casey Elementary,Public,Rialto,San Bernardino,120,99,99,1,,,34.103868,-117.356398
156,California,2018-19,Castle Rock Elementary,Public,Diamond Bar,Los Angeles,119,99,99,1,,,33.972365,-117.843263
157,California,2018-19,Castlebay Lane Charter,Public,Porter Ranch,Los Angeles,120,99,99,1,,,34.29342,-118.547491
158,California,2018-19,Castroville Elementary,Public,Castroville,Monterey,100,99,99,1,,,36.763831,-121.752993
159,California,2018-19,Caswell Elementary,Public,Ceres,Stanislaus,115,99,99,1,,,37.60225,-120.9564
160,California,2018-19,Cathedral City Elementary,Public,Cathedral City,Riverside,130,99,99,1,,,33.780991,-116.463262
161,California,2018-19,Cawston Elementary,Public,Hemet,Riverside,147,99,95,0,,,33.758946,-117.014
162,California,2018-19,Cecilia Lucero Solorio Elementary,Public,Fontana,San Bernardino,135,99,97,0,,,34.129445,-117.4744
163,California,2018-19,Cedar Grove Elementary,Public,San Jose,Santa Clara,100,99,98,0,,,37.332148,-121.793312
164,California,2018-19,Cedargrove Elementary,Public,Covina,Los Angeles,108,99,97,0,,,34.101004,-117.864392
165,California,2018-19,Cedarwood Elementary,Public,Clovis,Fresno,131,99,97,0,,,36.835312,-119.659169
166,California,2018-19,Celerity Himalia Charter,Public,Los Angeles,Los Angeles,104,99,99,1,,,34.002535,-118.259296
167,California,2018-19,Centennial Elementary,Public,Fresno,Fresno,126,99,96,0,,,36.78794,-119.760378
168,California,2018-19,Central Elementary,Public,Rancho Cucamonga,San Bernardino,113,99,99,1,,,34.10906,-117.592906
169,California,2018-19,Central Elementary,Public,Escondido,San Diego,113,99,94,0,,,33.11852,-117.079774
170,California,2018-19,Central Elementary,Public,San Diego,San Diego,109,99,98,0,,,32.751126,-117.107218
171,California,2018-19,Cesar Chavez Elementary,Public,Madera,Madera,107,99,99,1,,,36.9369,-120.0178
172,California,2018-19,Cesar Chavez Elementary,Public,Coachella,Riverside,107,99,99,1,,,33.68814,-116.186888
173,California,2018-19,Cesar E. Chavez Elementary,Public,Bakersfield,Kern,109,99,99,1,,,35.392119,-118.881044
174,California,2018-19,Cesar E. Chavez Elementary,Public,Bell Gardens,Los Angeles,156,99,99,1,,,33.973742,-118.154184
175,California,2018-19,Cesar E. Chavez Elementary,Public,Salinas,Monterey,108,99,99,1,,,36.687632,-121.604138
176,California,2018-19,Challenger School Â€“ Ardenwood,Private,Newark,Alameda,116,99,99,1,,,#N/A,#N/A
177,California,2018-19,Challenger School Berryessa,Private,San Jose,Santa Clara,128,99,99,1,,,37.3714982,-121.8952088
178,California,2018-19,Challenger School Of Sports And Fitness,Public,Victorville,San Bernardino,142,99,95,1,,,34.542258,-117.340884
179,California,2018-19,Chaparral Hills Elementary,Public,Moreno Valley,Riverside,116,99,97,0,,,33.906878,-117.23003
180,California,2018-19,Charles E. Mack Elementary,Public,Sacramento,Sacramento,129,99,99,1,,,38.480996,-121.445282
181,California,2018-19,Charles G. Emery Elementary,Public,Buena Park,Orange,109,99,99,1,,,33.884954,-117.983816
182,California,2018-19,Charles Wright Elementary,Public,Merced,Merced,105,99,98,0,,,37.296802,-120.462775
183,California,2018-19,Charlotte N. Werner Elementary,Public,Rialto,San Bernardino,130,99,98,0,,,34.100253,-117.391117
184,California,2018-19,Chase Avenue Elementary,Public,El Cajon,San Diego,128,99,98,0,,,32.779486,-116.960396
185,California,2018-19,Chavez Elementary,Public,San Diego,San Diego,103,99,99,1,,,32.691758,-117.108494
186,California,2018-19,Cherry Chase Elementary,Public,Sunnyvale,Santa Clara,123,99,98,0,,,37.366277,-122.056026
187,California,2018-19,Cherryland Elementary,Public,Hayward,Alameda,116,99,97,0,,,37.675654,-122.098432
188,California,2018-19,Chester W. Nimitz Elementary,Public,Sunnyvale,Santa Clara,161,99,99,1,,,37.34723,-122.036546
189,California,2018-19,Christa Mcauliffe Elementary,Public,Oxnard,Ventura,134,99,99,1,,,34.187644,-119.213504
190,California,2018-19,Chula Vista Hills Elementary,Public,Chula Vista,San Diego,103,99,97,0,,,32.636768,-117.003495
191,California,2018-19,Citrus Elementary,Public,Upland,San Bernardino,102,99,98,0,,,34.089648,-117.664016
192,California,2018-19,City Terrace Elementary,Public,Los Angeles,Los Angeles,127,99,98,0,,,34.057069,-118.171718
193,California,2018-19,Clara Barton Elementary,Public,Eastvale,Riverside,170,99,98,1,,,33.951946,-117.587934
194,California,2018-19,Clayton A. Record Jr. Elementary,Public,San Jacinto,Riverside,152,99,97,1,,,33.808552,-116.973806
195,California,2018-19,Cleo Gordon Elementary,Public,Fairfield,Solano,141,99,98,0,,,38.266702,-122.02444
196,California,2018-19,Cleveland Elementary,Public,Lakewood,Los Angeles,110,99,98,1,,,33.844591,-118.10653
197,California,2018-19,Cohasset Street Elementary,Public,Lake Balboa,Los Angeles,127,99,99,1,,,34.20751,-118.477991
198,California,2018-19,Coldwater Canyon Elementary,Public,North Hollywood,Los Angeles,137,99,99,1,,,34.195018,-118.412982
199,California,2018-19,Cole Elementary,Public,Clovis,Fresno,100,99,97,0,,,36.825553,-119.72306
200,California,2018-19,College Heights Elementary,Public,Bakersfield,Kern,138,99,99,1,,,35.395017,-118.971405
201,California,2018-19,Columbia Elementary,Public,Bakersfield,Kern,101,99,98,0,,,35.364671,-119.105079
202,California,2018-19,Columbia Elementary,Public,Perris,Riverside,132,99,99,1,,,33.830385,-117.288774
203,California,2018-19,Commodore Stockton Skills,Public,Stockton,San Joaquin,145,99,99,1,,,37.967406,-121.342477
204,California,2018-19,Commonwealth Avenue Elementary,Public,Los Angeles,Los Angeles,155,99,99,1,,,34.070602,-118.286103
205,California,2018-19,Congressman Jerry Lewis Elementary,Public,Fort Irwin,San Bernardino,209,99,99,1,,,35.26574,-116.697243
206,California,2018-19,Conway Elementary,Public,Escondido,San Diego,115,99,99,1,,,33.146702,-117.075103
207,California,2018-19,Cooper Elementary,Public,Vacaville,Solano,103,99,98,1,,,38.356874,-121.944473
208,California,2018-19,Coral Mountain Academy,Public,Coachella,Riverside,154,99,99,1,,,33.675696,-116.19989
209,California,2018-19,Cordelia Hills Elementary,Public,Fairfield,Solano,135,99,99,1,,,38.170199,-122.132733
210,California,2018-19,Cottonwood Creek,Public,Dublin,Alameda,109,99,99,1,,,37.7095877,-121.8473955
211,California,2018-19,Cottonwood Creek Elementary,Public,Visalia,Tulare,100,99,97,0,,,36.292816,-119.325399
212,California,2018-19,Country Club Elementary,Public,San Ramon,Contra Costa,118,99,99,1,,,37.728518,-121.940165
213,California,2018-19,Country Lane Elementary,Public,San Jose,Santa Clara,120,99,98,0,,,37.298148,-121.991491
214,California,2018-19,Cox Academy,Public,Oakland,Alameda,111,99,98,0,,,37.746302,-122.161401
215,California,2018-19,Cox James H. Elementary,Public,Fountain Valley,Orange,111,99,98,0,,,33.707693,-117.939693
216,California,2018-19,Coyote Canyon Elementary,Public,Rancho Cucamonga,San Bernardino,151,99,99,1,,,34.111422,-117.56226
217,California,2018-19,Coyote Creek Elementary,Public,San Ramon,Contra Costa,163,99,99,1,,,37.777633,-121.926916
218,California,2018-19,Creekside Early Learning Center,Public,Alpine,San Diego,231,99,98,1,,,32.832225,-116.816036
219,California,2018-19,Creekside Elementary,Public,Danville,Contra Costa,107,99,99,1,,,37.792621,-121.881612
220,California,2018-19,Creekside Elementary,Public,Salinas,Monterey,110,99,99,1,,,36.705239,-121.611053
221,California,2018-19,Creekside Elementary,Public,Moreno Valley,Riverside,149,99,99,1,,,33.923404,-117.245271
222,California,2018-19,Crestmore Elementary,Public,Bloomington,San Bernardino,120,99,99,1,,,34.049357,-117.392839
223,California,2018-19,Crestwood Elementary,Public,Visalia,Tulare,115,99,97,1,,,36.304604,-119.324357
224,California,2018-19,Crossroads Elementary,Public,Riverbank,Stanislaus,154,99,94,2,,,37.722296,-120.946423
225,California,2018-19,Cubberley K8,Public,Long Beach,Los Angeles,113,99,99,1,,,33.815287,-118.102295
226,California,2018-19,Cucamonga Elementary,Public,Rancho Cucamonga,San Bernardino,106,99,95,0,,,34.096779,-117.592625
227,California,2018-19,Cumberland Elementary,Public,Sunnyvale,Santa Clara,141,99,99,1,,,37.366906,-122.043775
228,California,2018-19,Cummings Valley Elementary,Public,Tehachapi,Kern,103,99,90,3,,,35.13348,-118.575863
229,California,2018-19,Cunningham Elementary,Public,Turlock,Stanislaus,108,99,98,0,,,37.477289,-120.852338
230,California,2018-19,Cutler Elementary,Public,Cutler,Tulare,130,99,98,0,,,36.525309,-119.285633
231,California,2018-19,Cvusd Naranca Elementary,Public,El Cajon,San Diego,158,99,98,1,,,32.8047503,-116.9467314
232,California,2018-19,Cypress Elementary,Public,Covina,Los Angeles,130,99,98,0,,,34.096711,-117.895247
