index,state,year,name,type,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,Colorado,2017-18,A New Generation,Kindergarten,Adams,Harrison 2,3,100,100,0,0,0,39.8398269,-104.1930918
2,Colorado,2017-18,Abiding Hope Preschool Inc,Kindergarten,Jefferson,Denver County 1,4,100,100,0,0,0,39.6018278,-105.1279378
3,Colorado,2017-18,Academy Charter,Kindergarten,Douglas,Academy 20,66,100,93.94,0,4.55,1.52,39.383804,-104.87132
4,Colorado,2017-18,Adventure Elementary,Kindergarten,Adams,Colorado Springs 11,32,100,100,0,0,0,39.836734,-104.991794
5,Colorado,2017-18,Aguilar K-12 Schools,Kindergarten,Las Animas,Greeley 6,11,100,81.82,0,9.09,0,38.07159,-103.230159
6,Colorado,2017-18,All Souls Catholic,Kindergarten,Arapahoe,Poudre R-1,34,100,97.06,0,2.94,0,39.626777,-104.98266
7,Colorado,2017-18,Alsup Elementary,Kindergarten,Adams,Academy 20,66,100,96.97,0,0,0,39.825601,-104.937414
8,Colorado,2017-18,Alta Vista Charter,Kindergarten,Prowers,Jefferson County R-1,20,100,90,0,5,5,38.129068,-102.600614
9,Colorado,2017-18,Ambleside,Kindergarten,Arapahoe,Adams-Arapahoe 28J,16,100,93.75,0,6.25,0,39.56723,-104.970461
10,Colorado,2017-18,Amesse Elementary,Kindergarten,Denver,Greeley 6,63,100,100,0,0,0,39.793348,-104.841935
11,Colorado,2017-18,Anastasis Academy,Kindergarten,Arapahoe,Mapleton 1,3,100,100,0,0,0,39.597882,-104.941443
12,Colorado,2017-18,Antelope Ridge Elementary,Kindergarten,Arapahoe,Aguilar Reorganized 6,115,100,95.65,0,2.61,1.74,39.618427,-104.725491
13,Colorado,2017-18,Apple Tree Christian Preschool & Kindergarten,Kindergarten,Broomfield,Boulder County,10,100,100,0,0,0,39.92963,-105.077391
14,Colorado,2017-18,Appleton Elementary,Kindergarten,Mesa,Denver County 1,69,100,97.1,0,2.9,0,39.121765,-108.615531
15,Colorado,2017-18,Arickaree Elementary,Kindergarten,Washington,Charter School Institute,2,100,0,0,50,0,39.745258,-103.029787
16,Colorado,2017-18,Arkansas Elementary,Kindergarten,Arapahoe,St Vrain Valley Re 1J,57,100,98.25,0,1.75,0,39.692308,-104.785332
17,Colorado,2017-18,Arma Dei Academy,Kindergarten,Douglas,Fountain 8,22,100,77.27,0,22.73,0,39.52835,-104.984321
18,Colorado,2017-18,Arrowhead Elementary,Kindergarten,Arapahoe,Mesa County Valley 51,72,100,100,0,0,0,39.664185,-104.765986
19,Colorado,2017-18,Ashley Elementary,Kindergarten,Denver,Denver County 1,49,100,97.96,0,2.04,0,39.746178,-104.898303
20,Colorado,2017-18,Aspen Community Charter,Kindergarten,Pitkin,Douglas County RE 1,15,100,93.33,0,6.67,0,39.27703,-106.871052
21,Colorado,2017-18,Aspen Country Day,Kindergarten,Pitkin,Denver County 1,23,100,86.96,0,13.04,0,39.1777993,-106.8396007
22,Colorado,2017-18,Aspen Crossing Elementary,Kindergarten,Arapahoe,Jefferson County R-1,81,100,97.53,0,2.47,0,39.632516,-104.752068
23,Colorado,2017-18,Aspen Elementary,Kindergarten,Pitkin,Douglas County RE 1,94,100,89.36,0,10.64,0,39.191594,-106.847946
24,Colorado,2017-18,Aspen View Academy,Kindergarten,Douglas,Douglas County RE 1,106,100,95.28,0,4.72,0,39.395015,-104.885108
25,Colorado,2017-18,Augustana Early Learning Center,Kindergarten,Denver,Brighton School District,8,100,100,0,0,0,39.7103119,-104.9285276
26,Colorado,2017-18,Auraria Early Learning Center,Kindergarten,Denver,Greeley 6,23,100,86.96,0,0,0,39.74058,-105.003849
27,Colorado,2017-18,Ave Maria Catholic,Kindergarten,Douglas,Jefferson County R-1,33,100,100,0,0,0,39.51989,-104.716241
28,Colorado,2017-18,Avondale Elementary,Kindergarten,Pueblo,Adams-Arapahoe 28J,25,100,96,0,0,0,38.237663,-104.347575
29,Colorado,2017-18,Bacon Elementary,Kindergarten,Larimer,Strasburg 31J,79,100,96.2,0,3.8,0,40.50368,-105.037559
30,Colorado,2017-18,Banning Lewis Ranch Academy,Kindergarten,El Paso,Arickareer-R2,116,100,93.97,0,6.03,0,38.933236,-104.676008
31,Colorado,2017-18,Battle Rock Charter,Kindergarten,Montezuma,Adams-Arapahoe 28J,3,100,100,0,0,0,37.336771,-108.840317
32,Colorado,2017-18,Bauder Elementary,Kindergarten,Larimer,Cherry Creek 5,95,100,96.84,0,3.16,0,40.566858,-105.121598
33,Colorado,2017-18,Beach Court Elementary,Kindergarten,Denver,Thompson R2-J,45,100,97.78,0,2.22,0,39.786285,-105.017776
34,Colorado,2017-18,Bear Canyon Elementary,Kindergarten,Douglas,Colorado Springs 11,60,100,95,1.67,1.67,1.67,39.540563,-104.981511
35,Colorado,2017-18,Beattie Elementary,Kindergarten,Larimer,Valley RE-1,50,100,90,0,10,0,40.547143,-105.085026
36,Colorado,2017-18,Belle Creek Charter,Kindergarten,Adams,Jefferson County R-1,83,100,96.39,0,3.61,0,39.891586,-104.879906
37,Colorado,2017-18,Belles And Beaus Academy At The Farms,Kindergarten,Arapahoe,Westminster Public Schools,18,100,100,0,0,0,39.6050802,-104.7736986
38,Colorado,2017-18,Belleview Christian,Kindergarten,Adams,Jefferson County R-1,12,100,83.33,0,0,0,39.8483575,-105.0327928
39,Colorado,2017-18,Bennett Elementary,Kindergarten,Larimer,Montezuma-Cortez RE-1,64,100,95.31,0,1.56,0,40.568888,-105.097691
40,Colorado,2017-18,Bennett Elementary,Kindergarten,Adams,Eagle County RE 50,68,100,95.59,0,2.94,0,39.759097,-104.422577
41,Colorado,2017-18,Bergen Meadow Primary,Kindergarten,Jefferson,Lewis-Palmer 38,77,100,89.61,0,7.79,2.6,39.680867,-105.362083
42,Colorado,2017-18,Berthoud Elementary,Kindergarten,Larimer,Boulder Valley RE 2,68,100,88.24,1.47,8.82,1.47,40.313174,-105.081757
43,Colorado,2017-18,Bethke Elementary,Kindergarten,Larimer,Jefferson County R-1,94,100,94.68,0,5.32,0,40.51449,-104.950967
44,Colorado,2017-18,Bethlehem Lutheran,Kindergarten,Jefferson,Colorado Springs 11,22,100,81.82,0,13.64,0,39.748742,-105.081382
45,Colorado,2017-18,Bethune Public Schools,Kindergarten,Kit Carson,Pueblo City 60,5,100,100,0,0,0,39.30622,-102.425853
46,Colorado,2017-18,Big Thompson Elementary,Kindergarten,Larimer,Greeley 6,35,100,94.29,0,5.71,0,40.418695,-105.189286
47,Colorado,2017-18,Bixby,Kindergarten,Boulder,Pueblo City 60,14,100,85.71,0,14.29,0,39.98409,-105.237751
48,Colorado,2017-18,Black Forest Hills Elementary,Kindergarten,Arapahoe,Poudre R-1,89,100,98.88,0,0,0,39.585217,-104.6946
49,Colorado,2017-18,Blue Mountain Montessori,Kindergarten,Weld,Thompson R2-J,6,100,100,0,0,0,40.040892,-105.046131
50,Colorado,2017-18,Born To The Golden Mtn/Montessori Ctr,Kindergarten,El Paso,Karval RE-23,3,100,100,0,0,0,38.812844,-104.833686
