index,state,year,name,type,city,county,mmr,xmed,xrel,lat,lng
1,Connecticut,2017-18,A. Ward Spaulding,Public,Suffield,Hartford,100.00,0.00,0.00,41.9852122,-72.686865
2,Connecticut,2017-18,Academy Of Aerospace And Engineering Elementary,Public,Rocky Hill,Hartford,100.00,0.00,0.00,41.643883,-72.664329
3,Connecticut,2017-18,Alfred W. Hanmer,Public,Wethersfield,Hartford,100.00,0.00,0.00,41.715197,-72.658198
4,Connecticut,2017-18,Andrew Avenue,Public,Naugatuck,New Haven,100.00,0.00,0.00,41.483149,-73.065408
5,Connecticut,2017-18,Anna Reynolds,Public,Newington,Hartford,100.00,0.00,0.00,41.715046,-72.745874
6,Connecticut,2017-18,Augusta Lewis Troup,Public,New Haven,New Haven,100.00,0.00,0.00,41.313383,-72.942201
7,Connecticut,2017-18,Barlow Mountain Elementary,Public,Ridgefield,Fairfield,100.00,0.00,0.00,41.323635,-73.512667
8,Connecticut,2017-18,Beecher,Public,New Haven,New Haven,100.00,0.00,0.00,41.326075,-72.953685
9,Connecticut,2017-18,Benjamin Franklin,Public,Meriden,New Haven,100.00,0.00,0.00,41.539301,-72.818093
10,Connecticut,2017-18,Betances Early Reading Lab Magnet,Public,Hartford,Hartford,100.00,0.00,0.00,41.759849,-72.673352
11,Connecticut,2017-18,Bethany Community,Public,Bethany,New Haven,100.00,0.00,0.00,41.424489,-73.000279
12,Connecticut,2017-18,Bielefield,Public,Middletown,Middlesex,100.00,0.00,0.00,41.542098,-72.632572
13,Connecticut,2017-18,Bishop Woods Architecture And Design Magnet,Public,New Haven,New Haven,100.00,0.00,0.00,41.32704,-72.86983
14,Connecticut,2017-18,Blackham,Public,Bridgeport,Fairfield,100.00,0.00,0.00,41.205552,-73.213346
15,Connecticut,2017-18,Booth Hill,Public,Shelton,Fairfield,100.00,0.00,0.00,41.284438,-73.182782
16,Connecticut,2017-18,Bradley,Public,Derby,New Haven,100.00,0.00,0.00,41.318283,-73.063589
17,Connecticut,2017-18,Braeburn,Public,West Hartford,Hartford,100.00,0.00,0.00,41.761359,-72.76079
18,Connecticut,2017-18,Branchville Elementary,Public,Ridgefield,Fairfield,100.00,0.00,0.00,41.270418,-73.444716
19,Connecticut,2017-18,Brass City Charter,Public,Waterbury,New Haven,100.00,0.00,0.00,41.565546,-73.049593
20,Connecticut,2017-18,Breakthrough Ii Magnet,Public,Hartford,Hartford,100.00,0.00,0.00,41.8047999,-72.7048757
21,Connecticut,2017-18,Breakthrough Magnet,Public,Hartford,Hartford,100.00,0.00,0.00,41.7452827,-72.7066441
22,Connecticut,2017-18,Brunswick,Nonpublic,Greenwich,Fairfield,100.00,0.00,0.00,41.038436,-73.626072
23,Connecticut,2017-18,Bryant,Public,Bridgeport,Fairfield,100.00,0.00,0.00,41.174273,-73.214851
24,Connecticut,2017-18,Bucks Hill,Public,Waterbury,New Haven,100.00,0.00,0.00,41.600713,-73.028662
25,Connecticut,2017-18,Bungay,Public,Seymour,New Haven,100.00,0.00,0.00,41.38739,-73.09068
26,Connecticut,2017-18,Burns Latino Studies Academy,Public,Hartford,Hartford,100.00,0.00,0.00,41.76117,-72.691496
27,Connecticut,2017-18,Calvin Leete,Public,Guilford,New Haven,100.00,0.00,0.00,41.282958,-72.669092
28,Connecticut,2017-18,Capital Preparatory Harbor School Inc.,Public,Bridgeport,Fairfield,100.00,0.00,0.00,41.175156,-73.188489
29,Connecticut,2017-18,Capital Preparatory Magnet,Public,Hartford,Hartford,100.00,0.00,0.00,41.77265,-72.675361
