index,state,year,name,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,Florida,2018-19,Advantage Academy Of Hillsborough,Hillsborough,52,,100,0,,0,28.001749,-82.123625
2,Florida,2018-19,Apalachicola Bay Charter,Franklin,36,,100,0,,0,29.722038,-84.992101
3,Florida,2018-19,Arlington Heights Elementary,Duval,42,,100,0,,0,30.336621,-81.592991
4,Florida,2018-19,Bardmoor Elementary,Pinellas,68,,100,0,,0,27.853128,-82.753198
5,Florida,2018-19,Bayview Elementary,Duval,57,,100,0,,0,30.271641,-81.723528
6,Florida,2018-19,Blind Pk-8 School (Fsdb),Deaf/Blind,4,,100,0,,0,29.913544,-81.317306
7,Florida,2018-19,Bonneville Elementary,Orange,90,,100,0,,0,28.584406,-81.182912
8,Florida,2018-19,Braden River Elementary,Manatee,74,,100,0,,0,27.431458,-82.435041
9,Florida,2018-19,Bright Horizons,Broward,4,,100,0,,0,26.278589,-80.12414
10,Florida,2018-19,Broward Estates Elementary,Broward,53,,100,0,,0,26.12554,-80.19493
11,Florida,2018-19,Buckingham Exceptional Student Center,Lee,2,,100,0,,0,26.695887,-81.727103
12,Florida,2018-19,Calvin A. Hunsinger,Pinellas,1,,100,0,,0,27.988459,-82.782296
13,Florida,2018-19,Caminiti Exceptional Center,Hillsborough,1,,100,0,,0,28.030196,-82.486689
14,Florida,2018-19,Central,Santa Rosa,24,,100,0,,0,30.77025,-87.07569
15,Florida,2018-19,Championship Academy Of Distinction At Davie,Broward,61,,100,0,,0,26.040614,-80.248172
16,Florida,2018-19,Charlotte Harbor,Charlotte,4,,100,0,,0,26.969388,-82.074964
17,Florida,2018-19,Chattahoochee Elementary,Gadsden,20,,100,0,,0,30.700114,-84.833986
18,Florida,2018-19,Community Base Service Students,Suwannee,1,,100,0,,0,30.302653,-82.990694
19,Florida,2018-19,Connections Education Center Of The Palm Beaches,Palm Beach,6,,100,0,,0,26.696562,-80.085804
20,Florida,2018-19,County Wide Exceptional Child Programs,Lee,1,,100,0,,0,26.5999,-81.853481
21,Florida,2018-19,Crossroad Academy,Gadsden,30,,100,0,,0,30.562077,-84.561533
22,Florida,2018-19,Dale Cassens Education Complex,St. Lucie,1,,100,0,,0,27.443331,-80.354682
23,Florida,2018-19,Desoto Elementary,Hillsborough,36,,100,0,,0,27.948932,-82.429097
24,Florida,2018-19,Doris A. Sanders Learning Center,Polk,1,,100,0,,0,28.059543,-81.901467
25,Florida,2018-19,Dunbar Elementary Magnet,Hillsborough,29,,100,0,,0,27.957633,-82.477579
26,Florida,2018-19,Edison Park Creative And Expressive Arts,Lee,50,,100,0,,0,26.632871,-81.874798
27,Florida,2018-19,Eleanor H. Miller,Putnam,5,,100,0,,0,29.631152,-81.694287
28,Florida,2018-19,Eneida M. Hartner Elementary,Dade,57,,100,0,,0,25.80412,-80.202017
29,Florida,2018-19,Enterprise Learning Academy,Duval,139,,100,0,,0,30.200136,-81.820734
30,Florida,2018-19,Escambia Westgate Center,Escambia,3,,100,0,,0,30.550644,-87.269401
31,Florida,2018-19,Ese Homebound,Martin,1,,100,0,,0,27.196422,-80.245261
32,Florida,2018-19,Everglades City,Collier,11,,100,0,,0,25.864196,-81.387202
33,Florida,2018-19,Excelsior Language Academy Of Hialeah,Dade,12,,100,0,,0,25.831691,-80.273939
34,Florida,2018-19,Florida A&M University Developmental Research,Famu Lab Sch,59,,100,0,,0,30.413257,-84.288536
35,Florida,2018-19,Florida Autism Charter School Of Excellence,Hillsborough,16,,100,0,,0,28.01207,-82.381841
36,Florida,2018-19,Franklin County,Franklin,61,,100,0,,0,29.766914,-84.817126
37,Florida,2018-19,Gadsden Elementary Magnet,Gadsden,17,,100,0,,0,30.591623,-84.582625
38,Florida,2018-19,Graceville Elementary,Jackson,39,,100,0,,0,30.954569,-85.518145
39,Florida,2018-19,Gretchen Everhart,Leon,5,,100,0,,0,30.457245,-84.339545
40,Florida,2018-19,Gulfside Elementary,Pasco,60,,100,0,,0,28.17388,-82.774953
41,Florida,2018-19,Havana Magnet,Gadsden,65,,100,0,,0,30.62312,-84.399205
42,Florida,2018-19,Henry S. West Laboratory,Dade,37,,100,0,,0,25.721238,-80.273895
