index,state,year,name,city,county,district,enrollment,overall,xmed,xrel,lat,lng
1,Idaho,2018-19,Amity Elementary,Boise,Ada,Boise,44,100,0,0,43.5622078,-116.3048989
2,Idaho,2018-19,Beacon Christian,Lewiston,Nez Perce,Private,5,100,0,0,46.391844,-117.0004769
3,Idaho,2018-19,Boise River Montessori,Boise,Ada,Private,3,100,0,0,43.6401889,-116.223726
4,Idaho,2018-19,Calvary Chapel Christian School - Pocatello,Pocatello,Bannock,Private,7,100,0,0,42.9046872,-112.4328394
5,Idaho,2018-19,Cavendish-Teakean Elementary,Lenore,Nez Perce,Orofino,3,100,0,0,46.5112843,-116.5532036
6,Idaho,2018-19,Cloverdale Christian Dayschool,Boise,Ada,Private,9,100,0,0,43.5675637,-116.3353451
7,Idaho,2018-19,Coeur D'Alene Tribal,Desmet,Benewah,Private,6,100,0,0,47.1473484,-116.9150776
8,Idaho,2018-19,Culdesac,Culdesac,Nez Perce,Culdesac,7,100,0,0,46.37527,-116.671723
9,Idaho,2018-19,Downey Elementary,Downey,Bannock,Marsh Valley,9,100,0,0,42.4276466,-112.1185421
10,Idaho,2018-19,Eagle Adventist Christian,Eagle,Ada,Private,7,100,0,0,43.6962057,-116.3608453
11,Idaho,2018-19,Elk City Public,Elk City,Idaho,Mountain View,1,100,0,0,45.8279985,-115.4360727
12,Idaho,2018-19,Five Mile Montessori,Boise,Ada,Private,4,100,0,0,43.591644,-116.3102568
13,Idaho,2018-19,Gateway School Of Language And Culture,Boise,Ada,West Ada,40,100,0,0,43.6475467,-116.3178348
14,Idaho,2018-19,Holy Rosary Bi-Parish,Idaho Falls,Bonneville,Private,36,100,0,0,43.4900236,-112.0318225
15,Idaho,2018-19,Hope Lutheran,Idaho Falls,Bonneville,Private,6,100,0,0,43.4874154,-111.9945839
16,Idaho,2018-19,Little Peoples Academy,Idaho Falls,Bonneville,Private,24,100,0,0,43.4925113,-112.0344112
17,Idaho,2018-19,Longfellow Elementary School - Idaho Falls,Idaho Falls,Bonneville,Idaho Falls,74,100,0,0,43.473988,-112.0251323
18,Idaho,2018-19,Lowman Elementary,Crouch,Boise,Garden Valley,1,100,0,0,44.0912772,-115.9573713
19,Idaho,2018-19,North Gem K-12,Bancroft,Caribou,North Gem,14,100,0,0,42.7182473,-111.8866461
20,Idaho,2018-19,Northview Montessori,Boise,Ada,Private,18,100,0,0,43.6268016,-116.2776892
21,Idaho,2018-19,Ola Elementary,Ola,Gem,Emmett,1,100,0,0,44.1767816,-116.292135
22,Idaho,2018-19,Peck Elementary,Peck,Nez Perce,Orofino,1,100,0,0,46.474709,-116.422861
23,Idaho,2018-19,Snake River Montessori Elementary,Idaho Falls,Bonneville,Private,7,100,0,0,43.495805,-111.9749316
24,Idaho,2018-19,Stone Elementary,Malad City,Oneida,Oneida,3,100,0,0,42.0246414,-112.6958123
25,Idaho,2018-19,Swan Valley Elementary,Irwin,Bonneville,Swan Valley,7,100,0,0,43.4058879,-111.2932101
26,Idaho,2018-19,Table Rock Christian,Driggs,Teton,Private,1,100,0,0,43.7455901,-111.0675402
27,Idaho,2018-19,Tendoy Elementary School - Tendoy,Tendoy,Lemhi,South Lemhi,1,100,0,0,44.9574257,-113.6408889
28,Idaho,2018-19,Three Creek Elementary,Rogerson,Twin Falls,Three Creek,2,100,0,0,42.0732391,-115.1924011
29,Idaho,2018-19,Westside Elementary,Idaho Falls,Bonneville,Idaho Falls,48,100,0,0,43.4848041,-112.08455
30,Idaho,2018-19,Hillview Elementary,Idaho Falls,Bonneville,Bonneville,68,98.52941176,1.470588235,0,43.4754059,-111.972332
31,Idaho,2018-19,Camelot Elementary,Lewiston,Nez Perce,Lewiston,64,98.4375,0,1.5625,46.3738157,-116.932628
32,Idaho,2018-19,Payette Primary,Payette,Payette,Payette,121,98.34710744,0,0.826446281,44.0774397,-116.9269564
33,Idaho,2018-19,Hillcrest Elementary School - American Falls,American Falls,Power,American Falls,111,98.1981982,0,0,42.7751121,-112.8563225
34,Idaho,2018-19,Wilder Elementary,Wilder,Canyon,Wilder,50,98,0,0,43.6775705,-116.9051345
35,Idaho,2018-19,Rulon M Ellis Elementary,Pocatello,Bannock,Pocatello,49,97.95918367,0,2.040816327,42.9331554,-112.4552983
36,Idaho,2018-19,Valley,Hazelton,Jerome,Valley,41,97.56097561,0,0,42.5930853,-114.1712347
37,Idaho,2018-19,Mountain Valley Elementary,Ammon,Bonneville,Bonneville,80,97.5,0,1.25,43.4740523,-111.9519109
38,Idaho,2018-19,Hidden Springs Elementary,Boise,Ada,Boise,39,97.43589744,0,2.564102564,43.7251023,-116.2573471
39,Idaho,2018-19,Desert Sage Elementary,Boise,Ada,West Ada,112,97.32142857,0,0.8928571429,43.5385359,-116.2970002
40,Idaho,2018-19,Parkcenter Montessori,Boise,Ada,Private,37,97.2972973,0,2.702702703,43.5890081,-116.1765462
41,Idaho,2018-19,Lewis And Clark Elementary School - Caldwell,Caldwell,Canyon,Caldwell,71,97.18309859,0,0,43.6251978,-116.6854942
