index,state,year,name,city,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng,matcher
1,Illinois,2018-19,7th Grade Academy,Cahokia,Saint Clair,228,100,,0.00,,0.00,38.5619251,-90.1318733,7thgradeacademycahokiasaintclair228
2,Illinois,2018-19,8th Grade Academy,Cahokia,Saint Clair,244,100,,0.00,,0.00,38.5614301,-90.1300173,8thgradeacademycahokiasaintclair244
3,Illinois,2018-19,A Mothers Touch Learning Academy,Des Plaines,Cook,6,100,,0.00,,0.00,42.04665,-87.882581,amotherstouchlearningacademydesplainescook6
4,Illinois,2018-19,A Mothers Touch Lrning Center,Arlington Heights,Cook,21,100,,0.00,,0.00,42.0977999,-87.9707084,amotherstouchlrningcenterarlingtonheightscook21
5,Illinois,2018-19,A Step Ahead Academy,Chicago,Cook,14,100,,0.00,,0.00,41.748481,-87.682406,astepaheadacademychicagocook14
6,Illinois,2018-19,A Step Up Career Academy,,,20,100,,0.00,,0.00,41.5788475,-87.5501194,astepupcareeracademy20
7,Illinois,2018-19,A-Karrasel,Chicago,Cook,9,100,,0.00,,0.00,41.9242831,-87.7640138,akarraselchicagocook9
8,Illinois,2018-19,Abe Lincoln Elementary,Cicero,Cook,833,100,,0.00,,0.00,41.8278076,-87.7747191,abelincolnelementaryschoolcicerocook833
9,Illinois,2018-19,Academic Mastery Academy,Posen,Cook,6,100,,0.00,,0.00,41.598073,-87.606084,academicmasteryacademyposencook6
10,Illinois,2018-19,Acero Chtr - Bartolome de las,Chicago,Cook,261,100,,0.00,,0.00,41.859441,-87.667859,acerochtrbartolomedelaschicagocook261
11,Illinois,2018-19,Acero Chtr - Rufino Tamayo Campus,Chicago,Cook,288,100,,0.00,,0.00,41.800044,-87.6936,acerochtrrufinotamayocampuschicagocook288
12,Illinois,2018-19,Adams Co Juvenile Detention Cntr,Quincy,Adams,9,100,,0.00,,0.00,39.932095,-91.333237,adamscojuveniledetentioncntrquincyadams9
13,Illinois,2018-19,Akin Comm Cons Elementary,Akin,Franklin,78,100,,0.00,,0.00,37.9873382,-88.7509902,akincommconselementaryschoolakinfranklin78
