index,state,year,name,county,enroll,overall,lat,lng
1,Iowa,2018-19,Blessed Sacrament,Black Hawk,100,100,42.50346,-92.385971
2,Iowa,2018-19,Calmar Festina Spillville Catholic,Winneshiek,120,100,43.1805,-91.8646
3,Iowa,2018-19,Central Springs Elem. Manly Campus,Worth,105,100,43.285519,-93.196297
4,Iowa,2018-19,Delhi Elementary,Delaware,174,100,42.417816,-91.343126
5,Iowa,2018-19,ExiraElk Horn-Kimballton Elementary,Shelby,170,100,41.59069,-95.057091
6,Iowa,2018-19,Fredericksburg Elem,Chickasaw,138,100,42.961948,-92.194079
7,Iowa,2018-19,George Elementary,Lyon,117,100,43.340203,-95.994735
8,Iowa,2018-19,Glidden-Ralston Elementary,Carroll,179,100,42.061803,-94.727918
9,Iowa,2018-19,Ruthven-Ayrshire Elementary,Palo Alto,113,100,43.13172,-94.902159
10,Iowa,2018-19,Salem Elementary,Henry,105,100,40.852324,-91.616287
11,Iowa,2018-19,Sanborn Christian,O'Brien,100,100,43.18123,-95.66067
12,Iowa,2018-19,St Marys,Delaware,162,100,42.4855074,-91.4601411
13,Iowa,2018-19,St Patrick,Dallas,114,100,41.8412,-94.100716
14,Iowa,2018-19,Winfield Elementary,Henry,168,100,41.126852,-91.440009
15,Iowa,2018-19,Lovejoy Elementary,Polk,392,99.7,41.534817,-93.601985
16,Iowa,2018-19,Edgewood-Colesburg Elementary,Delaware,259,99.6,42.63981,-91.197056
17,Iowa,2018-19,Hinton Elementary,Plymouth,267,99.6,42.625326,-96.296438
18,Iowa,2018-19,Mulberry Elementary,Muscatine,248,99.6,41.445015,-91.074288
19,Iowa,2018-19,Sunnyside Elementary,Woodbury,254,99.6,42.461711,-96.339817
20,Iowa,2018-19,Holy Family,Polk,207,99.5,41.60173,-93.606141
21,Iowa,2018-19,Madison Elementary,Muscatine,216,99.5,41.44505,-91.035123
22,Iowa,2018-19,West Hancock Elementary,Hancock,190,99.5,43.092015,-93.813364
23,Iowa,2018-19,Fairview Elementary,Poweshiek,165,99.4,41.750099,-92.712338
24,Iowa,2018-19,Hillis Elementary,Polk,363,99.4,41.616087,-93.693584
25,Iowa,2018-19,James Van Allen Elementary,Johnson,506,99.4,41.727736,-91.59562
26,Iowa,2018-19,Lincoln Upper Elementary,Washington,339,99.4,41.294291,-91.687544
27,Iowa,2018-19,Moulton Elementary,Polk,510,99.4,41.607199,-93.627468
28,Iowa,2018-19,South Tama County Elementary,Tama,522,99.4,41.975171,-92.587339
29,Iowa,2018-19,United Community South,Boone,164,99.4,42.0249112,-93.7753987
30,Iowa,2018-19,Willard Elementary,Polk,352,99.4,41.590804,-93.559062
31,Iowa,2018-19,Woodbury Elementary,Marshall,321,99.4,42.049864,-92.902035
32,Iowa,2018-19,Davenport Learning Center/Keystone Academy,Scott,140,99.3,41.5610657,-90.5770173
33,Iowa,2018-19,Davis Elementary,Poweshiek,270,99.3,41.736803,-92.725031
34,Iowa,2018-19,Iowa Valley Elementary,Iowa,273,99.3,41.802542,-92.069097
35,Iowa,2018-19,James Wilson Grimes,Des Moines,292,99.3,40.797176,-91.10761
36,Iowa,2018-19,Mater Dei School Nativity Center,Woodbury,152,99.3,42.45217,-96.353351
37,Iowa,2018-19,OABCIG Elementary School - Ida Grove,Ida,274,99.3,42.3417845,-95.4645977
38,Iowa,2018-19,Poyner Elementary,Black Hawk,419,99.3,42.468465,-92.276188
39,Iowa,2018-19,Richardson Elementary,Lee,285,99.3,40.627047,-91.354685
40,Iowa,2018-19,Riverside Community Intermediate,Pottawattamie,147,99.3,41.238155,-95.418992
41,Iowa,2018-19,Turkey Valley Elementary,Winneshiek,150,99.3,43.110404,-92.035197
42,Iowa,2018-19,Wright Elementary,Polk,272,99.3,41.539485,-93.634432
43,Iowa,2018-19,Adair-Casey Elementary,Guthrie,128,99.2,41.520597,-94.584408
44,Iowa,2018-19,Audubon Elementary,Audubon,242,99.2,41.718803,-94.928958
45,Iowa,2018-19,Delaware Elementary,Polk,358,99.2,41.639659,-93.521192
46,Iowa,2018-19,Longfellow Elementary,Pottawattamie,497,99.2,41.242303,-95.858304
47,Iowa,2018-19,Monroe Elementary,Jasper,247,99.2,41.523972,-93.106155
48,Iowa,2018-19,Riceville Elementary,Howard,242,99.2,43.355372,-92.55277
49,Iowa,2018-19,Sergeant Bluff-Luton Elementary,Woodbury,355,99.2,42.397496,-96.356756
50,Iowa,2018-19,Sibley Ocheyedan Elementary,Osceola,237,99.2,43.404934,-95.741212
51,Iowa,2018-19,Southeast Warren Primary,Warren,132,99.2,41.290677,-93.444632
52,Iowa,2018-19,Sunnyside Elementary,Des Moines,395,99.2,40.832385,-91.117896
53,Iowa,2018-19,West Elementary,Palo Alto,240,99.2,43.11399,-94.684861
54,Iowa,2018-19,Clay Elementary,Polk,557,99.1,41.622548,-93.466356
55,Iowa,2018-19,Colorado Elementary,Muscatine,228,99.1,41.443066,-91.027754
56,Iowa,2018-19,East Marshall Elementary,Marshall,217,99.1,41.880848,-92.920808
57,Iowa,2018-19,East Union Elementary,Union,215,99.1,41.024885,-94.179986
58,Iowa,2018-19,Fayette Elementary,Fayette,106,99.1,42.8422446,-91.8055013
59,Iowa,2018-19,Feelhaver Elementary,Webster,221,99.1,42.521686,-94.185973
60,Iowa,2018-19,Franklin Elementary,Pottawattamie,445,99.1,41.264992,-95.895836
61,Iowa,2018-19,Fred Becker Elementary,Black Hawk,446,99.1,42.501542,-92.372529
62,Iowa,2018-19,Holy Trinity Elem,Lee,214,99.1,40.7149796,-91.4526495
63,Iowa,2018-19,Jackson Elementary,Polk,446,99.1,41.54928,-93.591488
64,Iowa,2018-19,LOESS HILLS ELEMENTARY,Woodbury,632,99.1,42.507762,-96.444765
65,Iowa,2018-19,Margaretta Carey Elementary,Bremer,215,99.1,42.734874,-92.474698
66,Iowa,2018-19,Phillips Elementary,Polk,331,99.1,41.608258,-93.571898
67,Iowa,2018-19,Regina Elementary,Johnson,443,99.1,41.6667319,-91.5044429
68,Iowa,2018-19,Sacred Heart,Woodbury,346,99.1,42.519551,-96.472999
69,Iowa,2018-19,Sheldon Christian,O'Brien,107,99.1,43.17913,-95.840628
70,Iowa,2018-19,Central Springs Elem. School - Nora Springs,Floyd,104,99,43.147745,-93.003798
71,Iowa,2018-19,Crestwood Elementary,Howard,672,99,43.376157,-92.102945
72,Iowa,2018-19,Fremont Elementary,Mahaska,104,99,41.21298,-92.431518
