index,state,year,name,county,enroll,mmr,xmed,xper,xrel,lat,lng
1,Maine,2018-19,Alexander Elementary,Washington,2,100,0,0,0,44.0846995,-70.2443651
2,Maine,2018-19,Alton Elementary,Penobscot,4,100,0,0,0,44.0940739,-70.2067592
3,Maine,2018-19,Andover Elementary,Oxford,5,100,0,0,0,44.295715,-70.118187
4,Maine,2018-19,Appleton Village,Knox,17,100,0,0,0,44.2739501,-69.2709427
5,Maine,2018-19,Atwood Primary,Kennebec,69,100,0,0,0,44.0642872,-70.3968232
6,Maine,2018-19,Beals Elementary,Washington,6,100,0,0,0,44.127445,-70.2348642
7,Maine,2018-19,Belgrade Central School Rsu 18,Kennebec,39,100,0,0,0,44.0777111,-70.2287629
8,Maine,2018-19,Brixham Montessori Friends,York,9,100,0,11.11,0,46.6411387,-67.8994458
9,Maine,2018-19,Calais Elementary,Washington,39,100,0,0,0,46.0565002,-67.8628845
10,Maine,2018-19,Canaan Elementary,Somerset,29,100,0,3.45,0,47.1570355,-67.9353363
11,Maine,2018-19,Cave Hill,Hancock,9,100,0,0,0,46.0868543,-68.1839619
12,Maine,2018-19,Charlotte Elementary,Washington,2,100,0,0,0,43.5580344,-70.3649153
13,Maine,2018-19,Cherryfield Elementary,Washington,8,100,0,0,0,43.9019418,-69.9747257
14,Maine,2018-19,Children's House Montessori,Knox,6,100,0,0,0,43.6901508,-70.3614255
15,Maine,2018-19,Cocoons Inc,York,5,100,0,0,0,43.7576926,-70.5231067
16,Maine,2018-19,Corinna Elementary,Penobscot,30,100,0,0,0,43.7341181,-70.4335877
17,Maine,2018-19,Cornville Regional Charter School - Ecc Campus,Somerset,12,100,0,0,0,43.8376959,-69.9149323
18,Maine,2018-19,Daniel W. Merritt Elementary,Washington,16,100,0,0,0,43.672932,-70.2956651
19,Maine,2018-19,Dawn F. Barnes,Aroostook,2,100,0,0,0,43.7081183,-70.2852408
20,Maine,2018-19,Deer Isle Stonington Elementary,Hancock,26,100,0,0,0,43.8586071,-70.1067049
21,Maine,2018-19,East Range Ii,Washington,1,100,0,0,0,43.9372719,-70.4448978
22,Maine,2018-19,Easton Elementary,Aroostook,21,100,0,0,0,43.6501738,-70.2668315
23,Maine,2018-19,Eastport Elementary,Washington,12,100,0,0,0,43.695713,-70.309789
24,Maine,2018-19,Edmunds Consolidated,Washington,5,100,0,0,0,43.6257364,-70.3052714
25,Maine,2018-19,Edna Drinkwater,Waldo,12,100,0,0,0,43.9589327,-70.5724334
26,Maine,2018-19,Etna Dixmont,Penobscot,20,100,0,0,0,44.6109216,-70.0332911
27,Maine,2018-19,Eustis School Department/Stratton,Franklin,13,100,0,0,0,45.1433653,-70.4338646
28,Maine,2018-19,Forest Hills Consolidated,Somerset,13,100,0,0,0,44.6707642,-70.1470893
29,Maine,2018-19,Fraser-Ford Child Development Center,York,1,100,0,0,0,43.360474,-70.7304088
30,Maine,2018-19,G.D. Cushing,Franklin,40,100,0,2.5,0,44.6858598,-68.2869089
31,Maine,2018-19,Georgetown Central,Sagadahoc,2,100,0,0,0,44.5493355,-68.4324797
32,Maine,2018-19,Greene Central,Androscoggin,49,100,0,0,0,44.499241,-68.502453
33,Maine,2018-19,Greenville Consolidated,Piscataquis,16,100,0,0,0,44.4031131,-68.5936819
34,Maine,2018-19,Harmony Elementary,Somerset,4,100,0,0,0,44.5481387,-69.7214603
35,Maine,2018-19,Hebron Station,Oxford,12,100,0,0,0,44.3072659,-69.7476777
36,Maine,2018-19,Holy Cross,Cumberland,7,100,0,0,0,44.4410669,-69.7444673
37,Maine,2018-19,Islesboro Central,Waldo,4,100,0,0,0,44.3207422,-69.7611404
38,Maine,2018-19,Jonesboro Elementary,Washington,6,100,0,0,0,44.5530916,-69.6552606
39,Maine,2018-19,Jonesport Elementary,Washington,8,100,0,0,0,44.4625439,-69.9721694
40,Maine,2018-19,Kingman Elementary,Penobscot,7,100,0,0,0,44.4499153,-69.7038278
41,Maine,2018-19,Lafayette,York,33,100,0,0,0,44.0733138,-69.0996722
42,Maine,2018-19,Limestone Community,Aroostook,15,100,0,0,0,44.127725,-69.090083
43,Maine,2018-19,Lubec Consolidated,Washington,6,100,0,0,0,43.9969995,-68.9242652
44,Maine,2018-19,Lyman Elementary,York,39,100,0,0,0,43.4872474,-70.6356626
45,Maine,2018-19,Madison Elementary,Somerset,47,100,0,0,0,43.9926929,-69.6372214
46,Maine,2018-19,Margaret Murphy Center For Children,York,4,100,0,0,0,44.2229409,-69.6035391
47,Maine,2018-19,Margaret Murphy Centers For Children- Charles St.,Androscoggin,1,100,0,0,0,44.042503,-69.533573
48,Maine,2018-19,Monhegan Island,Lincoln,1,100,0,0,0,44.1223506,-70.9024767
49,Maine,2018-19,Moscow Elementary,Somerset,11,100,0,0,0,43.8102013,-70.8674312
50,Maine,2018-19,Msad #20 Fort Fairfield Elementary,Aroostook,27,100,0,0,0,45.0465341,-68.7344516
51,Maine,2018-19,Msad#32 Ashland District,Aroostook,22,100,0,0,0,44.7769081,-68.7704572
52,Maine,2018-19,Msad45 Washburn,Aroostook,17,100,0,0,0,45.01673,-69.0275963
53,Maine,2018-19,Narragansett,Cumberland,47,100,0,2.13,0,44.839428,-68.820178
54,Maine,2018-19,North Haven Community,Knox,6,100,0,0,0,44.7435564,-69.0977865
55,Maine,2018-19,Opal Myrick Elementary,Penobscot,21,100,0,0,0,44.9160462,-68.8473111
56,Maine,2018-19,Palermo Consolidated,Waldo,8,100,0,0,0,45.5508946,-68.1947404
57,Maine,2018-19,Pathways Merrymeeting Center,Cumberland,1,100,0,0,0,44.8323536,-69.2657502
58,Maine,2018-19,Pembroke Elementary,Washington,6,100,0,0,0,44.8205878,-68.8933542
59,Maine,2018-19,Peninsula,Hancock,15,100,0,0,0,44.8332555,-68.7067375
60,Maine,2018-19,Penobscot Community,Hancock,6,100,0,0,0,44.7948274,-68.7834494
61,Maine,2018-19,Perry Elementary,Washington,9,100,0,0,0,45.3230777,-68.5806727
62,Maine,2018-19,Pittston-Randolph Consolidated,Kennebec,29,100,0,0,0,44.0123419,-69.8953843
63,Maine,2018-19,Riley,Knox,3,100,0,66.67,0,44.127725,-69.092277
64,Maine,2018-19,Rose M Gaffney,Washington,39,100,0,0,0,45.7768799,-70.3419267
65,Maine,2018-19,Rsu 24 Beech Hill,Hancock,7,100,0,0,0,44.7975466,-69.8797486
66,Maine,2018-19,Seacoast Christian,York,7,100,0,0,0,44.3830556,-68.9786416
67,Maine,2018-19,Sebago Elementary,Cumberland,17,100,0,0,0,44.2680548,-68.9185384
68,Maine,2018-19,South Bristol,Lincoln,5,100,0,0,0,44.3969731,-69.3139384
69,Maine,2018-19,Southport Central,Lincoln,2,100,0,0,0,45.0914775,-67.4772966
70,Maine,2018-19,St. Brigid,Cumberland,12,100,0,0,0,45.1800587,-67.2840862
71,Maine,2018-19,St. Johns Catholic,Cumberland,14,100,0,0,0,44.6216166,-67.6975822
72,Maine,2018-19,St. Thomas,York,29,100,0,0,0,44.9080087,-66.9920456
73,Maine,2018-19,Stevens Brook Elementary,Cumberland,38,100,0,0,0,44.7412076,-67.3904919
74,Maine,2018-19,Strong Elementary,Franklin,12,100,0,8.33,0,44.6886328,-67.397753
75,Maine,2018-19,The Bay,Hancock,5,100,0,40,0,44.855756,-66.9881825
76,Maine,2018-19,Viola Rand Elementary,Penobscot,11,100,0,0,0,43.4620614,-70.7803859
77,Maine,2018-19,Walker Elementary,Waldo,11,100,0,0,0,43.5453288,-70.5928413
78,Maine,2018-19,Whiting Village,Washington,4,100,0,0,0,43.4872474,-70.6334686
79,Maine,2018-19,Woodland Elementary,Washington,23,100,0,0,0,43.4906847,-70.4594253
80,Maine,2018-19,Woodstock Elementary,Oxford,12,100,0,0,0,43.5863096,-70.7057421
81,Maine,2018-19,Libby Tozier,Kennebec,163,99.39,0,0.61,0.61,44.1195246,-69.0997622
82,Maine,2018-19,Eight Corners,Cumberland,78,98.72,0,1.28,0,43.912928,-69.9692219
