index,state,year,name,type,city,county,mmr,xmed,lat,lng
1,Massachusetts,2018-19,A Drewicz Elementary,Public,Lynn,Essex,100,0,42.4605981,-70.9692985
2,Massachusetts,2018-19,Abraham Lincoln,Public,New Bedford,Bristol,100,0,41.669369,-70.932226
3,Massachusetts,2018-19,Alfred J Gomes,Public,New Bedford,Bristol,100,0,41.626079,-70.922104
4,Massachusetts,2018-19,Alice Beal Elementary,Public,Springfield,Hampden,100,0,42.0738917,-72.5447572
5,Massachusetts,2018-19,Allendale Elementary,Public,Pittsfield,Berkshire,100,0,42.4589354,-73.2201378
6,Massachusetts,2018-19,Alma Del Mar Charter,Public,New Bedford,Bristol,100,0,41.6657016,-70.9227056
7,Massachusetts,2018-19,Amesbury Elementary,Public,Amesbury,Essex,100,0,42.8659891,-70.9318918
8,Massachusetts,2018-19,Amvet Blvd,Public,North Attleboro,Bristol,100,0,41.9764879,-71.3425454
9,Massachusetts,2018-19,Anna E Barry,Public,Chicopee,Hampden,100,0,42.1662194,-72.5878769
10,Massachusetts,2018-19,Annie E Fales,Public,Westboro,Worcester,100,1.1,42.2505572,-71.6217827
11,Massachusetts,2018-19,Arthur D Healey,Public,Somerville,Middlesex,100,0,42.3976223,-71.095253
12,Massachusetts,2018-19,Atherton Hough,Public,Quincy,Norfolk,100,0,42.2671172,-70.9575461
13,Massachusetts,2018-19,Atlantis Charter,Public,Fall River,Bristol,100,0,41.675392,-71.1831189
14,Massachusetts,2018-19,Bartlett Kindergarten Ctr,Public,Haverhill,Essex,100,0,42.7672266,-71.1009844
15,Massachusetts,2018-19,Bates Elementary,Public,Salem,Essex,100,0,42.5345566,-70.9057686
16,Massachusetts,2018-19,Beaver Brook Elementary,Public,Abington,Plymouth,100,0,42.1187853,-70.9438945
17,Massachusetts,2018-19,Benjamin Banneker Charter,Public,Cambridge,Middlesex,100,0,42.392112,-71.1315599
18,Massachusetts,2018-19,Bennett-Hemenway,Public,Natick,Middlesex,100,1,42.3071572,-71.3582594
19,Massachusetts,2018-19,Berkley Community,Public,Berkley,Bristol,100,0,41.8332992,-71.0883288
20,Massachusetts,2018-19,Betsy Winslow,Public,New Bedford,Bristol,100,2.2,41.6253806,-70.9445097
21,Massachusetts,2018-19,Blessed Sacrament,Private,Walpole,Norfolk,100,0,42.1469858,-71.2459114
22,Massachusetts,2018-19,Blueberry Hill,Public,Longmeadow,Hampden,100,0,42.0593165,-72.5597582
23,Massachusetts,2018-19,Boutwell,Public,Wilmington,Middlesex,100,0,42.546775,-71.1883427
24,Massachusetts,2018-19,Bowman,Public,Lexington,Middlesex,100,0,42.4164102,-71.2016591
25,Massachusetts,2018-19,Boylston Elementary,Public,Boylston,Worcester,100,0,42.3312115,-71.7397836
26,Massachusetts,2018-19,Brickett Elementary,Public,Lynn,Essex,100,0,42.4661199,-70.930991
27,Massachusetts,2018-19,Brightwood,Public,Springfield,Hampden,100,0,42.119976,-72.6149377
28,Massachusetts,2018-19,Broadmeadow,Public,Needham,Norfolk,100,1.1,42.2792917,-71.2086244
29,Massachusetts,2018-19,Brookfield Elementary,Public,Brookfield,Worcester,100,0,42.2148093,-72.0972324
30,Massachusetts,2018-19,Brookside Elementary,Public,Dracut,Middlesex,100,0,42.6729872,-71.3417058
31,Massachusetts,2018-19,Brown,Public,Natick,Middlesex,100,0,42.2913187,-71.3842722
32,Massachusetts,2018-19,Burgess Elementary,Public,Sturbridge,Worcester,100,1,42.1150115,-72.0952731
33,Massachusetts,2018-19,C.T. Douglas,Public,Acton,Middlesex,100,0,42.4816957,-71.4716724
34,Massachusetts,2018-19,Cabot Elementary,Public,Newtonville,Middlesex,100,0,42.3480778,-71.1979355
35,Massachusetts,2018-19,Callahan,Public,Lynn,Essex,100,0,42.4673917,-70.9844071
36,Massachusetts,2018-19,Calvin Coolidge,Public,Shrewsbury,Worcester,100,0,42.2653329,-71.7486762
37,Massachusetts,2018-19,Canterbury St,Public,Worcester,Worcester,100,0,42.2464217,-71.8173557
38,Massachusetts,2018-19,Capt Wm Shoemaker,Public,Lynn,Essex,100,1.6,42.50484,-70.983587
39,Massachusetts,2018-19,Capuano Early Childhood Ctr,Public,Somerville,Middlesex,100,0,42.3825129,-71.0868252
40,Massachusetts,2018-19,Carlos Pacheco Elementary,Public,New Bedford,Bristol,100,0,41.6566501,-70.9405158
41,Massachusetts,2018-19,Carlton Viveiros Elementary,Public,Fall River,Bristol,100,0,41.686335,-71.176737
42,Massachusetts,2018-19,Carver Elementary,Public,Carver,Plymouth,100,0,41.89148,-70.7743626
43,Massachusetts,2018-19,Center,Public,South Easton,Bristol,100,1.4,42.0345811,-71.0992139
44,Massachusetts,2018-19,Charles D Harrington,Public,North Chelmsford,Middlesex,100,0,42.62263,-71.3792246
45,Massachusetts,2018-19,Charles S Ashley,Public,New Bedford,Bristol,100,0,41.676293,-70.9334576
46,Massachusetts,2018-19,Charles Taylor Elementary,Public,Foxboro,Norfolk,100,0,42.0486549,-71.253691
47,Massachusetts,2018-19,Charlotte M Murkland Elementary,Public,Lowell,Middlesex,100,0,42.6466295,-71.3211299
48,Massachusetts,2018-19,Cheverus Elementary,Private,Malden,Middlesex,100,0,42.4259696,-71.0664376
49,Massachusetts,2018-19,Clark St Elementary,Public,Worcester,Worcester,100,0,42.3122541,-71.7723888
50,Massachusetts,2018-19,Claypit Hill,Public,Wayland,Middlesex,100,0,42.3730746,-71.3447883
51,Massachusetts,2018-19,Clifford Marshall,Public,Quincy,Norfolk,100,0,42.24371,-70.9819854
52,Massachusetts,2018-19,Cold Spring,Public,Plymouth,Plymouth,100,0,41.9627574,-70.6779374
53,Massachusetts,2018-19,Colegrove Park Elementary,Public,North Adams,Berkshire,100,0,42.6992662,-73.1077924
54,Massachusetts,2018-19,Collicot,Public,Milton,Norfolk,100,0,42.2537695,-71.0522158
55,Massachusetts,2018-19,Community Day Charter School - Gateway,Public,Lawrence,Essex,100,0,42.7126509,-71.1449446
56,Massachusetts,2018-19,Community Day Charter School - Webster,Public,Lawrence,Essex,100,0,42.6838369,-71.1855036
57,Massachusetts,2018-19,Community,Public,North Attleboro,Bristol,100,0,41.98054,-71.334753
58,Massachusetts,2018-19,Cove Elementary,Public,Beverly,Essex,100,0,42.556047,-70.858329
59,Massachusetts,2018-19,Craneville,Public,Dalton,Berkshire,100,0,42.473039,-73.177511
60,Massachusetts,2018-19,Crosby Elementary,Public,Pittsfield,Berkshire,100,0,42.4494356,-73.2728528
61,Massachusetts,2018-19,Cushman,Public,Dartmouth,Bristol,100,1.6,41.5980543,-70.9414029
62,Massachusetts,2018-19,Dexter-Southfield,Private,Brookline,Norfolk,100,2.3,42.3081273,-71.1376268
63,Massachusetts,2018-19,Donald P Timony Grammar,Public,Methuen,Essex,100,0,42.7308031,-71.1721821
64,Massachusetts,2018-19,Douglas Macarthur,Public,Waltham,Middlesex,100,0,42.4040115,-71.2500554
65,Massachusetts,2018-19,Downey,Public,Westwood,Norfolk,100,0,42.214725,-71.175814
66,Massachusetts,2018-19,Dr John C Page Elementary,Public,West Newbury,Essex,100,0,42.8088,-70.9617381
67,Massachusetts,2018-19,Dudley St Neighborhood Charter,Public,Roxbury,Suffolk,100,0,42.3235409,-71.0728817
68,Massachusetts,2018-19,Dutile Elementary,Public,Billerica,Middlesex,100,2,42.5635618,-71.2940433
