index,state,year,name,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,Michigan,2018-19,Academy of Sacred Heart,Oakland,Bloomfield Hills School District,12,,100,0,,,42.5804438,-83.2265961
2,Michigan,2018-19,Adams Christian,Kent,Grandville Public Schools,32,,100,0,,,42.8640668,-85.7238308
3,Michigan,2018-19,AGBU Alex-Marie Manoogian,Oakland,AGBU Alex-Marie Manoogian,27,,100,0,,,42.455094,-83.219216
4,Michigan,2018-19,Anchor Point Christian,Kent,Godwin Heights Public Schools,10,,100,0,,,42.90038,-85.680571
5,Michigan,2018-19,Angus Elementary,Macomb,Warren Consolidated Schools,65,,100,0,,,42.540481,-83.07491
6,Michigan,2018-19,Ann Arbor Trail Magnet,Detroit,Detroit Public Schools Community District,24,,100,0,,,42.3470854,-83.2610545
7,Michigan,2018-19,Arbor Academy,Calhoun,Arbor Academy,41,,100,0,,,42.300986,-85.213227
8,Michigan,2018-19,ASA Higher Learning Preparatory Sch,Detroit,Detroit Public Schools Community District,12,,100,0,,,42.4442173,-83.1423668
9,Michigan,2018-19,Auburn Area Catholic,Bay,Bay City School District,17,,100,0,,,43.60407,-84.070151
10,Michigan,2018-19,Augusta Academy,Kalamazoo,Augusta Academy,12,,100,0,,,42.336094,-85.358444
11,Michigan,2018-19,Bailey Elementary,Hillsdale,Hillsdale Community Schools,13,,100,0,,,41.9172989,-84.6337053
12,Michigan,2018-19,Bangor Lincoln,Bay,Bangor Township Schools,37,,100,0,,,43.659274,-83.911376
13,Michigan,2018-19,Beach Elementary,Muskegon,Fruitport Community Schools,53,,100,0,,,43.189138,-86.175881
14,Michigan,2018-19,Beadle Lake Elementary,Calhoun,Harper Creek Community Schools,70,,100,0,,,42.2721101,-85.1356453
15,Michigan,2018-19,Bear Lake Elementary and High,Manistee,Bear Lake School District,25,,100,0,,,44.4192692,-86.1467774
16,Michigan,2018-19,Beechnau Elementary,Muskegon,Ravenna Public Schools,65,,100,0,,,43.190198,-85.939786
17,Michigan,2018-19,Bethlehem Luthern,Saginaw,Carrollton School District,16,,100,0,,,43.4448614,-83.9529722
18,Michigan,2018-19,Big Bay de Noc,Delta,Big Bay De Noc School District,12,,100,0,,,45.868872,-86.524584
19,Michigan,2018-19,Birney K-8,Oakland,Southfield Public School District,18,,100,0,,,42.4894661,-83.243165
20,Michigan,2018-19,Bishop Baraga Catholic,Cheboygan,Cheboygan Area Schools,13,,100,0,,,45.6323,-84.489621
21,Michigan,2018-19,Blessed Sacrament,Midland,Midland Public Schools,10,,100,0,,,43.6272728,-84.2088821
22,Michigan,2018-19,Blossomland Learning Center,Berrien,Berrien ISD,11,,100,0,,,41.950665,-86.346683
23,Michigan,2018-19,Breton Downs,Kent,East Grand Rapids Public Schools,80,,100,0,,,42.933955,-85.608159
24,Michigan,2018-19,Brimley Elementary,Chippewa,Brimley Area Schools,38,,100,0,,,46.401455,-84.573259
25,Michigan,2018-19,Britton Deerfield Elementary School - Britton,Lenawee,Britton-Deerfield School District,46,,100,0,,,41.9854996,-83.8350385
26,Michigan,2018-19,Brookfield Academy,Oakland,Rochester Community School District,16,,100,0,,,42.556054,-83.340937
27,Michigan,2018-19,Burr Oak Elementary,St. Joseph,Burr Oak Community School District,18,,100,0,,,41.846634,-85.314442
28,Michigan,2018-19,Carver STEM Academy,Detroit,Detroit Public Schools Community District,36,,100,0,,,42.3355428,-83.2237478
29,Michigan,2018-19,Cascades Elementary,Jackson,Jackson Public Schools,46,,100,0,,,42.2357397,-84.4288736
30,Michigan,2018-19,Cavanaugh,Ingham,Lansing Public School District,64,,100,0,,,42.689204,-84.555294
31,Michigan,2018-19,Central Elementary,Kent,Grandville Public Schools,35,,100,0,,,43.014236,-85.7744869
32,Michigan,2018-19,Child's Elementary,Washtenaw,Lincoln Consolidated School District,74,,100,0,,,42.1714008,-83.614472
33,Michigan,2018-19,Comstock STEM Elementary,Kalamazoo,Comstock Public Schools,26,,100,0,,,42.2864998,-85.4861394
34,Michigan,2018-19,Concord Academy Boyne,Charlevoix,Concord Academy:Boyne,12,,100,0,,,45.19146,-84.96959
35,Michigan,2018-19,Cooks Academy PreK,Oakland,Bloomfield Hills School District,14,,100,0,,,42.567799,-83.282479
36,Michigan,2018-19,Cornerstone Jefferson-Douglas Academy,Detroit,Cornerstone Jefferson-Douglas Academy,78,,100,0,,,42.428081,-83.0306282
37,Michigan,2018-19,Daycroft Montessori,Washtenaw,Ann Arbor Public Schools,11,,100,0,,,42.30022,-83.841531
38,Michigan,2018-19,Duncan Lake Early Childhood Ctr KD,Kent,Caledonia Community Schools,61,,100,0,,,42.7879301,-85.5228443
39,Michigan,2018-19,Dutton Elementary,Kent,Caledonia Community Schools,47,,100,0,,,42.837513,-85.584548
40,Michigan,2018-19,Eagle Creek Academy,Oakland,Rochester Community School District,19,,100,0,,,42.72482,-83.212401
41,Michigan,2018-19,Emanuel Lutheran,Ingham,Lansing Public School District,10,,100,0,,,42.7453,-84.554591
42,Michigan,2018-19,Emerson Elementary,Shiawassee,Owosso Public Schools,97,,100,0,,,43.0027793,-84.1637097
43,Michigan,2018-19,Emerson,Washtenaw,Ann Arbor Public Schools,18,,100,0,,,42.25374,-83.836581
44,Michigan,2018-19,Engadine Schools,Mackinac,Engadine Consolidated Schools,13,,100,0,,,46.117378,-85.568009
45,Michigan,2018-19,Faith Community Christian,Ionia,Belding Area School District,12,,100,0,,,43.11007,-85.264841
46,Michigan,2018-19,Farber Hebrew Day School Yeshivat Akiva,Oakland,Southfield Public School District,21,,100,0,,,42.5022763,-83.2529675
47,Michigan,2018-19,Flat River Academy Elementary,Montcalm,Flat River Academy,11,,100,0,,,43.15975,-85.259718
48,Michigan,2018-19,Fox Elementary,Macomb,Chippewa Valley Schools,80,,100,0,,,42.634237,-82.947423
49,Michigan,2018-19,Francis Street Primary,Jackson,Francis Street Primary,15,,100,0,,,42.23205,-84.404271
50,Michigan,2018-19,Gladiola Elementary,Kent,Wyoming Public Schools,62,,100,0,,,42.901466,-85.712956
51,Michigan,2018-19,Global Tech Academy,Washtenaw,Global Tech Academy,20,,100,0,,,42.251082,-83.575659
52,Michigan,2018-19,Godfrey Lee ECC,Kent,Godfrey Lee Public Schools,61,,100,0,,,42.9277879,-85.7001687
53,Michigan,2018-19,Graveraet Elementary,Marquette,Marquette Area Public Schools,51,,100,0,,,46.54869,-87.393261
54,Michigan,2018-19,Great Lakes Academy,Oakland,Great Lakes Academy,29,,100,0,,,42.631903,-83.287371
55,Michigan,2018-19,Gros Cap,Mackinac,Moran Township School District,12,,100,0,,,45.870412,-84.823861
56,Michigan,2018-19,Guardian Angels Catholic,Oakland,Clawson City School District,18,,100,0,,,42.5343763,-83.1392118
57,Michigan,2018-19,Hebrew Day School of Ann Arbor,Washtenaw,Ann Arbor Public Schools,12,,100,0,,,42.238936,-83.721564
58,Michigan,2018-19,Hiller Elementary,Oakland,Lamphere Public Schools,19,,100,0,,,42.517223,-83.102082
59,Michigan,2018-19,Holt Lutheran Schools,Ingham,Holt Public Schools,14,,100,0,,,42.653015,-84.5220311
60,Michigan,2018-19,Holy Ghost Lutheran,Monroe,Monroe Public Schools,11,,100,0,,,41.99239,-83.429091
61,Michigan,2018-19,Holy Redeemer Grade,Detroit,Detroit Public Schools Community District,21,,100,0,,,42.317117,-83.101341
62,Michigan,2018-19,Holy Rosary,Genesee,Kearsley Community Schools,15,,100,0,,,43.0526722,-83.6083442
63,Michigan,2018-19,Immaculate Heart of Mary,Kent,Grand Rapids Public Schools,27,,100,0,,,42.9278591,-85.6247149
64,Michigan,2018-19,Immanuel - St James Lutheran,Kent,Grand Rapids Public Schools,13,,100,0,,,43.000741,-85.659384
65,Michigan,2018-19,International Academy of Saginaw,Saginaw,International Academy of Saginaw,21,,100,0,,,43.384352,-83.917579
66,Michigan,2018-19,Jessie Rouse Elementary,Saginaw,Saginaw City School District,32,,100,0,,,43.4032031,-83.9578058
67,Michigan,2018-19,John Paul II Catholic,Wayne,Lincoln Park Public Schools,15,,100,0,,,42.229546,-83.186471
68,Michigan,2018-19,Ken-O-Sha Park,Kent,Grand Rapids Public Schools,24,,100,0,,,42.9044249,-85.6330755
69,Michigan,2018-19,Kent Hills Elementary,Kent,Grand Rapids Public Schools,44,,100,0,,,42.9896662,-85.6486665
70,Michigan,2018-19,Koepsell Education Center,Macomb,South Lake Schools,28,,100,0,,,42.456675,-82.92919
71,Michigan,2018-19,Legacy Christian,Kent,Kentwood Public Schools,28,,100,0,,,42.841679,-85.665935
72,Michigan,2018-19,Lighthouse Education Center,Berrien,Berrien ISD,13,,100,0,,,42.044285,-86.462355
73,Michigan,2018-19,Lincoln-King Academy,Wayne,Washington-Parks Academy,60,,100,0,,,42.414475,-83.177886
74,Michigan,2018-19,Living Stones Academy,Kent,Grand Rapids Public Schools,21,,100,0,,,42.9668033,-85.6350162
75,Michigan,2018-19,Loomis Math Science and Technology Academy,Saginaw,Saginaw City School District,62,,100,0,,,43.4086083,-83.913538
76,Michigan,2018-19,Ludington Area Catholic,Mason,Ludington Area School District,14,,100,0,,,43.969474,-86.436128
77,Michigan,2018-19,Lybrook Elementary,Berrien,Eau Claire Public Schools,49,,100,0,,,41.983331,-86.306604
78,Michigan,2018-19,Madison Academy,Genesee,Madison Academy,13,,100,0,,,42.9824005,-83.6154657
79,Michigan,2018-19,Madison-Carver Academy,Detroit,Madison-Carver Academy,62,,100,0,,,42.4369326,-83.2629363
