index,state,year,name,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,Minnesota,2017-18,Appleton Elementary,Lac qui Parle,41,100.00,,0.00,0.00,,45.1960686,-96.01252
2,Minnesota,2017-18,Argyle Elementary,Marshall,24,100.00,,0.00,0.00,,48.33247,-96.824427
3,Minnesota,2017-18,Ashby Elementary,Grant,23,100.00,,0.00,0.00,,46.09193,-95.821348
4,Minnesota,2017-18,Ava Maria Academy,Hennepin,17,100.00,,0.00,0.00,,45.0831293,-93.4967965
5,Minnesota,2017-18,Banaadir South K-8,Hennepin,11,100.00,,0.00,0.00,,44.9505072,-93.237853
6,Minnesota,2017-18,Bertha Elementary,Todd,38,100.00,,0.00,0.00,,46.262716,-95.061576
7,Minnesota,2017-18,Bethany Academy,Hennepin,10,100.00,,0.00,0.00,,44.82652,-93.335391
8,Minnesota,2017-18,Blake Lower School-Hopkins Campus,Hennepin,34,100.00,,0.00,0.00,,44.9223192,-93.3896076
9,Minnesota,2017-18,Brookview Elementary,Washington,91,100.00,,0.00,0.00,,44.932881,-92.880461
10,Minnesota,2017-18,Browerville Elementary,Todd,40,100.00,,0.00,0.00,,46.085998,-94.873177
11,Minnesota,2017-18,Browns Valley Elementary,Traverse,22,100.00,,0.00,0.00,,45.592616,-96.830192
12,Minnesota,2017-18,Butterfield Elementary,Watonwan,16,100.00,,0.00,0.00,,43.959477,-94.790709
13,Minnesota,2017-18,Cass Lake-Bena Elementary,Cass,111,100.00,,0.00,0.00,,47.38148,-94.603341
14,Minnesota,2017-18,Cathedral,Polk,12,100.00,,0.00,0.00,,47.7752401,-96.5897449
15,Minnesota,2017-18,Chandler Christian,Murray,5,100.00,,0.00,0.00,,43.93151,-95.94818
16,Minnesota,2017-18,Childrens Day Montessori,Stearns,6,100.00,,0.00,0.00,,45.51781,-94.163641
17,Minnesota,2017-18,Childrens Workshop Montessori,Hennepin,11,100.00,,0.00,0.00,,45.013855,-93.465228
18,Minnesota,2017-18,Chokio-Alberta Public Schools,Stevens,5,100.00,,0.00,0.00,,45.5724853,-96.1760506
19,Minnesota,2017-18,Christ Lutheran,Wabasha,5,100.00,,0.00,0.00,,44.2920394,-92.6676398
20,Minnesota,2017-18,Christ The King,Todd,7,100.00,,0.00,0.00,,46.08706,-94.867641
21,Minnesota,2017-18,Clarkfield Area Charter,Yellow Medicine,15,100.00,,0.00,0.00,,44.7242998,-95.8087383
22,Minnesota,2017-18,Comfrey Elementary,Brown,6,100.00,,0.00,0.00,,44.109568,-94.908067
23,Minnesota,2017-18,Community Of Peace Academy Elementary,Ramsey,47,100.00,,0.00,0.00,,44.9739357,-93.0805432
24,Minnesota,2017-18,Convent Of The Visitation,Dakota,17,100.00,,0.00,0.00,,44.868994,-93.13321
25,Minnesota,2017-18,Cornelia Elementary,Hennepin,93,100.00,,0.00,0.00,,44.875169,-93.336599
26,Minnesota,2017-18,Cross Of Christ Lutheran,Anoka,13,100.00,,0.00,0.00,,45.150787,-93.274647
27,Minnesota,2017-18,Crown Of Life,Dakota,7,100.00,,0.00,0.00,,44.8875216,-93.089911
28,Minnesota,2017-18,Crucifixion,Houston,13,100.00,,0.00,0.00,,43.8268061,-91.3067878
29,Minnesota,2017-18,Daytons Bluff,Ramsey,59,100.00,,0.00,0.00,,44.9543909,-93.0626284
30,Minnesota,2017-18,Deerwood Elementary,Dakota,123,100.00,,0.00,0.00,,44.80935,-93.174844
