index,state,year,name,city,mmr,overall,xmed,xper,xrel,lat,lng
1,Missouri,2018-19,Agape Boarding,Stockton,99,,,,,37.6951686,-93.8372975
2,Missouri,2018-19,All Saints Academy- St Ferdinand,Florissant,99,,,,,38.8063716,-90.3534658
3,Missouri,2018-19,All Saints Academy- St Norbert,Florissant,99,,,,,38.8393259,-90.319233
4,Missouri,2018-19,All Saints Academy-St Rose Phill,Florissant,99,,,,,38.789217,-90.322614
5,Missouri,2018-19,All Saints,St Peters,99,,,,,38.7973847,-90.628718
6,Missouri,2018-19,Assumption,St. Louis,99,,,,,38.5001433,-90.3599865
7,Missouri,2018-19,Atonement Lutheran,Florissant,99,,,,,38.79659,-90.317701
8,Missouri,2018-19,Blessed Teresa Of Calcutta Sch,Ferguson,99,,,,,38.7485479,-90.2981101
9,Missouri,2018-19,Central Christian,Clayton,99,,,,,38.64149,-90.334425
10,Missouri,2018-19,Chaminade College Prep,St. Louis,99,,,,,38.6496493,-90.4068831
11,Missouri,2018-19,Christ Community Lutheran Scho,Kirkwood,99,,,,,38.5737788,-90.4072465
12,Missouri,2018-19,Christ Prince Of Peace Sc,Manchester,99,,,,,38.6000063,-90.4950468
13,Missouri,2018-19,Christian Brothers College Hig,St. Louis,99,,,,,38.6398545,-90.4606679
14,Missouri,2018-19,Community,St Louis,99,,,,,38.5751341,-90.2511624
15,Missouri,2018-19,Cor Jesu Academy,St Louis,99,,,,,38.546841,-90.344232
16,Missouri,2018-19,Cristo Rey Kansas City,Kansas City,99,,,,,39.06718,-94.588878
17,Missouri,2018-19,Holy Cross Academy,Webster Groves,99,,,,,38.5938802,-90.3295831
18,Missouri,2018-19,Holy Cross,Kansas City,99,,,,,39.112929,-94.522063
19,Missouri,2018-19,Holy Redeemer,Webster Groves,99,,,,,38.5922975,-90.3485253
20,Missouri,2018-19,Holy Trinity,St Ann,99,,,,,38.7242924,-90.3941052
21,Missouri,2018-19,Immacolata,St. Louis,99,,,,,38.6391894,-90.3517553
22,Missouri,2018-19,Immaculate Conception,Jackson,99,,,,,37.379563,-89.666526
23,Missouri,2018-19,Immaculate Conception,Loose Creek,99,,,,,38.51004,-91.949411
24,Missouri,2018-19,Incarnate Word Academy,St. Louis,99,,,,,38.6994622,-90.3121143
25,Missouri,2018-19,Incarnate Word Elementaryl,Chesterfield,99,,,,,38.6795663,-90.4962618
26,Missouri,2018-19,Lutheran High Sch North,St Louis,99,,,,,38.717272,-90.283543
