index,state,year,name,county,enroll,mmr,xmed,lat,lng
1,Montana,2017-18,Acadia Montana,Silver Bow,64,100,0,46.0133825,-112.5459677
2,Montana,2017-18,Anna Jeffries Elementary,Glacier,105,100,0,48.640888,-112.329465
3,Montana,2017-18,Ashland,Rosebud,75,100,0,45.594903,-106.271119
4,Montana,2017-18,Atonement Lutheran Preschool,Yellowstone,26,100,0,45.8154276,-108.473913
5,Montana,2017-18,Big Stone,Cascade,38,100,0,47.400636,-111.206524
6,Montana,2017-18,Blackfeet Early Childhood Cntr,Glacier,76,100,0,48.637319,-112.341296
7,Montana,2017-18,Child Start Head Start,Missoula,318,100,0,46.7716769,-113.714381
8,Montana,2017-18,Crow Agency,Big Horn,315,100,0,45.605624,-107.458672
9,Montana,2017-18,Dodson Schools Prek-12,Phillips,82,100,0,48.3505689,-107.8709175
10,Montana,2017-18,Eastern Montana Head Start,Dawson,40,100,0,47.1003625,-104.7090464
11,Montana,2017-18,Ekalaka Elementary,Carter,63,100,0,45.88833,-104.550104
12,Montana,2017-18,Explorers Academy Head Start Inc,Yellowstone,359,100,0,45.7847389,-108.6398726
13,Montana,2017-18,First Lutheran Preschool,Valley,40,100,0,48.1918271,-106.6279399
14,Montana,2017-18,Forsyth Elementary,Rosebud,167,100,0,46.271005,-106.667591
15,Montana,2017-18,Fort Smith,Big Horn,37,100,0,45.308113,-107.932308
16,Montana,2017-18,Gardiner 7-8,Park,25,100,0,45.031772,-110.711217
17,Montana,2017-18,Garfield,Custer,239,100,0,46.416745,-105.847221
18,Montana,2017-18,Geraldine Schools K-12,Chouteau,58,100,0,48.0310782,-111.3230342
19,Montana,2017-18,Geyser Schools Prek-12,Judith Basin,37,100,0,47.1535215,-110.2185163
20,Montana,2017-18,Growing Kids Preschool,Missoula,29,100,0,46.8929391,-114.0570437
21,Montana,2017-18,Hardin Intermediate,Big Horn,354,100,0,45.73376,-107.616338
22,Montana,2017-18,Head Start Lewistown,Fergus,81,100,0,47.0546932,-109.6382428
