index,name,state,county,enroll,overall,xmed,xrel,xper,lat,lng
1,A. Harry Moore,New Jersey,Hudson,13,100,,,,40.70949,-74.0852622
2,A. Russell Knight Elementary,New Jersey,Union,63,100,,,,39.9003877,-75.0113284
3,A.V. Ceres Elementary,New Jersey,Middlesex,139,100,,,,40.5144042,-74.2658612
4,Aaron Decker,New Jersey,Morris,81,100,,,,41.0065565,-74.3566855
5,Abington Avenue,New Jersey,Essex,87,100,,,,40.770294,-74.181645
6,Abraham Lincoln - Wykoff,New Jersey,Bergen,41,100,,,,41.0150946,-74.1612587
7,Abraham Lincoln 6 - Garfield,New Jersey,Bergen,71,100,,,,40.8677413,-74.1078917
8,Academy at St. Mary,New Jersey,Bergen,9,100,,,,40.8295921,-74.1044611
9,Academy of Our Lady of Grace,New Jersey,Bergen,43,100,,,,40.8160105,-73.9980776
10,Academy Of Our Lady Of Mount Carmel,New Jersey,Bergen,25,100,,,,40.923662,-73.963833
11,Academy of Saint Paul,New Jersey,Bergen,15,100,,,,41.0522657,-74.1513173
12,Academy of Saint Therese,New Jersey,Bergen,7,100,,,,40.9426706,-73.969504
13,Academy of the Most Blessed Sacrament,New Jersey,Bergen,9,100,,,,40.9947104,-74.210303
14,Academy Street Elementary,New Jersey,Morris,83,100,,,,40.8786637,-74.5599003
15,Albert E. Burling,New Jersey,Camden,17,100,,,,39.9371592,-75.081472
16,Alexander Hamilton Academy,New Jersey,Passaic,55,100,,,,40.9163218,-74.1664075
17,"Alfred E. Zampella, Elementary",New Jersey,Hudson,101,100,,,,40.753718,-74.0501031
18,All Saints Academy,New Jersey,Morris,20,100,,,,40.866345,-74.3935025
19,All Saints Episcopal Day,New Jersey,Hudson,18,100,,,,40.744964,-74.0280703
20,All Saints Regional Catholic,New Jersey,Ocean,14,100,,,,39.699109,-74.278828
21,Alpine Montessori of Millburn,New Jersey,Essex,8,100,,,,40.715782,-74.3077968
22,Alpine Public,New Jersey,Bergen,16,100,,,,40.9579189,-73.9183464
23,Althea Gibson Early Childhood Academy,New Jersey,Essex,78,100,,,,40.7669435,-74.2146527
24,Amazing Grace Early Education Center,New Jersey,Salem,5,100,,,,39.7562348,-75.4134141
25,Apple Montessori - Edison - Woodbridge Ave,New Jersey,Middlesex,42,100,,,,40.515445,-74.3590681
26,Apple Montessori - Mahwah,New Jersey,Bergen,26,100,,,,41.0941913,-74.1516064
27,Apple Montessoris - Edison - Route 27,New Jersey,Middlesex,6,100,,,,40.5153535,-74.4020647
28,Apple Montessoris - Metuchen,New Jersey,Middlesex,21,100,,,,40.5414679,-74.3642228
29,Apples and Books Learning Center,New Jersey,Somerset,7,100,,,,40.5642732,-74.6948355
30,Apshawa Elementary,New Jersey,Passaic,30,100,,,,41.0195981,-74.3706225
31,Aquinas Academy,New Jersey,Essex,24,100,,,,40.7815778,-74.3189962
32,Arc of Essex County Stepping Stones,New Jersey,Essex,8,100,,,,40.8216607,-74.2901153
33,Archbishop Damiano,New Jersey,Gloucester,6,100,,,,39.847871,-75.1241255
34,Assumption,New Jersey,Morris,46,100,,,,40.7909168,-74.4804872
35,Assumption Regional Catholic,New Jersey,Atlantic,37,100,,,,39.474288,-74.488852
36,Ateres Tzipora,New Jersey,Ocean,12,100,,,,40.0779334,-74.1776667
37,Atlantic Avenue,New Jersey,Camden,18,100,,,,39.8855133,-75.0610302
38,Atlantic Community Charter,New Jersey,Atlantic,75,100,,,,39.481662,-74.4584416
39,Atlantic County Elementary / Middle,New Jersey,Atlantic,11,100,,,,39.4377465,-74.6945051
40,Aura Elementary,New Jersey,Gloucester,41,100,,,,39.673685,-75.1422534
41,Avenel Street,New Jersey,Middlesex,54,100,,,,40.5781917,-74.2798771
42,Avon Elementary,New Jersey,Monmouth,9,100,,,,40.190198,-74.0232572
43,Bancroft Early Education Program,New Jersey,Camden,5,100,,,,39.9116291,-75.0122665
44,Bayberry,New Jersey,Somerset,66,100,,,,40.6525222,-74.4236171
45,Beach Haven Elementary,New Jersey,Ocean,11,100,,,,39.567459,-74.2356141
46,Beacon Academy,New Jersey,Gloucester,6,100,,,,39.7347019,-75.0624836
47,Beacon Christian Academy,New Jersey,Hudson,16,100,,,,40.6605908,-74.1161561
48,Bedminster Township,New Jersey,Somerset,50,100,,,,40.6630327,-74.6751731
49,Bell Park Elementary,New Jersey,Camden,74,100,,,,39.8703606,-75.0911336
50,Belleville 10,New Jersey,Essex,23,100,,,,40.7932151,-74.1719632
51,Belleville 4,New Jersey,Essex,43,100,,,,40.7818425,-74.1800183
52,Belleville 9,New Jersey,Essex,18,100,,,,40.795535,-74.157431
53,Bet Yaakov of the Jersey Shore,New Jersey,Monmouth,15,100,,,,40.2851712,-74.0186399
54,Betsy Ross Elementary,New Jersey,Bergen,48,100,,,,41.092827,-74.1404537
55,Billingsport Elementary,New Jersey,Gloucester,99,100,,,,39.842642,-75.2433591
56,Bingham Elementary,New Jersey,Camden,46,100,,,,39.849705,-75.079113
57,Birchwood,New Jersey,Morris,37,100,,,,40.8994694,-74.5390857
58,Bishop Schad Regional,New Jersey,Cumberland,10,100,,,,39.486371,-75.015311
59,Bloomsbury Elementary,New Jersey,Hunterdon,9,100,,,,40.6544525,-75.0865774
60,Bnos Brocha,New Jersey,Ocean,42,100,,,,40.0567163,-74.1875088
61,Bradley Beach Elementary,New Jersey,Monmouth,28,100,,,,40.202197,-74.015645
62,Branch Brook Elementary,New Jersey,Essex,29,100,,,,40.7611166,-74.1762051
63,Bret Harte Elementary,New Jersey,Camden,43,100,,,,39.8723805,-74.9772319
64,BRICK Avon Academy,New Jersey,Essex,44,100,,,,40.7261425,-74.2000447
65,Bright Beginnings Academy and Brighten Academy,New Jersey,Gloucester,9,100,,,,39.722479,-75.050984
66,Bright Horizons at Mount Olive,New Jersey,Morris,6,100,,,,40.8824606,-74.6968187
67,Bright Horizons at Spotswood,New Jersey,Middlesex,5,100,,,,40.3945949,-74.3869669
68,Bright Horizons Family Solutions,New Jersey,Somerset,14,100,,,,40.5279131,-74.5189713
69,Broad Street,New Jersey,Cumberland,102,100,,,,39.430765,-75.245378
70,Brookside Place,New Jersey,Union,36,100,,,,40.6637318,-74.3165877
71,Building Blocks Child Center,New Jersey,Bergen,6,100,,,,41.0102231,-74.1312815
72,Building Blocks Learning Center,New Jersey,Camden,10,100,,,,39.5948869,-75.1267751
73,Burch Charter of Excellence,New Jersey,Essex,60,100,,,,40.7298464,-74.2271486
74,Califon Public,New Jersey,Hunterdon,5,100,,,,40.724734,-74.839383
75,Calvary Christian Academy/Happy Day Learning Center,New Jersey,Passaic,9,100,,,,40.9285824,-74.2257322
76,Calvary Nursery and Child Care,New Jersey,Union,18,100,,,,40.657039,-74.306775
77,Camden Forward,New Jersey,Camden,12,100,,,,39.9483646,-75.0717462
78,Camden's Pride Charter,New Jersey,Camden,90,100,,,,39.9575369,-75.0857651
79,Campbell's Family Center,New Jersey,Camden,8,100,,,,39.9391024,-75.1082114
80,Candyland Child Development Center - Woodbridge - King Georges Rd,New Jersey,Middlesex,11,100,,,,40.5320014,-74.3079904
81,Candyland Child Learning Center - Woodbridge - Inman Ave,New Jersey,Middlesex,5,100,,,,40.5982024,-74.3363072
82,Cape May City Elementary,New Jersey,Cape May,25,100,,,,38.9393348,-74.9185656
83,Cape Trinity Catholic,New Jersey,Cape May,26,100,,,,38.9997075,-74.8029943
84,Carla's Kids LLC,New Jersey,Passaic,6,100,,,,40.8744293,-74.1349468
85,Carlstadt Public,New Jersey,Bergen,55,100,,,,40.8441842,-74.0942369
86,Carteret Elementary,New Jersey,Essex,47,100,,,,40.7781641,-74.1904031
87,Castle Academy/Kids Castle,New Jersey,Camden,7,100,,,,39.8667,-75.0513495
88,Cedar Hill Prep,New Jersey,Somerset,24,100,,,,40.5193272,-74.5235919
