index,state,year,name,type,city,county,enroll,mmr,overal,xmed,xper,xrel,lat,lng
1,New York,2017-18,A Child's Place,Private,East Elmhurst,Queens,,100,100,0,,0,40.759329,-73.861561
2,New York,2017-18,A Fantis Parochial,Private,Brooklyn,Kings,,100,98.8,1.18,,0,40.690316,-73.991358
3,New York,2017-18,Aabr/New York Child Learning Institute,Private,College Point,Queens,,100,100,0,,0,40.7855832,-73.8441574
4,New York,2017-18,Abraham Wing,Public,Glens Falls,Warren,,100,100,0,,0,43.314363,-73.631971
5,New York,2017-18,Abundant Life Academy,Private,Kingston,Ulster,,100,75,0,,0,41.92605,-73.995331
6,New York,2017-18,Academy Mt St Ursula,Private,Bronx,Bronx,,100,100,0,,0,40.8689365,-73.8857394
7,New York,2017-18,Academy Of The Holy Names - Upper,Private,Albany,Albany,,100,98.3,0,,0,42.6509855,-73.8355173
8,New York,2017-18,Adelphi Academy,Private,Brooklyn,Kings,,100,100,0,,0,40.624398,-74.032968
9,New York,2017-18,Adirondack Christian,Private,Wilmington,Clinton,,100,100,0,,0,44.39215,-73.786661
10,New York,2017-18,Ahi Ezer Yeshiva,Private,Brooklyn,Kings,,100,100,0,,0,40.590243,-73.964693
11,New York,2017-18,Albany Community Charter,Private,Albany,Albany,,100,100,0,,0,42.641454,-73.770349
12,New York,2017-18,Alexander Robertson Sch,Private,New York,New York,,100,100,0,,0,40.7912092,-73.965389
13,New York,2017-18,All Hallows Institute,Private,Bronx,Bronx,,100,100,0,,0,40.8300945,-73.9221141
14,New York,2017-18,All Saints Catholic Academy,Private,Albany,Albany,,100,99.3,0,,0,42.671338,-73.805922
15,New York,2017-18,All Saints Elementary Of Tipperary Hill,Private,Syracuse,Onondaga,,100,97.9,0,,0,43.04809,-76.179921
16,New York,2017-18,Alleghany Avenue,Public,Lindenhurst,Suffolk,,100,100,0,,0,40.685967,-73.365798
17,New York,2017-18,Allen Christian,Private,Jamaica,Queens,,100,95.7,0,,0,40.6907125,-73.7789267
