index,state,year,name,address,city,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,North Carolina,2018-19,A T Allen Elementary,,,Cabarrus,,132,,100,0,,0,35.362379,-80.512966
2,North Carolina,2018-19,A.C.E. Academy,,,Cabarrus,,44,,100,0,,0,35.30806,-80.672811
3,North Carolina,2018-19,ABC of NC Child Develop. Ctr,,,Davidson,,1,,100,0,,0,35.9948057,-80.2740284
4,North Carolina,2018-19,Agape Christian,,,Ashe,,3,,100,0,,0,36.4206381,-81.4870445
5,North Carolina,2018-19,Agape International Christian Academy,,,Franklin,,1,,100,0,,0,36.0348412,-78.4981995
6,North Carolina,2018-19,Ahoskie Christian,,,Hertford,,32,,100,0,,0,36.278572,-76.976738
7,North Carolina,2018-19,Alamance Christian,,,Alamance,,15,,100,0,,0,36.07537,-79.371081
8,North Carolina,2018-19,Alamance Elementary,,,Guilford,,79,,100,0,,1.3,36.0172276,-79.7078376
9,North Carolina,2018-19,Albemarle,,,Pasquotank,,15,,100,0,,0,36.2777061,-76.2832581
10,North Carolina,2018-19,Albert H Bangert Elementary,,,Craven,,70,,100,0,,1.4,35.083175,-77.083419
11,North Carolina,2018-19,Alexander Christian Academy,,,Alexander,,10,,100,0,,40,35.8333212,-81.3357092
12,North Carolina,2018-19,Alexander Wilson Elementary,,,Alamance,,110,,100,0,,0.9,36.029729,-79.346699
13,North Carolina,2018-19,Alston Ridge Elementary,,,Wake,,0,,100,0,,0,35.8596023,-78.8990479
14,North Carolina,2018-19,Altamahaw-Ossipee Elementary,,,Alamance,,89,,100,0,,0,36.1796184,-79.5105431
15,North Carolina,2018-19,Anami Montessori,,,Mecklenburg,,11,,100,0,,27.3,35.14757,-80.854051
16,North Carolina,2018-19,Anchor Baptist Academy,,,Transylvania,,3,,100,0,,33.3,35.27242,-82.648301
17,North Carolina,2018-19,Anderson Creek Academy,,,Harnett,,40,,100,0,,0,35.27789,-78.977101
18,North Carolina,2018-19,Ansonville Elementary,,,Anson,,31,,100,0,,0,35.105375,-80.106437
19,North Carolina,2018-19,Antioch Elementary,,,Union,,109,,100,0,,4.6,35.05881,-80.722757
20,North Carolina,2018-19,Aquadale Elementary,,,Stanly,,46,,100,0,,0,35.2288743,-80.2236211
21,North Carolina,2018-19,Arborbrook Christian Academy,,,Union,,16,,100,0,,12.5,35.020191,-80.693467
22,North Carolina,2018-19,Archdale Elementary,,,Randolph,,56,,100,0,,1.8,35.9128875,-79.9754617
23,North Carolina,2018-19,Archer Elementary,,,Guilford,,65,,100,0,,1.5,36.0303399,-79.8306088
24,North Carolina,2018-19,Arendell Parrott Academy,,,Lenoir,,38,,100,0,,5.3,35.31448,-77.603394
25,North Carolina,2018-19,ArtSpace Charter,,,Buncombe,,35,,100,0,,20,35.594702,-82.428719
26,North Carolina,2018-19,Asheville Catholic,,,Buncombe,,18,,100,0,,0,35.63114,-82.551361
27,North Carolina,2018-19,Asheville Montessori ,,,Buncombe,,20,,100,0,,30,35.6622,-82.582701
28,North Carolina,2018-19,Asheville-Pisgah Christian Sch.,,,Buncombe,,9,,100,0,,55.6,35.569048,-82.668406
29,North Carolina,2018-19,ASU Academy at Middle Forl,,,Forsyth,,40,,100,0,,0,36.1412787,-80.1683575
30,North Carolina,2018-19,Atlantic Elementary,,,Carteret,,13,,100,0,,0,34.8832669,-76.3421054
31,North Carolina,2018-19,Avery's Creek Elementary,,,Buncombe,,95,,100,0,,1.1,35.477638,-82.579194
32,North Carolina,2018-19,B F Grady Elementary,,,Duplin,,117,,100,0,,0,35.057186,-77.828759
33,North Carolina,2018-19,B O Barnes Elementary,,,Wilson,,60,,100,0,,0,35.713303,-77.88642
34,North Carolina,2018-19,B'nai Shalom Day,,,Guilford,,8,,100,0,,0,36.093534,-79.856496
35,North Carolina,2018-19,Back Creek Christian Academy,,,Mecklenburg,,10,,100,0,,0,35.30945,-80.710588
36,North Carolina,2018-19,Bailey's Grove Baptist,,,Randolph,,5,,100,0,,0,35.73355,-79.719521
37,North Carolina,2018-19,Bain Elementary,,,Mecklenburg,,146,,100,0,,6.8,35.17497,-80.648406
38,North Carolina,2018-19,Bal-Perazim Christian Academy,,,Cumberland,,5,,100,0,,0,35.09175,-78.955851
39,North Carolina,2018-19,Balfour Elementary,,,Randolph,,85,,100,0,,0,35.7456384,-79.8217381
40,North Carolina,2018-19,Ballantyne Elementary,,,Mecklenburg,,136,,100,0,,0,35.037387,-80.856135
41,North Carolina,2018-19,Ballentine Elementary,,,Wake,,111,,100,0,,2.7,35.613785,-78.770636
42,North Carolina,2018-19,Balls Creek Elementary,,,Catawba,,84,,100,0,,0,35.629772,-81.12787
43,North Carolina,2018-19,Banks Elementary,,,Lenoir,,71,,100,0,,0,35.281598,-77.679538
44,North Carolina,2018-19,Banner Elk Elementary,,,Avery,,32,,100,0,,0,36.1460737,-81.8607621
45,North Carolina,2018-19,Banoak Elementary,,,Catawba,,44,,100,0,,0,35.582207,-81.416602
46,North Carolina,2018-19,Barnette Elementary,,,Mecklenburg,,136,,100,0,,0.7,35.399842,-80.92486
47,North Carolina,2018-19,Baton Elementary,,,Caldwell,,54,,100,0,,0,35.808818,-81.536029
48,North Carolina,2018-19,Beaufort Elementary,,,Carteret,,82,,100,0,,1.2,34.7296582,-76.6469568
49,North Carolina,2018-19,Beaver Dam Elementary,,,Cumberland,,18,,100,0,,0,34.89448,-78.580797
50,North Carolina,2018-19,Beaverdam Elementary,,,Wake,,121,,100,0,,1.7,35.8212317,-78.527968
51,North Carolina,2018-19,Belvoir Elementary,,,Pitt,,64,,100,0,,0,35.6674035,-77.417972
52,North Carolina,2018-19,Ben D Quinn Elementary,,,Craven,,74,,100,0,,2.7,35.091955,-77.128811
53,North Carolina,2018-19,Benjamin T. Bullock Elementary,,,Lee,,115,,100,0,,0.9,35.5063521,-79.1863685
54,North Carolina,2018-19,Bennett,,,Chatham,,22,,100,0,,0,35.56214,-79.546126
