index,state,year,name,city,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,North Dakota,2017-18,Anamoose Elementary,Anamoose,McHenry,,7.00,100.00,,0,0,0,47.883107,-100.245202
2,North Dakota,2017-18,Ashley Elementary,Ashley,McIntosh,,11.00,100.00,,0,0,0,46.0337709,-99.380671
3,North Dakota,2017-18,Ashley Elementary,Fargo,McIntosh,,9.00,100.00,,0,0,0,46.871482,-96.8098692
4,North Dakota,2017-18,Barnes County North Elementary,Wimbledon,Barnes,,14.00,100.00,,0,0,0,47.097517,-98.360598
5,North Dakota,2017-18,Bel Air Elementary,Minot,Ward,,39.00,100.00,,0,5.128205128,0,48.242329,-101.330774
6,North Dakota,2017-18,Belfield Elementary,Belfield,Stark,,20.00,100.00,,0,0,0,46.88824,-103.195466
7,North Dakota,2017-18,Berthold Elementary,Berthold,Ward,,20.00,100.00,,0,0,0,48.317194,-101.732107
8,North Dakota,2017-18,Bottineau Elementary,Bottineau,Bottineau,,50.00,100.00,,2,0,0,48.829412,-100.442655
9,North Dakota,2017-18,Bowbells Elementary,Bowbells,Burke,,8.00,100.00,,0,0,0,48.80587,-102.247188
10,North Dakota,2017-18,Burke Central Elementary,Lignite,Burke,,5.00,100.00,,0,0,0,48.875032,-102.564759
11,North Dakota,2017-18,Cannon Ball Elementary,Cannon Ball,Sioux,,20.00,100.00,,0,0,0,46.390888,-100.587288
12,North Dakota,2017-18,Central Valley Elementary,Buxton,Traill,,14.00,100.00,,0,0,0,47.635976,-97.067768
13,North Dakota,2017-18,Dakota Prairie Elementary,McVille,Nelson,,16.00,100.00,,0,0,0,47.769225,-98.178658
14,North Dakota,2017-18,Divide County Elementary,Crosby,Divide,,31.00,100.00,,0,0,0,48.914033,-103.292498
15,North Dakota,2017-18,Drayton Elementary,Drayton,Pembina,,11.00,100.00,,0,0,0,48.561108,-97.184248
16,North Dakota,2017-18,Dunseith Elementary,Dunseith,Rolette,,38.00,100.00,,0,0,0,48.811765,-100.063483
17,North Dakota,2017-18,Edison Elementary,Minot,Ward,,71.00,100.00,,0,2.816901408,0,48.215892,-101.303389
18,North Dakota,2017-18,Eight Mile Elementary,Trenton,Williams ,,30.00,100.00,,0,0,0,48.072197,-103.834152
19,North Dakota,2017-18,Emerado Elementary,Emerado,Grand Forks,,16.00,100.00,,0,0,0,47.914402,-97.370785
20,North Dakota,2017-18,Fairmount Elementary,Fairmount,Richland,,5.00,100.00,,0,0,0,46.05545,-96.599923
21,North Dakota,2017-18,Glen Ullin Elementary,Glen Ullin,Morton,,8.00,100.00,,0,0,0,46.81061,-101.825214
22,North Dakota,2017-18,Hankinson Elementary,Hankinson,Richland,,21.00,100.00,,0,0,0,46.069177,-96.900133
23,North Dakota,2017-18,Harwood Elementary,Harwood,Cass,,24.00,100.00,,0,4.166666667,0,46.976517,-96.879363
24,North Dakota,2017-18,Hatton Eielson Elementary,Hatton,Traill,,12.00,100.00,,0,0,0,47.641499,-97.459967
25,North Dakota,2017-18,Hillsboro Elementary,Hillsboro,Traill,,31.00,100.00,,0,0,0,47.402199,-97.054291
26,North Dakota,2017-18,Holy Spirit Elementary,Fargo,Cass,,15.00,100.00,,0,0,0,46.896361,-96.790257
27,North Dakota,2017-18,Horace Elementary,Horace,Cass,,38.00,100.00,,0,0,0,46.763715,-96.905112
28,North Dakota,2017-18,J Nelson Kelly Elementary,Grand Forks,Grand Forks,,75.00,100.00,,0,0,0,47.891352,-97.036591
29,North Dakota,2017-18,Jeannette Myhre Elementary,Bismarck,Burleigh,,43.00,100.00,,0,2.325581395,0,46.795881,-100.77207
30,North Dakota,2017-18,Kensal Elementary,Kensal,Stutsman,,10.00,100.00,,0,0,0,47.304839,-98.73452
31,North Dakota,2017-18,Langdon Area Elementary,Langdon,Cavalier,,27.00,100.00,,0,0,0,48.763748,-98.375584
32,North Dakota,2017-18,Larimore Elementary,Larimore,Grand Forks,,25.00,100.00,,0,8,0,47.910307,-97.630427
33,North Dakota,2017-18,Leeds Elementary,Leeds,Benson,,8.00,100.00,,0,0,0,48.288217,-99.434173
34,North Dakota,2017-18,Litchville-Marion Elementary,Litchville,Barnes,,11.00,100.00,,0,0,0,46.655205,-98.189166
35,North Dakota,2017-18,Little Flower Elementary,Rugby,Pierce,,5.00,100.00,,0,0,0,48.367429,-99.992733
36,North Dakota,2017-18,Maddock Elementary,Maddock,Benson,,9.00,100.00,,0,0,0,47.964868,-99.521426
37,North Dakota,2017-18,Mapleton Elementary,Mapleton,Cass,,30.00,100.00,,0,0,0,46.888435,-97.046064
38,North Dakota,2017-18,Martin Luther,Bismarck,Burleigh,,11.00,100.00,,0,0,0,46.81227,-100.785141
39,North Dakota,2017-18,Max Elementary,Max,McLean,,15.00,100.00,,0,0,0,47.82747,-101.295561
40,North Dakota,2017-18,Mcclusky Elementary,McClusky,Sheridan,,8.00,100.00,,0,0,0,47.480206,-100.443836
41,North Dakota,2017-18,Mckinley Elementary,Minot,Ward,,18.00,100.00,,0,0,0,48.241405,-101.292178
42,North Dakota,2017-18,Medina Elementary,Medina,Stutsman,,10.00,100.00,,0,0,0,46.891456,-99.296873
43,North Dakota,2017-18,Menoken Elementary,Menoken,Burleigh,,6.00,100.00,,0,0,0,46.822603,-100.533085
44,North Dakota,2017-18,Milnor Elementary,Milnor,Sargent,,18.00,100.00,,0,0,0,46.260904,-97.455377
