index,state,year,name,type,city,county,enroll,mmr,overall,xmed,lat,lng
1,Ohio,2018-19,Academy Of Educational Excellence,Public,Toledo,Lucas,22,100,95.45,0,41.647455,-83.594897
2,Ohio,2018-19,Adrian Elementary,Public,South Euclid,Cuyahoga,62,100,95.16,0,41.5311063,-81.5260453
3,Ohio,2018-19,All Saints,Private,Cincinnati,Hamilton,52,100,100,0,39.2185467,-84.3591061
4,Ohio,2018-19,All Saints Academy,Private,Columbus,Franklin,38,100,100,0,39.9466362,-82.9209501
5,Ohio,2018-19,All Saints Catholic,Private,Rossford,Wood,23,100,95.65,0,41.5955995,-83.568817
6,Ohio,2018-19,Andrews Osborne Academy,Private,Willoughby,Lake,11,100,100,0,41.6413384,-81.3969591
7,Ohio,2018-19,Annunciation,Private,Cincinnati,Hamilton,15,100,100,0,39.146989,-84.519539
8,Ohio,2018-19,Antwerp Local Elementary,Public,Antwerp,Paulding,64,100,98.44,0,41.177928,-84.7291874
9,Ohio,2018-19,Applewood Elementary,Public,Brunswick,Medina,80,100,98.75,0,41.2249424,-81.8265684
10,Ohio,2018-19,Babeck Early Childhood,Public,Trenton,Butler,201,100,99.5,0,39.47311,-84.457798
11,Ohio,2018-19,Barrington Road Elementary,Public,Upper Arlington,Franklin,117,100,100,0,40.000141,-83.056566
12,Ohio,2018-19,Beallsville Elementary,Public,Beallsville,Monroe,28,100,100,0,39.848379,-81.024016
13,Ohio,2018-19,Beautiful Savior Lutheran,Private,Cincinnati,Hamilton,15,100,100,0,39.30275,-84.573562
14,Ohio,2018-19,Bellaire Elementary,Public,Bellaire,Belmont,96,100,98.96,0,40.0223432,-80.8288014
15,Ohio,2018-19,Betty Jane Community Learning Center,Public,Akron,Summit,73,100,100,0,41.0762424,-81.4426845
16,Ohio,2018-19,Beverly Elementary,Public,Toledo,Lucas,60,100,98.33,0,41.6018057,-83.6099844
17,Ohio,2018-19,Beverly-Center Elementary,Public,Beverly,Washington,28,100,92.86,0,39.5485629,-81.6292923
18,Ohio,2018-19,Blessed Sacrament,Private,Newark,Licking,13,100,100,0,40.0597102,-82.3856554
19,Ohio,2018-19,Blessed Sacrament,Private,Toledo,Lucas,22,100,100,0,41.6958501,-83.5964644
20,Ohio,2018-19,Blue Ash Educational Bldg,Private,Cincinnati,Hamilton,19,100,100,0,39.245345,-84.376598
21,Ohio,2018-19,Bluffsview Elementary,Public,Columbus,Franklin,67,100,100,0,40.1109999,-83.0438378
22,Ohio,2018-19,Bright Beginnings,Private,Beavercreek,Greene,15,100,86.67,0,39.7352197,-84.0445235
23,Ohio,2018-19,Broadleigh Elementary,Public,Columbus,Franklin,50,100,98,0,39.9752972,-82.9211019
24,Ohio,2018-19,Brooklyn Elementary,Public,Brooklyn,Cuyahoga,76,100,98.68,0,41.4305957,-81.7493284
25,Ohio,2018-19,Brookside Elementary,Public,Columbus,Franklin,40,100,100,0,40.1014829,-83.0577834
26,Ohio,2018-19,Brookview Elementary,Public,Brook Park,Cuyahoga,70,100,95.71,0,41.4044776,-81.7924194
27,Ohio,2018-19,Brookwood Elementary,Public,Hamilton,Butler,82,100,97.56,0,39.4191628,-84.6057879
28,Ohio,2018-19,Caledonia Elementary,Public,Cleveland Heights,Cuyahoga,21,100,100,0,41.5349718,-81.5623563
29,Ohio,2018-19,Calumet Christian,Private,Columbus,Franklin,27,100,100,0,40.0196521,-83.0056875
30,Ohio,2018-19,Cardinal Pacelli,Private,Cincinnati,Hamilton,35,100,100,0,39.1268606,-84.4308198
