index,state,name,city,county,overall,xmed,xrel,xper,lat,lng
1,Oklahoma,Adams Elementary,Enid,Garfield,100,0,,,36.3983024,-97.8455188
2,Oklahoma,Adams Elementary,Oklahoma City,Oklahoma,100,0,,,35.4268744,-97.57764809999999
3,Oklahoma,Alex Elementary,Alex,Grady,100,0,,,34.9163609,-97.776921
4,Oklahoma,Allen Public Schools,Allen,Pontotoc,100,0,,,34.8798734,-96.41339289999999
5,Oklahoma,Andrew Johnson Elementary,Oklahoma City,Oklahoma,100,0,,,35.5634856,-97.5525634
6,Oklahoma,Asher Elementary,Asher,Pottawatomie,100,0,,,34.9896032,-96.9224177
7,Oklahoma,Ator Elementary,Owasso,Tulsa,100,0,,,36.2815354,-95.8544733
8,Oklahoma,Bennington Public Schools,Bennington,Bryan,100,0,,,34.0072283,-96.03827509999999
9,Oklahoma,Bradley Elementary,Drumright,Creek,100,0,,,35.9829406,-96.61372759999999
10,Oklahoma,Bray-Doyle Elementary,Marlow,Stephens,100,0,,,34.6328267,-97.8180901
11,Oklahoma,Cache Primary,Cache,Comanche,100,0,,,34.6180481,-98.62730119999999
12,Oklahoma,Calvin Elementary,Calvin,Hughes,100,0,,,34.9661553,-96.24618679999999
13,Oklahoma,Canute Elementary,Canute,Washita,100,0,,,35.417829,-99.282591
14,Oklahoma,Coolidge Elementary,Oklahoma City,Oklahoma,100,0,,,35.412325,-97.5560071
15,Oklahoma,Dahlonegah Public Schools,Stilwell,Adair,100,0,,,35.7481471,-94.67005309999999
16,Oklahoma,Davenport Elementary,Davenport,Lincoln,100,0,,,35.7084643,-96.76656349999999
17,Oklahoma,Edwards Elementary,Oklahoma City,Oklahoma,100,0,,,35.478917,-97.467187
18,Oklahoma,Eisenhower Elementary,Lawton,Comanche,100,0,,,34.6046649,-98.4578037
19,Oklahoma,Eisenhower Elementary,Enid,Garfield,100,0,,,36.346735,-97.89809969999999
20,Oklahoma,Fanshawe Public,Fanshawe,Le Flore,100,0,,,34.9527042,-94.9139256
21,Oklahoma,Flower Mound Public,Lawton,Comanche,100,0,,,34.5788529,-98.3529128
22,Oklahoma,Fort Cobb-Broxton Elementary,Fort Cobb,Caddo,100,0,,,35.0986358,-98.4412689
23,Oklahoma,Fort Towson Elementary,Fort Towson,Choctaw,100,0,,,34.020756,-95.269729
24,Oklahoma,Friend Public,Chickasha,Grady,100,0,,,35.0580158,-97.8810465
25,Oklahoma,Garber Elementary,Garber,Garfield,100,0,,,36.4331083,-97.58246319999999
26,Oklahoma,Gatewood Elementary,Oklahoma City,Oklahoma,100,0,,,35.4914643,-97.54113079999999
27,Oklahoma,Geronimo Elementary,Geronimo,Comanche,100,0,,,34.4839638,-98.3859897
28,Oklahoma,Grandfield Elementary,Grandfield,Tillman,100,0,,,34.2282296,-98.6839306
29,Oklahoma,Grandview Ps,Comanche,Stephens,100,0,,,34.348142,-98.0511488
30,Oklahoma,Granite Elementary,Granite,Greer,100,0,,,34.96356,-99.38644269999999
31,Oklahoma,Greenville Elementary,Marietta,Love,100,0,,,34.005607,-97.12576299999999
32,Oklahoma,Heavener Elementary,Heavener,Le Flore,100,0,,,34.8856956,-94.5986628
33,Oklahoma,Heritage Elementary,Tahlequah,Cherokee,100,0,,,35.876897,-94.9815998
34,Oklahoma,Heronville Elementary,Oklahoma City,Oklahoma,100,0,,,35.434742,-97.53828299999999
35,Oklahoma,Holy Family Cathedral,Tulsa,Tulsa,100,0,,,36.147423,-95.98973199999999
36,Oklahoma,Holy Trinity,Okarche,Kingfisher,100,0,,,35.7295315,-97.9755374
37,Oklahoma,Hoover Elementary,Enid,Garfield,100,0,,,36.395815,-97.912922
38,Oklahoma,Horace Mann,Duncan,Stephens,100,0,,,34.5170764,-97.9767413
39,Oklahoma,Jefferson Elementary,Pryor,Mayes,100,0,,,36.2964869,-95.3146347
40,Oklahoma,Jefferson Heights Elementary,Sapulpa,Creek,100,0,,,35.9822131,-96.135712
41,Oklahoma,Justice Public,Wewoka,Seminole,100,0,,,35.1158728,-96.5097488
42,Oklahoma,Keota Elementary,Keota,Haskell,100,0,,,35.2571176,-94.9212658
43,Oklahoma,Kinta Elementary,Kinta,Haskell,100,0,,,35.1177748,-95.2382916
44,Oklahoma,Lawton Academy Of Arts & Sciences,Lawton,Comanche,100,0,,,34.6290009,-98.4771748
45,Oklahoma,Liberty Elementary,Sapulpa,Creek,100,0,,,36.0074673,-96.0912206
46,Oklahoma,Lincoln Elementary,Norman,Cleveland,100,0,,,35.2148294,-97.43560029999999
47,Oklahoma,Macomb Elementary,Macomb,Pottawatomie,100,0,,,35.1446113,-97.0096566
48,Oklahoma,Mannsville Public,Mannsville,Johnston,100,0,,,34.1908585,-96.8750598
49,Oklahoma,Marietta Primary,Marietta,Love,100,0,,,33.9299781,-97.12315389999999
50,Oklahoma,Mark Twain Elem,Oklahoma City,Oklahoma,100,0,,,35.4677,-97.5559769
51,Oklahoma,Mary Golda Ross,Oklahoma City,Oklahoma,100,0,,,35.4383447,-97.5576275
52,Oklahoma,Maud Elementary,Maud,Pottawatomie,100,0,,,35.1336319,-96.780531
53,Oklahoma,Midway Elementary,COUNCIL HILL,Mcintosh,100,0,,,35.554615,-95.6527139
