index,state,year,name,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,Oregon,2018-19,Big Muddy Elementary,Wasco,1,100,88.23529412,0,0,,44.83375,-120.483941
2,Oregon,2018-19,Cairo Elementary,Malheur,17,100,100,0,0,,43.987882,-117.012496
3,Oregon,2018-19,Jasper Mountain Center,Lane,1,100,100,0,0,,43.9746,-122.862161
4,Oregon,2018-19,Jordan Valley Elementary,Malheur,1,100,100,0,0,,42.976147,-117.054391
5,Oregon,2018-19,Lifeways Day Treatment Program,Umatilla,2,100,100,0,0,,45.9162728,-119.2904814
6,Oregon,2018-19,Morrow Education Center,Morrow,2,100,96.15384615,0,0,,45.8957436,-119.5103803
7,Oregon,2018-19,Nyssa Elementary,Malheur,102,100,100,0,0,,43.876846,-117.002948
8,Oregon,2018-19,W W Jonelementary Elementary,Malheur,1,100,100,0,0,,42.91335,-117.525959
9,Oregon,2018-19,Warm Springs K-8 Academy,Jefferson,75,100,100,0,0,,44.757672,-121.256951
10,Oregon,2018-19,W L Henry Elementary,Washington,45,99.71988796,97.4789916,0.2801120448,0,,45.511994,-122.956566
11,Oregon,2018-19,Buff Intermediate,Jefferson,60,99.68847352,98.75389408,0,0.3115264798,,44.628274,-121.121345
12,Oregon,2018-19,Hammond Elementary,Marion,67,99.58071279,99.37106918,0.2096436059,0.2096436059,,44.994976,-122.956193
13,Oregon,2018-19,Butternut Creek Elementary,Washington,48,99.47780679,97.91122715,0,0.5221932115,,45.487117,-122.886895
14,Oregon,2018-19,Sunrise Elementary,Linn,46,99.3902439,98.17073171,0,0.3048780488,,44.622469,-123.093943
15,Oregon,2018-19,Prairie City,Grant,9,99.33774834,91.39072848,0,0,,44.456003,-118.709161
16,Oregon,2018-19,Periwinkle Elementary,Linn,64,99.30394432,98.60788863,0,0.2320185615,,44.621188,-123.078173
17,Oregon,2018-19,South Shore Elementary,Linn,67,99.28741093,97.62470309,0,0.7125890736,,44.633597,-123.07007
18,Oregon,2018-19,Echo Shaw Elementary,Washington,56,99.2481203,98.99749373,0,0.2506265664,,45.512023,-123.061992
19,Oregon,2018-19,Tangent Elementary,Linn,21,99.23664122,98.47328244,0,0,,44.538077,-123.104688
20,Oregon,2018-19,Fern Hill Elementary,Washington,44,99.22178988,98.44357977,0,0.7782101167,,45.514615,-123.072412
21,Oregon,2018-19,Reedville Elementary,Washington,35,99.17012448,97.9253112,0,0.4149377593,,45.500167,-122.891983
22,Oregon,2018-19,Elmonica Elementary,Washington,146,99.15730337,97.33146067,0,0.4213483146,,45.515729,-122.851623
23,Oregon,2018-19,Cornelius Elementary,Washington,65,99.14040115,96.56160458,0,0.2865329513,,45.521707,-123.054038
24,Oregon,2018-19,Lincoln Elementary,Marion,96,99.13669065,98.56115108,0,0.2877697842,,45.15154,-122.86002
25,Oregon,2018-19,Sheridan Allprep Academy,Yamhill,1,99.12663755,96.069869,1.310043668,0,,45.101437,-123.398661
26,Oregon,2018-19,Sam Boardman Elementary,Morrow,84,99.10714286,95.83333333,0,0.5952380952,,45.827181,-119.703754
27,Oregon,2018-19,Hayelementaryville Elementary,Marion,70,99.06759907,97.9020979,0,0.4662004662,,44.983297,-122.971935
28,Oregon,2018-19,Harper Charter,Malheur,11,99.06542056,99.06542056,0,0.9345794393,,43.865609,-117.608259
29,Oregon,2018-19,Crane Elementary,Harney,8,99.02912621,99.02912621,0,0.9708737864,,43.416918,-118.575634
30,Oregon,2018-19,Sunset Elementary,Umatilla,115,98.98132428,97.62308998,0,0.5093378608,,45.844306,-119.287102
31,Oregon,2018-19,Prairie Mountain,Lane,64,98.94259819,98.48942598,0,0.7552870091,,44.071082,-123.190176
32,Oregon,2018-19,Danebo Elementary,Lane,37,98.92086331,97.12230216,0,1.079136691,,44.076772,-123.179878
33,Oregon,2018-19,Elizabeth Page Elementary,Lane,56,98.9010989,97.25274725,0,0.8241758242,,44.069048,-123.006116
34,Oregon,2018-19,Mcnary Heights Elementary,Umatilla,103,98.89589905,98.73817035,0,0.9463722397,,45.91945,-119.295191
35,Oregon,2018-19,Wallowa Elementary,Wallowa,15,98.88888889,97.77777778,0,0.5555555556,,45.570711,-117.532262
36,Oregon,2018-19,Davis Elementary,Multnomah,70,98.84259259,96.75925926,0.2314814815,0.462962963,,45.523472,-122.462164
37,Oregon,2018-19,Irving Elementary,Lane,53,98.8372093,98.54651163,0,0.8720930233,,44.110797,-123.152372
38,Oregon,2018-19,Forelementaryt Park Elementary,Multnomah,60,98.82629108,95.30516432,0.234741784,0.4694835681,,45.542496,-122.777757
39,Oregon,2018-19,Four Rivers Community,Malheur,26,98.81656805,98.22485207,0,0,,44.0244,-116.9959
40,Oregon,2018-19,Rocky Heights Elementary,Umatilla,91,98.80478088,97.21115538,0,0.796812749,,45.844824,-119.298829
41,Oregon,2018-19,Mooberry Elementary,Washington,74,98.80382775,97.84688995,0,0.4784688995,,45.53378,-122.971944
42,Oregon,2018-19,Riverbend Elementary,Lane,81,98.8,98.4,0,0.4,,44.048485,-122.944118
43,Oregon,2018-19,Mid-Valley Elementary,Hood River,69,98.75259875,97.71309771,0,0.6237006237,,45.624971,-121.54382
44,Oregon,2018-19,Ash Creek Elementary,Polk,76,98.73188406,97.82608696,0,0.9057971014,,44.861775,-123.212372
45,Oregon,2018-19,Yoshikai Elementary,Marion,92,98.71323529,97.97794118,0,0.7352941176,,44.985086,-122.961526
46,Oregon,2018-19,Eyre Elementary,Marion,74,98.71086556,97.42173112,0.1841620626,0.3683241252,,44.917947,-122.961801
47,Oregon,2018-19,Washington Elementary,Marion,49,98.69791667,97.91666667,0.2604166667,0.5208333333,,44.96479,-122.998022
48,Oregon,2018-19,Prospect Charter,Jackson,19,98.6784141,98.6784141,0.4405286344,0.4405286344,,42.753469,-122.489501
49,Oregon,2018-19,Swegle Elementary,Marion,87,98.66412214,97.51908397,0,0.7633587786,,44.950564,-122.974005
50,Oregon,2018-19,Merrill Elementary,Klamath,18,98.55072464,97.10144928,0,0.7246376812,,42.026274,-121.604416
51,Oregon,2018-19,Green Elementary,Douglas,55,98.53479853,96.7032967,0,1.098901099,,43.149044,-123.382102
52,Oregon,2018-19,Hallman Elementary,Marion,58,98.50746269,96.76616915,0,0.2487562189,,44.977744,-122.995871
53,Oregon,2018-19,Auburn Elementary,Marion,101,98.50299401,96.40718563,0,0.5988023952,,44.936054,-122.971112
54,Oregon,2018-19,Adrian Elementary,Malheur,16,98.5,98.5,0.5,0,,43.742267,-117.069954
55,Oregon,2018-19,Barnelementary Elementary,Washington,95,98.49246231,95.47738693,0,0.5025125628,,45.506263,-122.818396
56,Oregon,2018-19,Siletz Valleys,Lincoln,10,98.48484848,96.21212121,0,0.7575757576,,44.723476,-123.920442
57,Oregon,2018-19,Waverly Elementary,Linn,53,98.47908745,98.09885932,0,1.140684411,,44.637436,-123.077432
58,Oregon,2018-19,Peterson Elementary,Klamath,90,98.47328244,97.40458015,0,0.6106870229,,42.189983,-121.728976
59,Oregon,2018-19,Vestal Elementary,Multnomah,56,98.46153846,95.38461538,0,1.153846154,,45.524572,-122.579573
60,Oregon,2018-19,Ac Houghton Elementary,Morrow,51,98.45559846,96.91119691,0.3861003861,0.7722007722,,45.898113,-119.487815
61,Oregon,2018-19,Errol Hassell Elementary,Washington,78,98.45474614,96.46799117,0,0.6622516556,,45.466279,-122.863217
62,Oregon,2018-19,Independence Elementary,Polk,56,98.44155844,97.92207792,0.2597402597,1.038961039,,44.852551,-123.189413
63,Oregon,2018-19,Mt Vernon Elementary,Lane,86,98.44054581,97.27095517,0,1.169590643,,44.036284,-122.964872
64,Oregon,2018-19,Welementaryt Park Elementary,Umatilla,96,98.44020797,96.18717504,0,0.8665511265,,45.837056,-119.300271
65,Oregon,2018-19,Kinnaman Elementary,Washington,90,98.42767296,96.06918239,0.1572327044,0.9433962264,,45.4901,-122.876311
66,Oregon,2018-19,Buena Vista Elementary,Lane,74,98.40182648,96.57534247,0,1.141552511,,44.078833,-123.07612
67,Oregon,2018-19,Nancy Rylelementary Elementary,Washington,102,98.4,96.32,0.16,0,,45.44513,-122.8435
68,Oregon,2018-19,Spray,Wheeler,3,98.38709677,96.77419355,0,1.612903226,,44.834448,-119.792747
69,Oregon,2018-19,William Walker Elementary,Washington,72,98.35680751,96.00938967,0.234741784,1.408450704,,45.50157,-122.8001
70,Oregon,2018-19,Dilley Elementary,Washington,42,98.32635983,97.90794979,0.4184100418,0.4184100418,,45.490183,-123.12739
71,Oregon,2018-19,Douglas Gardens Elementary,Lane,68,98.31932773,97.19887955,0,0.8403361345,,44.036328,-122.975246
72,Oregon,2018-19,Hoover Elementary,Marion,60,98.30917874,96.37681159,0,0.7246376812,,44.944912,-122.995737
73,Oregon,2018-19,Howard Elementary,Lane,51,98.30508475,95.76271186,0,1.483050847,,44.087485,-123.139356
74,Oregon,2018-19,Fremont/Hay Elementary,Lake,44,98.30028329,97.45042493,0.283286119,0.566572238,,42.183655,-120.350657
75,Oregon,2018-19,Gib Olinger Elementary,Umatilla,133,98.29867675,97.54253308,0,1.323251418,,45.926654,-118.384553
76,Oregon,2018-19,Monroe Grade,Benton,21,98.29545455,97.15909091,0,0.5681818182,,44.312157,-123.298547
77,Oregon,2018-19,Jacob Wismer Elementary,Washington,84,98.29059829,95.15669516,0,1.13960114,,45.560213,-122.823142
78,Oregon,2018-19,Minter Bridge Elementary,Washington,71,98.26464208,94.79392625,0,1.084598698,,45.49716,-122.963354
79,Oregon,2018-19,Alameda Elementary,Malheur,46,98.2630273,98.2630273,0,1.736972705,,44.017485,-116.982124
80,Oregon,2018-19,Aiken Elementary,Malheur,48,98.25174825,98.25174825,0,1.748251748,,44.029025,-116.984082
81,Oregon,2018-19,Powell Butte Elementary,Crook,75,98.2421875,97.0703125,0,0.9765625,,45.4966346,-122.4856742
82,Oregon,2018-19,May Roberts Elementary,Malheur,48,98.23677582,98.23677582,0,1.511335013,,44.03341,-116.971129
83,Oregon,2018-19,Dry Hollow Elementary,Wasco,72,98.2300885,96.23893805,0,1.10619469,,45.586618,-121.173169
84,Oregon,2018-19,Paul L Patterson Elementary,Washington,55,98.22616408,95.5654102,0.22172949,0.22172949,,45.546186,-122.992622
85,Oregon,2018-19,Yolanda Elementary,Lane,72,98.22335025,97.96954315,0,1.52284264,,44.073291,-122.990355
86,Oregon,2018-19,Henley Elementary,Klamath,71,98.19168174,98.01084991,0,0.7233273056,,42.149547,-121.696004
87,Oregon,2018-19,Awbrey Park Elementary,Lane,66,98.17351598,96.57534247,0,1.141552511,,44.123733,-123.137939
88,Oregon,2018-19,Heppner Elementary,Morrow,24,98.17073171,96.34146341,0,0.6097560976,,45.357427,-119.550715
89,Oregon,2018-19,Liberty Elementary,Tillamook,164,98.15384615,93.84615385,0,0.9230769231,,45.452193,-123.846776
90,Oregon,2018-19,Raleigh Hills Elementary,Washington,58,98.13084112,95.88785047,0.5607476636,1.121495327,,45.482432,-122.758344
91,Oregon,2018-19,Coquille Valley Elementary,Coos,1,98.12834225,97.32620321,0,0.5347593583,,43.184685,-124.187574
92,Oregon,2018-19,Indian Hills Elementary,Washington,70,98.11320755,95.38784067,0.4192872117,0.6289308176,,45.506862,-122.895251
93,Oregon,2018-19,St Paul Elementary,Marion,15,98.11320755,96.22641509,0,0,,45.214155,-122.978344
94,Oregon,2018-19,Stanfield Elementary,Umatilla,45,98.11320755,96.69811321,0.9433962264,1.41509434,,45.790291,-119.226669
95,Oregon,2018-19,Aloha-Huber Park,Washington,122,98.10690423,96.99331849,0.2227171492,1.224944321,,45.483965,-122.85382
96,Oregon,2018-19,Malabon Elementary,Lane,77,98.062954,96.61016949,0,1.452784504,,44.077125,-123.161604
97,Oregon,2018-19,Eastwood Elementary,Douglas,57,98.04400978,95.84352078,0,1.222493888,,43.207929,-123.320191
98,Oregon,2018-19,Kennedy Elementary,Marion,68,98.02469136,97.28395062,0,1.481481481,,44.995971,-123.007664
99,Oregon,2018-19,North Albany Elementary,Benton,27,98,96.8,0,2,,44.651579,-123.114713
100,Oregon,2018-19,Sexton Mountain Elementary,Washington,97,97.97794118,94.30147059,0.1838235294,0.7352941176,,45.459412,-122.837542
101,Oregon,2018-19,Cecile Trost Elementary,Clackamas,65,97.97468354,96.70886076,0,1.265822785,,45.256774,-122.675113
102,Oregon,2018-19,Celementaryar Chavez K-8,Multnomah,60,97.96672828,94.63955638,0,0.9242144177,,45.584442,-122.719497
103,Oregon,2018-19,Monmouth Elementary,Polk,84,97.96296296,97.59259259,0,1.111111111,,44.85261,-123.224578
104,Oregon,2018-19,Liberty Elementary,Linn,55,97.93510324,96.75516224,0,1.474926254,,44.618993,-123.118317
105,Oregon,2018-19,Wilkelementary Elementary,Multnomah,74,97.9338843,95.8677686,0,1.239669421,,45.541786,-122.488281
106,Oregon,2018-19,Capitol Hill Elementary,Multnomah,65,97.92626728,94.23963134,0,0.6912442396,,45.464311,-122.695689
107,Oregon,2018-19,Toledo Elementary,Lincoln,64,97.92147806,97.22863741,0,0.9237875289,,44.617545,-123.920343
108,Oregon,2018-19,Cesar E Chavez Elem,Marion,97,97.90940767,95.81881533,0,1.045296167,,44.958735,-122.960653
109,Oregon,2018-19,Springville K-8,Washington,97,97.8960396,96.03960396,0,1.361386139,,45.568445,-122.850703
110,Oregon,2018-19,Findley Elementary,Washington,81,97.88838612,93.9668175,0.1508295626,0.4524886878,,45.549716,-122.811514
111,Oregon,2018-19,Highland Hills Elementary,Umatilla,68,97.8858351,93.2346723,0,1.268498943,,45.836833,-119.270476
112,Oregon,2018-19,Brookwood Elementary,Washington,45,97.87878788,96.36363636,0,0.6060606061,,45.515267,-122.942254
113,Oregon,2018-19,St Helens Arthur Academy,Columbia,28,97.87234043,97.34042553,0,1.063829787,,45.866851,-122.886969
114,Oregon,2018-19,Clear Lake Elementary,Lane,42,97.86324786,96.15384615,0,1.282051282,,44.083588,-123.175023
115,Oregon,2018-19,Eagle Charter,Marion,23,97.85714286,88.57142857,0,7.857142857,,44.965861,-123.022074
116,Oregon,2018-19,Sunnyslope Elementary,Douglas,49,97.84946237,96.41577061,0,0.7168458781,,43.154051,-123.38835
117,Oregon,2018-19,Amity Elementary,Yamhill,45,97.84615385,96.92307692,0,1.230769231,,45.122434,-123.203649
118,Oregon,2018-19,Lincoln Street Elementary,Washington,78,97.82135076,96.73202614,0,1.089324619,,45.524129,-122.977302
119,Oregon,2018-19,Stearns Elementary,Klamath,44,97.82016349,96.45776567,0,0,,42.193323,-121.742077
120,Oregon,2018-19,Jennings Lodge Elementary,Clackamas,97,97.81659389,96.50655022,0.8733624454,1.310043668,,45.388578,-122.615734
121,Oregon,2018-19,North Powder Charter,Union,19,97.81021898,94.89051095,0,0.3649635036,,45.028061,-117.924816
122,Oregon,2018-19,Menlo Park Elementary,Multnomah,70,97.8021978,95.82417582,0,1.758241758,,45.525545,-122.530275
123,Oregon,2018-19,Hoover Elementary,Benton,41,97.78869779,96.06879607,0,0.7371007371,,44.592594,-123.293416
124,Oregon,2018-19,Madras Primary,Jefferson,74,97.77777778,97.5308642,0,1.481481481,,44.632788,-121.123695
125,Oregon,2018-19,Bridgeport Elementary,Clackamas,87,97.77365492,96.28942486,0.185528757,0.7421150278,,45.378205,-122.732887
126,Oregon,2018-19,Adams Elementary,Benton,61,97.75784753,95.73991031,0,1.793721973,,44.551559,-123.288234
127,Oregon,2018-19,Raleigh Park Elementary,Washington,60,97.75280899,93.82022472,0,1.685393258,,45.493449,-122.756378
128,Oregon,2018-19,Clover Ridge Elementary,Linn,115,97.74011299,96.04519774,0.5649717514,1.129943503,,44.668547,-123.035343
129,Oregon,2018-19,Jamelementary John Elementary,Multnomah,71,97.74011299,95.76271186,0,0.8474576271,,45.590365,-122.751981
130,Oregon,2018-19,Madison Elementary,Coos,89,97.74011299,95.19774011,0,0.5649717514,,43.387768,-124.272878
131,Oregon,2018-19,Twin Oaks Elementary,Lane,30,97.73755656,95.92760181,0,1.357466063,,43.99361,-123.175093
132,Oregon,2018-19,Barnelementary Butte Elementary,Crook,106,97.72357724,95.77235772,0,1.788617886,,44.308547,-120.824366
133,Oregon,2018-19,Scott Elementary,Multnomah,68,97.70114943,95.17241379,0,1.149425287,,45.555175,-122.594347
134,Oregon,2018-19,Bush Elementary,Marion,53,97.68976898,96.36963696,0.3300330033,0.9900990099,,44.932601,-123.034254
135,Oregon,2018-19,Lee Elementary,Multnomah,51,97.68339768,94.59459459,0,1.544401544,,45.538081,-122.567727
136,Oregon,2018-19,Centennial Elementary,Lane,59,97.68041237,96.39175258,0,1.546391753,,44.05775,-123.041459
137,Oregon,2018-19,Richmond Elementary,Marion,62,97.66666667,94.66666667,0.3333333333,0.6666666667,,44.929987,-123.01297
138,Oregon,2018-19,Kids Unlimited Academy,Jackson,50,97.64150943,91.98113208,0.4716981132,0.4716981132,,42.33512,-122.874841
139,Oregon,2018-19,Mckinley Elementary,Washington,113,97.62773723,95.4379562,0,1.824817518,,45.530136,-122.866734
140,Oregon,2018-19,Two Rivers Dos Rios Elementary,Lane,79,97.62419006,96.76025918,0,1.943844492,,44.052742,-123.011038
141,Oregon,2018-19,Meadow View,Lane,85,97.61006289,96.60377358,0,2.012578616,,44.082185,-123.201465
