index,state,year,name,type,city,enroll,mmr,lat,lng
1,Pennsylvania,2017,Afton Elementary,,Yardley,95,100,40.2445142,-74.876598
2,Pennsylvania,2017,Aldan Elementary,,Aldan,25,100,39.9225013,-75.2882981
3,Pennsylvania,2017,Amosland Elementary,,Morton,64,100,39.9003588,-75.3163343
4,Pennsylvania,2017,Andrew Maier Elementary,,Blandon,37,100,40.4412927,-75.8835071
5,Pennsylvania,2017,Antonia Pantoja Community Charter,,Philadelphia,100,100,40.0130464,-75.1308137
6,Pennsylvania,2017,Appleman Elementary,,Benton,60,100,41.199432,-76.3787108
7,Pennsylvania,2017,Arlington Heights Elementary,,Stroudsburg,46,100,40.9906046,-75.220457
8,Pennsylvania,2017,Arrowhead Elementary,,Collegeville,67,100,40.163008,-75.44983
9,Pennsylvania,2017,Arthur Street Elementary,,Hazleton,134,100,40.9664272,-75.9643696
10,Pennsylvania,2017,Asa Packer Elementary,,Bethlehem,55,100,40.6564207,-75.4111341
11,Pennsylvania,2017,Avalon Elementary,,Pittsburgh,37,100,40.501056,-80.066152
12,Pennsylvania,2017,Avella Elementarycenter,,Avella,35,100,40.273756,-80.4182085
13,Pennsylvania,2017,Avona Elementary,,Easton,35,100,40.673633,-75.2409797
14,Pennsylvania,2017,Baker Elementary,,Altoona,60,100,40.4857601,-78.4088675
15,Pennsylvania,2017,Baldwin,,Bryn Mawr,24,100,40.0227536,-75.3127275
16,Pennsylvania,2017,Barclay Elementary,,Warrington,69,100,40.236245,-75.1279034
17,Pennsylvania,2017,Barth Elementary,,Pottstown,72,100,40.2524589,-75.6720372
18,Pennsylvania,2017,Bear Creek Community Cs,,Bear Creek Township,52,100,41.1865922,-75.7777321
19,Pennsylvania,2017,Beaumont Elementary,,Devon,60,100,40.0236765,-75.4283729
20,Pennsylvania,2017,Bellaire Elementary,,Carlisle,65,100,40.2144929,-77.2039399
21,Pennsylvania,2017,Bellevue Elementary,,Pittsburgh,52,100,40.4946226,-80.053725
22,Pennsylvania,2017,Benjamin Franklin Elementary,,Bethel Park,63,100,40.3245547,-80.0323277
23,Pennsylvania,2017,Benjamin Rush Elementary,,Bensalem,73,100,40.1040439,-74.9410358
24,Pennsylvania,2017,Berlin Brothersvalley Elementary,,Berlin,53,100,39.9233779,-78.9465019
25,Pennsylvania,2017,Bethlehem-Center Elementary,,Fredericktown,87,100,40.0242003,-80.0280284
26,Pennsylvania,2017,Blossburg Elementary,,Blossburg,41,100,41.6805142,-77.0625626
27,Pennsylvania,2017,Blue Bell Elementary,,Blue Bell,61,100,40.1577241,-75.2714038
28,Pennsylvania,2017,Blue Mountain Elementarywest,,Friedensburg,78,100,40.6040201,-76.238949
29,Pennsylvania,2017,Brandywine-Wallace Elementary,,Downingtown,66,100,40.0395815,-75.7550922
30,Pennsylvania,2017,Bridgeport Elementary,,Bridgeport,67,100,40.0999291,-75.347225
31,Pennsylvania,2017,Brockway Area Elementary,,Brockway,85,100,41.2516814,-78.8074046
32,Pennsylvania,2017,Brown Joseph H,,Philadelphia,92,100,40.0431786,-75.0247888
33,Pennsylvania,2017,Bucher,,Lancaster,77,100,40.0836948,-76.3319629
