index,state,year,name,city,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,Rhode Island,2018-19,St. Luke,Barrington,11,,100,0,,,41.802543,-71.429172
2,Rhode Island,2018-19,Barrington Christian Academy,Barrington,10,,60,0,,,41.755976,-71.327399
3,Rhode Island,2018-19,Montessori Centre of Barrington,Barrington,,,,,,,41.75341,-71.293841
4,Rhode Island,2018-19,Nayatt,Barrington,81,,92.6,7.407407407,,,41.729577,-71.306138
5,Rhode Island,2018-19,Primrose Hill,Barrington,64,,100,0,,,41.753972,-71.329766
6,Rhode Island,2018-19,Sowams Elementary,Barrington,60,,96.7,1.666666667,,,41.757102,-71.294328
7,Rhode Island,2018-19,Our Lady of Mount Carmel,Bristol,9,,55.6,0,,,41.6712129,-71.2736258
8,Rhode Island,2018-19,Colt Andrews,Bristol,52,,100,0,,,41.671763,-71.276419
9,Rhode Island,2018-19,Guiteras Elementary,Bristol,40,,62.5,10,,,41.677444,-71.276862
10,Rhode Island,2018-19,Rockwell,Bristol,44,,100,0,,,41.698508,-71.280377
11,Rhode Island,2018-19,Community Christian,Burrillville,16,,100,0,,,41.9928821,-71.5036519
12,Rhode Island,2018-19,Austin T. Levy,Burrillville,148,,97.3,2.027027027,,,41.8626498,-71.4528717
13,Rhode Island,2018-19,The Learning Community Charter,Central Falls,66,,80.3,0,,,41.8351845,-71.4623645
14,Rhode Island,2018-19,Margaret I. Robertson,Central Falls,230,,99.1,0,,,41.896848,-71.389278
15,Rhode Island,2018-19,Charlestown Elementary,Charlestown,43,,93,4.651162791,,,41.449787,-71.65539
16,Rhode Island,2018-19,Father John V. Doyle,Coventry,,,,,,,41.9886506,-71.5251238
17,Rhode Island,2018-19,Pathways Strategic Teaching Center,Coventry,,,,,,,41.661625,-71.569491
18,Rhode Island,2018-19,Blackrock Elementary,Coventry,67,,97,0,,,41.7130372,-71.5518628
19,Rhode Island,2018-19,Hopkins Hill Elementary,Coventry,58,,98.3,1.724137931,,,41.6736546,-71.5602478
20,Rhode Island,2018-19,Tiogue Elementary,Coventry,57,,100,0,,,41.6769675,-71.5430928
21,Rhode Island,2018-19,Washington Oak Elementary,Coventry,87,,95.4,4.597701149,,,41.721245,-71.6064971
22,Rhode Island,2018-19,Western Coventry Elementary,Coventry,58,,91.4,5.172413793,,,41.695776,-71.689646
23,Rhode Island,2018-19,Immaculate Conception Catholic Regional,Cranston,23,,95.7,4.347826087,,,41.789596,-71.4655049
24,Rhode Island,2018-19,St. Mary,Cranston,24,,100,0,,,41.976725,-71.39865
25,Rhode Island,2018-19,St. Paul,Cranston,21,,100,0,,,41.928944,-71.40147
