index,state,year,name,county,enroll,mmr,lat,lng
1,South Dakota,2017-18,Lower Brule Elementary,Lyman,33,100,44.0741531,-99.5796999
2,South Dakota,2017-18,Alcester-Hudson Elementary,Union,21,100,43.0246912,-96.6237622
3,South Dakota,2017-18,Andes Central Elementary,Charles Mix,32,100,43.157716,-98.530378
4,South Dakota,2017-18,Arlington Elementary,Kingsbury,21,100,44.3644133,-97.1331212
5,South Dakota,2017-18,Baltic Elementary,Minnehaha,37,100,43.7592159,-96.7335435
6,South Dakota,2017-18,Ban Dek Montessori,Lincoln,4,100,43.4757757,-96.7461664
7,South Dakota,2017-18,Batesland,Ogalala Lakota,13,100,43.127361,-102.099273
8,South Dakota,2017-18,Beadle Elementary,Yankton,59,100,44.093776,-103.213219
9,South Dakota,2017-18,Bennett Co Elementary,Bennett,41,100,43.1747726,-101.7313502
10,South Dakota,2017-18,Beresford Elementary,Union,49,100,43.0786631,-96.7769216
11,South Dakota,2017-18,Bethesda Lutheran Elementary,Fall River,3,100,43.4276577,-103.4795895
12,South Dakota,2017-18,Big Stone City Elementary,Grant,8,100,45.2944775,-96.4649299
13,South Dakota,2017-18,Big White Elementary,Haakon,1,100,44.186309,-102.065351
14,South Dakota,2017-18,Bison Elementary,Perkins,9,100,45.522946,-102.4644923
15,South Dakota,2017-18,Black Hills Children's Home,Pennington,1,100,44.0795533,-103.2108384
16,South Dakota,2017-18,Blumengard Colony Elementary,Faulk,7,100,45.1289996,-99.0430183
17,South Dakota,2017-18,Blunt Elementary,Hughes,6,100,44.5138825,-99.9903974
18,South Dakota,2017-18,Boulder Colony,Edmunds,1,100,45.6095053,-99.4521074
19,South Dakota,2017-18,Bowdle Elementary,Edmunds,7,100,45.4502105,-99.6516277
20,South Dakota,2017-18,Bridges At Horace Mann,Minnehaha,4,100,43.5287496,-96.7082631
21,South Dakota,2017-18,Britton-Hecla Elementary,Marshall,36,100,45.793633,-97.752318
22,South Dakota,2017-18,Burke Elementary,Gregory,11,100,43.180807,-99.289723
23,South Dakota,2017-18,Cameron Colony Elementary,Turner,1,100,43.3355563,-97.179026
24,South Dakota,2017-18,Camp Crook Elementary,Harding,1,100,45.552016,-103.975062
25,South Dakota,2017-18,Canistota Elementary,McCook,19,100,43.5972685,-97.2941889
26,South Dakota,2017-18,Centerville Elementary,Turner,19,100,43.1187769,-96.9575273
27,South Dakota,2017-18,Chamberlain Elementary,Brule,78,100,43.8070296,-99.3297166
28,South Dakota,2017-18,Cheyenne Elementary,Stanley,2,100,44.3528142,-100.3728104
29,South Dakota,2017-18,Children's Home Society Loving,Minnehaha,2,100,43.5571542,-96.6728334
30,South Dakota,2017-18,Claremont Colony Elementary,Hamlin,1,100,44.711736,-96.951433
31,South Dakota,2017-18,Clark Colony Elementary,Spink,1,100,44.7912106,-97.9802907
32,South Dakota,2017-18,Clearfield Colony Elementary,Douglas,1,100,43.1404671,-98.1402516
33,South Dakota,2017-18,Colman Elementary,Moody,21,100,43.9809902,-96.8099546
