index,state,year,name,county,enroll,overall,xmed,xrel,lat,lng
1,Tennessee,2018-19,Adamsville Elementary,McNairy ,77,100,0,0,35.232928,-88.386709
2,Tennessee,2018-19,Allardt Elementary,Fentress ,35,100,0,0,36.377974,-84.880114
3,Tennessee,2018-19,Allons Elementary,Overton ,40,100,0,0,36.437703,-85.346497
4,Tennessee,2018-19,Andrew Johnson Elementary School ,Sullivan ,84,100,0,0,36.527844,-82.530446
5,Tennessee,2018-19,Arrow Academy Of Excellence,Shelby ,17,100,0,0,35.1143,-89.9614
6,Tennessee,2018-19,Ashland City Elementary,Cheatham ,89,100,0,0,36.270271,-87.063027
7,Tennessee,2018-19,Aspire East Academy,Shelby ,84,100,0,0,35.05039,-89.834351
8,Tennessee,2018-19,Auburn Elementary,Cannon ,10,100,0,0,35.945473,-86.097522
9,Tennessee,2018-19,Baileyton Elementary,Greene ,31,100,0,0,36.33374,-82.838991
10,Tennessee,2018-19,Barret's Chapel Elementary,Shelby ,50,100,0,0,35.3488206,-89.7196763
11,Tennessee,2018-19,Bethel Grove Elementary,Shelby ,44,100,0,0,35.098928,-89.981157
12,Tennessee,2018-19,Big Ridge Elementary,Union ,35,100,0,0,36.237865,-83.901951
13,Tennessee,2018-19,Black Oak Elementary,Obion ,29,100,0,0,36.344565,-89.308583
14,Tennessee,2018-19,Blanche,Lincoln ,31,100,0,0,35.038432,-86.757798
15,Tennessee,2018-19,Bolivar Elementary,Hardeman ,100,100,0,0,35.261589,-89.001559
16,Tennessee,2018-19,Burchfield Elementary,Scott ,48,100,0,0,36.503653,-84.532611
17,Tennessee,2018-19,Camp Creek Elementary,Greene ,26,100,0,0,36.060834,-82.764332
18,Tennessee,2018-19,Carter's Valley Elementary,Hawkins ,49,100,0,0,36.557078,-82.710021
19,Tennessee,2018-19,Cassville Elementary,White ,35,100,0,0,35.956566,-85.599912
20,Tennessee,2018-19,Catons Chapel Elementary,Sevier ,45,100,0,0,35.80153,-83.45612
21,Tennessee,2018-19,Cecil B Rigsby Elementary,Bledsoe ,25,100,0,0,35.571327,-85.123218
22,Tennessee,2018-19,Central Elementary,Carroll ,45,100,0,0,36.033894,-88.265624
23,Tennessee,2018-19,Central Heights Elementary ,Sullivan ,43,100,0,0,36.578821,-82.359813
24,Tennessee,2018-19,Clairfield Elementary,Claiborne ,7,100,0,0,36.568402,-83.926246
25,Tennessee,2018-19,Coalfield,Morgan ,35,100,0,0,36.027196,-84.420971
26,Tennessee,2018-19,Coalmont Elementary,Grundy ,24,100,0,0,35.34489,-85.700355
27,Tennessee,2018-19,Cornerstone Prep - Lester Campus ,Shelby ,57,100,0,0,35.141146,-89.963536
28,Tennessee,2018-19,Covington Integrated Arts Academy,Tipton ,66,100,0,0,35.555752,-89.661926
29,Tennessee,2018-19,Decaturville Elementary ,Decatur ,51,100,0,0,35.574237,-88.127689
