index,state,year,name,county,mmr,lat,lng
1,Texas,2018-19,Abundant Life Christian,Galveston,100,29.3807818,-95.0183161
2,Texas,2018-19,Accelerated Intermediate Academy,Harris,100,29.636619,-95.484785
3,Texas,2018-19,Adventist Christian Academy Of Texas,Montgomery,100,30.2987532,-95.4044807
4,Texas,2018-19,Akiba Academy of Dallas,Dallas,100,32.9151073,-96.770668
5,Texas,2018-19,All Saints Catholic School Fort Worth,Tarrant,100,32.7818819,-97.3513159
6,Texas,2018-19,All Saints Catholic School Of Dallas,Dallas,100,32.9953531,-96.7707312
7,Texas,2018-19,Amigos Por Vida-Friends For Life Pub Cht,Harris,100,29.7221517,-95.4789064
8,Texas,2018-19,Ann And Nate Levine Academy-A Solomon Sc,Dallas,100,32.9962354,-96.7857069
9,Texas,2018-19,Assumption Catholic,Harris,100,29.8714358,-95.3875781
10,Texas,2018-19,Athens Christian Preparatory Academy,Henderson,100,32.1927474,-95.8148818
11,Texas,2018-19,Austin Jewish Academy,Travis,100,30.3588811,-97.7583753
12,Texas,2018-19,Austin Peace Academy,Travis,100,30.2995538,-97.6866477
13,Texas,2018-19,Beth Yeshurun Day,Harris,100,29.6879153,-95.4540092
14,Texas,2018-19,Bexar County Academy,Bexar,100,29.4688343,-98.5722733
15,Texas,2018-19,Blessed Sacrament Catholic Sch - San Antonio,Bexar,100,29.5039307,-98.4972382
16,Texas,2018-19,Blessed Sacrament School Laredo,Webb,100,27.5098345,-99.4737019
17,Texas,2018-19,Bob Hope,Jefferson,100,29.9152179,-93.9318394
18,Texas,2018-19,Brazos Christian,Brazos,100,30.6392821,-96.354706
19,Texas,2018-19,Buckner Fanning Christian,Bexar,100,29.664932,-98.479421
20,Texas,2018-19,Calvary Episcopal School Richmond,Fort Bend,100,29.5760087,-95.7660958
21,Texas,2018-19,Calvary Lutheran,Dallas,100,32.8865745,-96.7172852
22,Texas,2018-19,Canterbury Episcopal,Dallas,100,32.6237781,-96.8717778
23,Texas,2018-19,Capitol School Of Austin,Travis,100,30.3337909,-97.7390326
24,Texas,2018-19,Cathedral School Of St. Mary,Travis,100,30.271078,-97.739455
25,Texas,2018-19,Christ The King Cathedral Sch,Lubbock,100,33.543988,-101.9001959
26,Texas,2018-19,Christ The King Elementary Sch,Dallas,100,32.8604111,-96.8055047
27,Texas,2018-19,Christ The Redeemer,Harris,100,29.9430305,-95.6299412
28,Texas,2018-19,Cornerstone,Tom Green,100,31.4695546,-100.4644744
29,Texas,2018-19,Corpus Christi Catholic Sch,Harris,100,29.6747098,-95.441287
30,Texas,2018-19,Country Home Learning Center No. 4,Bexar,100,29.5742156,-98.3781567
31,Texas,2018-19,Country Home Learning Center No. 7,Travis,100,30.4401795,-97.781688
32,Texas,2018-19,Cunae International School Llc,Harris,100,30.1399115,-95.5075941
33,Texas,2018-19,Cypress Christian,Harris,100,29.9519714,-95.5876737
34,Texas,2018-19,Darul Arqam School Southwest,Fort Bend,100,29.6653154,-95.6150809
35,Texas,2018-19,Dav Montessori,Harris,100,29.7174966,-95.6414214
36,Texas,2018-19,Dr M L Garza-Gonzalez Charter,Nueces,100,27.7579708,-97.4330334
37,Texas,2018-19,Eagle Heights Christian Academy,Brazoria,100,29.5532909,-95.2645876
38,Texas,2018-19,East Texas Christian Academy,Smith,100,32.27606,-95.269036
39,Texas,2018-19,East Texas Christian,Gregg,100,32.4303345,-94.7911478
40,Texas,2018-19,Ehrhart,Jefferson,100,30.0723029,-94.1250928
41,Texas,2018-19,Episcopal Day,Cameron,100,25.9271448,-97.5083167
42,Texas,2018-19,Excellence In Leadership Academy,Hidalgo,100,26.2032319,-98.3388401
43,Texas,2018-19,Explorations Preparatory,Denton,100,33.0129805,-97.0538979
44,Texas,2018-19,Faith Academy Victoria,Victoria,100,28.843931,-96.92385
45,Texas,2018-19,Faith Christian Academy,El Paso,100,31.714127,-106.312112
46,Texas,2018-19,Faith Christian Academy,Harris,100,29.6569877,-95.185685
47,Texas,2018-19,Faith West Academy,Harris,100,29.804887,-95.795
48,Texas,2018-19,Father Yermo Sch,El Paso,100,31.7686843,-106.4404343
49,Texas,2018-19,Fellowship Christian Academy Dallas,Dallas,100,32.6630007,-96.8475134
50,Texas,2018-19,First Baptist Academy Houston,Harris,100,29.7820351,-95.45961
51,Texas,2018-19,First Baptist,Cameron,100,30.8509663,-96.9795067
52,Texas,2018-19,First Baptist School - Caldwell,Burleson,100,30.5285018,-96.6947735
53,Texas,2018-19,First Woodway Christian,Mclennan,100,31.487182,-97.236172
54,Texas,2018-19,Fort Worth Christian,Tarrant,100,32.857387,-97.220492
55,Texas,2018-19,Good Shephard Episcopal,Harris,100,30.0554991,-95.213965
56,Texas,2018-19,Good Shepherd Catholic Sch,Dallas,100,32.9120011,-96.647631
57,Texas,2018-19,Good Shepherd Episcopal School Of Austin,Travis,100,30.296411,-97.768878
58,Texas,2018-19,Grace School Houston,Harris,100,29.739479,-95.555305
59,Texas,2018-19,Greenville Christian,Hunt,100,33.0854271,-96.0819086
60,Texas,2018-19,Harmony Science Academy,Harris,100,33.0093587,-96.7776152
61,Texas,2018-19,Highland Park Pres Day Sch,Dallas,100,32.8447418,-96.7990071
62,Texas,2018-19,Holy Cross,Matagorda,100,28.9846408,-95.9499935
63,Texas,2018-19,Holy Family Academy,Dallas,100,32.8396658,-97.0083348
64,Texas,2018-19,Holy Family Catholic School Austin,Travis,100,30.4893945,-97.760595
65,Texas,2018-19,Holy Family Catholic School Corpus Christi,Nueces,100,27.7652364,-97.4245246
66,Texas,2018-19,Holy Family Catholic School Fort Worth,Tarrant,100,32.736876,-97.417006
67,Texas,2018-19,Holy Family Catholic School Galveston,Galveston,100,29.294033,-94.793756
68,Texas,2018-19,Holy Ghost Catholic,Harris,100,29.7045745,-95.4774786
69,Texas,2018-19,Holy Name,Bexar,100,29.3628222,-98.4215231
70,Texas,2018-19,Holy Rosary Catholic,Tarrant,100,32.6603687,-97.1433405
71,Texas,2018-19,Holy Spirit Catholic Sch,Bexar,100,29.5382797,-98.5061815
72,Texas,2018-19,Holy Spirit Episcopal,Harris,100,29.77312,-95.5520584
73,Texas,2018-19,Holy Trinity Academy,Dallas,100,32.9316228,-96.7869631
74,Texas,2018-19,Holy Trinity Catholic,Dallas,100,32.8148562,-96.8030792
75,Texas,2018-19,Holy Trinity Catholic School Grapevine,Tarrant,100,32.8966303,-97.1003503
76,Texas,2018-19,Hq Academy Katy Islamic Academy,Harris,100,29.7608092,-95.702924
77,Texas,2018-19,Humble Christian,Harris,100,29.952958,-95.268641
78,Texas,2018-19,Ilm Academy,Harris,100,29.7899792,-95.5497368
79,Texas,2018-19,Iman Academy Southeast,Harris,100,29.589886,-95.175502
80,Texas,2018-19,Immaculate Conception Catholic,Starr,100,26.3811446,-98.8203847
81,Texas,2018-19,Immaculate Conception Catholic School Denton,Denton,100,33.2377542,-97.1632603
82,Texas,2018-19,Immaculate Conception School - Grand Prairie,Dallas,100,32.7504253,-96.9806485
83,Texas,2018-19,Immanuel Lutheran School Giddings,Lee,100,30.1851355,-96.9351648
84,Texas,2018-19,Incarnate Word Academy Brownsville,Cameron,100,29.756066,-95.3573772
85,Texas,2018-19,Incarnate Word Academy Elementary Corpus Christi,Nueces,100,27.7623123,-97.3923104
86,Texas,2018-19,James L Collins Catholic Sch,Navarro,100,32.0864273,-96.4999837
87,Texas,2018-19,Jean Massieu Academy,Tarrant,100,32.7475833,-97.1062554
88,Texas,2018-19,John Paul Ii Catholic School Houston,Harris,100,29.7612833,-95.6338016
89,Texas,2018-19,Kenedy County Wide CSD,Kenedy,100,26.8697147,-97.6982272
90,Texas,2018-19,Kenmont ,Cameron,100,25.9410927,-97.5061121
91,Texas,2018-19,Keystone,Bexar,100,29.4521927,-98.4928326
92,Texas,2018-19,Kids R Kids No. 1 Cinco Ranch,Harris,100,29.7329059,-95.7531185
93,Texas,2018-19,Kids R Kids No. 12 Missouri City,Fort Bend,100,29.5809233,-95.5764424
94,Texas,2018-19,Kids R Kids No. 30 Barker Cypress,Harris,100,29.9360999,-95.6808032
95,Texas,2018-19,Kids R Kids No. 32 Lakes Of Eldridge,Harris,100,29.8585012,-95.6074007
96,Texas,2018-19,Kids R Kids No. 40 Houston Metro,Fort Bend,100,29.7004634,-95.6895584
97,Texas,2018-19,Kids R Kids No. 49 Coles Crossing,Harris,100,29.9803523,-95.6527877
98,Texas,2018-19,Kids R Kids No. 59,Williamson,100,30.574718,-97.669186
99,Texas,2018-19,Killeen Sda Jr Acad,Bell,100,31.122315,-97.691121
100,Texas,2018-19,La Academia De Estrellas,Dallas,100,32.7050171,-96.9008327
101,Texas,2018-19,La Fe Preparatory,El Paso,100,31.753618,-106.4816128
102,Texas,2018-19,Lakehill Preparatory,Dallas,100,32.8227939,-96.7491065
103,Texas,2018-19,Levelland Christian,Hockley,100,33.587033,-102.326649
104,Texas,2018-19,Lord Of Life Lutheran,Galveston,100,29.5519136,-95.1849782
105,Texas,2018-19,Marigold Learning Academy,Rockwall,100,32.9300273,-96.4628912
106,Texas,2018-19,Mary Help Of Chrisitans,Webb,100,27.5686711,-99.4942367
107,Texas,2018-19,Mary Immaculate Sch,Dallas,100,32.936898,-96.8843619
108,Texas,2018-19,Memorial Christian Academy,Bell,100,31.079923,-97.7399609
109,Texas,2018-19,Memorial Lutheran Houston,Harris,100,29.7389878,-95.4799267
110,Texas,2018-19,Merryhill School Arlington,Tarrant,100,32.685352,-97.115866
111,Texas,2018-19,Montessori Episcopal School Lewisville,Denton,100,33.04822,-97.027011
112,Texas,2018-19,Most Precious Blood Sch,Nueces,100,27.704565,-97.419858
113,Texas,2018-19,Mountain West Montessori,El Paso,100,31.8153685,-106.5688259
114,Texas,2018-19,Mt Sacred Heart Sch,Bexar,100,29.5077831,-98.502206
115,Texas,2018-19,Nazarene Christian Academy Big Spring,Howard,100,32.2351613,-101.4838699
116,Texas,2018-19,New Life Christian Academy,Bexar,100,29.4035499,-98.6179807
117,Texas,2018-19,North Central Texas Academy At Happy Hill Farm,Hood,100,32.289889,-97.72975
118,Texas,2018-19,Notre Dame Catholic Sch,Kerr,100,30.0450253,-99.1381269
119,Texas,2018-19,Notre Dame Catholic Sch,Wichita,100,33.884686,-98.545662
120,Texas,2018-19,Nova Academy,Dallas,100,32.762698,-96.6877098
121,Texas,2018-19,Oak Forest Montessori,Gregg,100,32.5360848,-94.7697476
122,Texas,2018-19,Our Lady Of Fatima Elementary,Galveston,100,29.3943901,-94.9197021
123,Texas,2018-19,Our Lady Of Fatima Sch,Harris,100,29.7392123,-95.2404803
124,Texas,2018-19,Our Lady Of Grace Catholic,Atascosa,100,28.9705591,-98.475012
125,Texas,2018-19,Our Lady Of Guadalupe Sch,Harris,100,29.7591992,-95.3472191
126,Texas,2018-19,Our Lady Of Guadalupe,Webb,100,27.5145717,-99.5009816
127,Texas,2018-19,Our Lady Of Perp Help,Dallas,100,32.8360034,-96.8520386
128,Texas,2018-19,Our Lady Of Perp Help,Nueces,100,27.7027054,-97.3671417
129,Texas,2018-19,Our Lady Of Perp Help Sch,Guadalupe,100,29.5854518,-98.3073213
130,Texas,2018-19,Our Lady Of Refuge,Maverick,100,28.7251211,-100.4895413
131,Texas,2018-19,Our Lady Of Sorrows,Hidalgo,100,26.2100934,-98.2304258
132,Texas,2018-19,Our Lady Of The Gulf Catholic,Calhoun,100,28.6113662,-96.6270295
133,Texas,2018-19,Our Lady Of Victory Sch,Tarrant,100,32.7005902,-97.3324577
134,Texas,2018-19,Our Lady Of Victory Sch,Victoria,100,28.8241054,-96.9911372
135,Texas,2018-19,Our Lady Queen Of Peace Catholic Sch,Brazoria,100,29.0686617,-95.418704
136,Texas,2018-19,Palm Tree Academy,El Paso,100,31.8187665,-106.5116855
137,Texas,2018-19,Parish Episcopal,Dallas,100,32.934938,-96.8434752
138,Texas,2018-19,Pharr Oratory Of St Philip Neri School S,Hidalgo,100,26.1744957,-98.20498
139,Texas,2018-19,Presbyterian,Harris,100,29.6600973,-95.3893719
140,Texas,2018-19,Preston Hollow Presbyterian,Dallas,100,32.8816453,-96.802828
141,Texas,2018-19,Primrose School At Crossroads Park,Harris,100,29.915703,-95.609535
142,Texas,2018-19,Primrose School At Fall Creek,Harris,100,29.935577,-95.26796
143,Texas,2018-19,Primrose School At Sonoma Ranch,Bexar,100,29.5881175,-98.5306137
144,Texas,2018-19,Primrose School At Sterling Ridge,Montgomery,100,30.1831056,-95.5383754
145,Texas,2018-19,Primrose School At Summerwood,Harris,100,29.928717,-95.176812
146,Texas,2018-19,Primrose School Of Barker Cypress,Harris,100,29.957411,-95.670644
147,Texas,2018-19,Primrose School Of Bedford,Tarrant,100,32.866166,-97.130657
148,Texas,2018-19,Primrose School Of Castle Hills,Dallas,100,33.034598,-96.88534
149,Texas,2018-19,Primrose School Of Eagle Springs,Harris,100,29.9783497,-95.1875364
150,Texas,2018-19,Primrose School Of East Allen,Collin,100,33.1143247,-96.6273826
151,Texas,2018-19,Primrose School Of Eldorado,Collin,100,33.167238,-96.669163
152,Texas,2018-19,Primrose School Of Eldridge Parkway,Harris,100,29.74364,-95.624892
153,Texas,2018-19,Primrose School Of Firewheel,Dallas,100,32.96402,-96.6365039
154,Texas,2018-19,Primrose School Of Friendswood,Galveston,100,29.513234,-95.188562
155,Texas,2018-19,Primrose School Of Georgetown,Williamson,100,30.6342287,-97.6997048
156,Texas,2018-19,Primrose School Of Greatwood,Fort Bend,100,29.559485,-95.686824
157,Texas,2018-19,Primrose School Of Imperial Oaks,Harris,100,30.122755,-95.409512
158,Texas,2018-19,Primrose School Of Kingwood,Harris,100,30.047039,-95.23509
159,Texas,2018-19,Primrose School Of Lakehill,Collin,100,33.109251,-96.841467
160,Texas,2018-19,Primrose School Of Las Colinas,Dallas,100,32.899734,-96.957032
161,Texas,2018-19,Primrose School Of Ne Flower Mound,Denton,100,33.039481,-97.062833
162,Texas,2018-19,Primrose School Of North Lewisville,Denton,100,33.056252,-97.034772
163,Texas,2018-19,Primrose School Of Parkwood Hill,Tarrant,100,32.8758895,-97.264511
164,Texas,2018-19,Primrose School Of Plano At Preston Meadow,Collin,100,33.053398,-96.771141
165,Texas,2018-19,Primrose School Of Prosper,Collin,100,33.221617,-96.783672
