index,state,year,name,type,city,county,enroll,mmr,xmed,xper,xrel,lat,lng
1,Utah,2017-18,Antimony Elementary,Public,Antimony,Garfield,4,100,0,0,0,38.1177617,-111.9999178
2,Utah,2017-18,Blessed Sacrament,Private,Sandy,Salt Lake,128,100,0,0,0,40.5744475,-111.8423608
3,Utah,2017-18,Bluff Elementary,Public,Bluff,San Juan,100,100,0,0,0,37.2840308,-109.5513836
4,Utah,2017-18,Book Cliff Elementary,Public,Green River,Emery,10,100,0,0,0,38.9924627,-110.1591474
5,Utah,2017-18,Canyon View,Public,Ogden,Weber,12,100,0,0,0,41.245946,-111.9617508
6,Utah,2017-18,Channing Hall,Public,Draper,Salt Lake,468,100,0,0,0,40.506024,-111.884589
7,Utah,2017-18,Coral Canyon Elementary,Public,Washington,Washington,521,100,0,0,0,37.1623266,-113.4521533
8,Utah,2017-18,Escalante Elementary -Slc,Public,Salt Lake City,Salt Lake,462,100,0,0,0,40.789522,-111.9422453
9,Utah,2017-18,Eureka Elementary,Public,Eureka,Juab,92,100,0,0,0,39.9565752,-112.1133074
10,Utah,2017-18,Flaming Gorge Elementary,Public,Dutch John,Daggett,36,100,0,0,0,40.9306244,-109.3943756
11,Utah,2017-18,Granger Elementary,Public,West Valley City,Salt Lake,829,100,0,0,0,40.6919579,-111.9447731
12,Utah,2017-18,Grouse Creek,Public,Grouse Creek,Box Elder,6,100,0,0,0,41.709605,-113.88343
13,Utah,2017-18,Hanksville Elementary,Public,Hanksville,Wayne,14,100,0,0,0,38.3719001,-110.7150603
14,Utah,2017-18,Hillside Elementary,Public,West Valley City,Salt Lake,610,100,0,0,0,40.6784008,-112.0333026
15,Utah,2017-18,Iqra Academy Of Utah,Private,West Valley City,Salt Lake,45,100,0,0,0,40.6842001,-111.958525
16,Utah,2017-18,Je Cosgriff Memorial,Private,Salt Lake City,Salt Lake,216,100,0,0,0,40.7276026,-111.8238773
17,Utah,2017-18,Kearns - St. Ann,Private,Salt Lake City,Salt Lake,122,100,0,0,0,40.7239209,-111.8780981
18,Utah,2017-18,Koosharem Elementary,Public,Koosharem,Sevier,39,100,0,0,0,38.5105026,-111.8798877
19,Utah,2017-18,La Sal Elementary,Public,La Sal,San Juan,12,100,0,0,0,38.3356852,-109.2123235
20,Utah,2017-18,Mana Academy Charter,Public,West Valley City,Salt Lake,257,100,0,0,0,40.7199993,-111.9733147
21,Utah,2017-18,Oak Springs,Public,Provo,Utah,16,100,0,0,0,40.2329331,-111.6346375
22,Utah,2017-18,Our Lady Of Lourdes,Private,Salt Lake City,Salt Lake,174,100,0,0,0,40.7544726,-111.8607305
23,Utah,2017-18,Pleasant Green Elementary,Public,Magna,Salt Lake,628,100,0,0,0,40.7091118,-112.0865214
24,Utah,2017-18,Provo Canyon,Private,Provo,Utah,18,100,0,0,0,40.2923269,-111.6583039
25,Utah,2017-18,St.Joseph Catholic,Private,Ogden,Weber,241,100,0,0,0,41.210623,-111.9562084
26,Utah,2017-18,St.Marguerite Catholic,Private,Tooele,Tooele,10,100,0,0,0,40.5303506,-112.2832374
27,Utah,2017-18,St.Olaf,Private,Bountiful,Davis,100,100,0,0,0,40.8714924,-111.8753155
28,Utah,2017-18,Twin Peaks Elementary,Public,Salt Lake City,Salt Lake,378,100,0,0,0,40.6547029,-111.8610846
29,Utah,2017-18,Utah Schools For The Deaf & Blind At Ogden,Public,Ogden,Weber,26,100,0,0,0,41.250733,-111.9453906
30,Utah,2017-18,Vernon Elementary,Public,Vernon,Tooele,20,100,0,0,0,40.0934843,-112.4331492
31,Utah,2017-18,West Desert Elementary,Public,Trout Creek,Juab,11,100,0,0,0,39.6444685,-113.8887902
32,Utah,2017-18,Western Hills Elementary,Public,Kearns,Salt Lake,384,100,0,0,0,40.6557978,-112.0107491
33,Utah,2017-18,West Kearns Elementary,Public,Kearns,Salt Lake,711,99.86,0.14,0,0,40.6631688,-112.0015018
34,Utah,2017-18,Philo T. Farnsworth Elementary,Public,West Valley City,Salt Lake,558,99.82,0,0.18,0,40.6905912,-111.9915048
35,Utah,2017-18,Thomas O. Smith Elementary,Public,Ogden,Weber,500,99.8,0,0.2,0,41.2038799,-111.9595151
36,Utah,2017-18,Edison Elementary-Slc,Public,Salt Lake City,Salt Lake,452,99.78,0,0.22,0,40.7591727,-111.9347705
37,Utah,2017-18,Backman Elementary,Public,Salt Lake City,Salt Lake,413,99.76,0,0,0,40.7820562,-111.9345488
38,Utah,2017-18,Adams Elementary-Logan,Public,Logan,Cache,352,99.72,0,0.28,0,41.7413521,-111.8236526
39,Utah,2017-18,Ellis Elementary,Public,Logan,Cache,360,99.72,0,0.28,0,41.7369223,-111.8441087
40,Utah,2017-18,Hillsdale Elementary,Public,West Valley City,Salt Lake,677,99.7,0.3,0,0,40.7030254,-111.9695662
41,Utah,2017-18,Valley Crest Elementary,Public,West Valley City,Salt Lake,604,99.67,0,0.17,0,40.7046621,-112.0165005
42,Utah,2017-18,Bridger Elementary,Public,Logan,Cache,695,99.57,0,0.43,0,41.75509,-111.8454069
43,Utah,2017-18,Taylorsville Elementary,Public,Salt Lake City,Salt Lake,453,99.56,0,0.44,0,40.6794847,-111.9444876
44,Utah,2017-18,Franklin Elementary - Slc,Public,Salt Lake City,Salt Lake,405,99.51,0,0.49,0,40.7622497,-111.9231012
45,Utah,2017-18,Rolling Meadows Elementary,Public,Salt Lake City,Salt Lake,604,99.5,0.5,0,0,40.685407,-111.962486
46,Utah,2017-18,Jackling Elementary,Public,West Valley City,Salt Lake,396,99.49,0,0,0,40.69041,-112.0018494
47,Utah,2017-18,Mountain View Elementary-Slc,Public,Salt Lake City,Salt Lake,570,99.47,0,0.53,0,40.7393003,-111.9312372
48,Utah,2017-18,North Star Elementary,Public,Salt Lake City,Salt Lake,564,99.47,0,0,0.53,40.803708,-111.9474051
49,Utah,2017-18,St.Vincent De Paul,Private,Salt Lake City,Salt Lake,187,99.47,0.53,0,0,40.6613117,-111.852921
50,Utah,2017-18,Liberty Elementary-Slc,Public,Salt Lake City,Salt Lake,348,99.43,0,0.57,0,40.7452153,-111.8844647
51,Utah,2017-18,Panorama Elementary,Public,St. George,Washington,506,99.41,0,0.59,0,37.1135299,-113.5375896
52,Utah,2017-18,Redwood Elementary,Public,Salt Lake City,Salt Lake,662,99.4,0,0,0,40.7136521,-111.9398274
53,Utah,2017-18,Hillcrest Elementary-Logan,Public,Logan,Cache,474,99.37,0,0.63,0,41.748531,-111.7990502
54,Utah,2017-18,Rose Park Elementary,Public,Salt Lake City,Salt Lake,392,99.23,0,0.77,0,40.7907322,-111.9231805
55,Utah,2017-18,Bonneville Elementary-Ogden,Public,Ogden,Weber,507,99.21,0,0.79,0,41.2552944,-111.9564205
56,Utah,2017-18,Montezuma Creek Elementary,Public,Montezuma Creek,San Juan,249,99.2,0,0.4,0,37.2604729,-109.3047434
57,Utah,2017-18,St.John The Baptist,Private,Draper,Salt Lake,490,99.18,0.2,0.41,0,40.5360453,-111.8824744
58,Utah,2017-18,North Rich Elementary,Public,Laketown,Rich,119,99.16,0,0.84,0,41.8228744,-111.3214217
59,Utah,2017-18,Sharon Elementary,Public,Orem,Utah,466,99.14,0,0.86,0,40.3070744,-111.6871297
60,Utah,2017-18,Carl Sandburg Elementary,Public,West Valley City,Salt Lake,337,99.11,0,0.59,0,40.68715,-112.0189945
61,Utah,2017-18,Riverside Elementary-W. Jordan,Public,West Jordan,Salt Lake,772,99.09,0,0.91,0,40.592741,-111.926007
62,Utah,2017-18,Meadowlark Elementary,Public,Salt Lake City,Salt Lake,434,99.08,0,0.69,0,40.779951,-111.9470325
63,Utah,2017-18,Anna Smith Elementary,Public,Wendover,Tooele,215,99.07,0,0.93,0,40.7460452,-114.0417392
64,Utah,2017-18,Parkview Elementary-Slc,Public,Salt Lake City,Salt Lake,320,99.06,0,0.94,0,40.748577,-111.926488
65,Utah,2017-18,Riley Elementary,Public,Salt Lake City,Salt Lake,315,99.05,0,0.95,0,40.7385736,-111.9147741
66,Utah,2017-18,Robert Frost Elementary,Public,West Valley City,Salt Lake,407,99.02,0,0.98,0,40.6756586,-111.9741851
67,Utah,2017-18,Stansbury Elementary,Public,West Valley City,Salt Lake,921,99.02,0,0.98,0,40.7055522,-111.9589471
68,Utah,2017-18,Guadalupe,Public,Salt Lake City,Salt Lake,304,99.01,0,0.66,0,40.798932,-111.9261609
69,Utah,2017-18,Douglas T. Orchard Elementary School-Wvc,Public,West Valley City,Salt Lake,582,98.97,0.17,0.86,0,40.6900149,-112.0522034
70,Utah,2017-18,Monroe Elementary-West Valley,Public,West Valley City,Salt Lake,663,98.94,0,1.06,0,40.7049742,-111.9971781
71,Utah,2017-18,Lincoln Elementary-Granite,Public,Salt Lake City,Salt Lake,548,98.91,0,0.91,0,40.6907999,-111.8790115
72,Utah,2017-18,Oquirrh Hills Elementary,Public,Kearns,Salt Lake,357,98.88,0,0.84,0,40.6554391,-111.9925928
73,Utah,2017-18,Fremont Elementary,Public,Sunset,Davis,265,98.87,0,0.75,0.38,41.1504305,-112.0287164
74,Utah,2017-18,Gearld Wright Elementary,Public,Salt Lake City,Salt Lake,791,98.86,0.13,1.01,0,40.7048534,-112.0524809
75,Utah,2017-18,Horizon Elementary - Murray,Public,Murray,Salt Lake,681,98.83,0,1.17,0,40.6589576,-111.9107023
76,Utah,2017-18,Lake Ridge Elementary,Public,Magna,Salt Lake,491,98.78,0,1.02,0,40.6989645,-112.0688992
77,Utah,2017-18,South Kearns Elementary,Public,Kearns,Salt Lake,327,98.78,0,0.31,0,40.6502877,-111.996941
78,Utah,2017-18,Columbia Elementary-W. Jordan,Public,West Jordan,Salt Lake,634,98.74,0,1.1,0.16,40.6085581,-111.9754058
79,Utah,2017-18,David Gourley Elementary,Public,Kearns,Salt Lake,615,98.7,0,1.14,0,40.6625639,-111.9928732
80,Utah,2017-18,Milford Elementary,Public,Milford,Beaver,231,98.7,0,1.3,0,38.3939505,-113.0197762
81,Utah,2017-18,Bonneville Elementary-Slc,Public,Salt Lake City,Salt Lake,533,98.69,0,1.31,0,40.7443242,-111.8357292
82,Utah,2017-18,Wellington Elementary,Public,Wellington,Carbon,224,98.66,0.45,0.89,0,39.545557,-110.7386599
83,Utah,2017-18,Discovery Elementary-Brigham City,Public,Brigham City,Box Elder,519,98.65,0.19,0.96,0,41.5265916,-112.0220317
84,Utah,2017-18,Mill Creek Elementary,Public,Salt Lake City,Salt Lake,445,98.65,0,1.35,0,40.6893179,-111.8587267
85,Utah,2017-18,West Haven Elementary,Public,Ogden,Weber,659,98.63,0,0.91,0,41.1843404,-112.0761521
86,Utah,2017-18,Manila Elementary,Public,Manila,Daggett,72,98.61,0,1.39,0,40.991856,-109.727089
87,Utah,2017-18,Municipal Elementary,Public,Roy,Weber,358,98.6,0,0.84,0,41.1582176,-112.0339313
88,Utah,2017-18,Midvale Elementary,Public,Midvale,Salt Lake,772,98.58,0,0.52,0.13,40.6086937,-111.9027323
