index,state,year,name,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,Vermont,2018-19,Addison Central,Addison,65,100,100,,,,44.087942,44.087942
2,Vermont,2018-19,Allen Street Campus,Rutland,20,100,100,,,,43.599384,-72.958855
3,Vermont,2018-19,Brighton Elementary,Essex,87,100,97.70114943,,,,44.8215785,-71.8938945
4,Vermont,2018-19,Brookhaven Learning Center,Orange,13,100,92.30769231,,,,43.9929766,-72.4474525
5,Vermont,2018-19,Burke Mountain Academy,Caledonia,68,100,100,,,,44.5929334,-71.9056962
6,Vermont,2018-19,Burke Town,Caledonia,193,100,100,,,,44.624605,44.624605
7,Vermont,2018-19,Canaan Schools,Essex,167,100,98.80239521,,,,44.99539,44.99539
8,Vermont,2018-19,Castleton Village,Rutland,98,100,91.83673469,,,,43.612408,-73.178207
9,Vermont,2018-19,Christ Covenant,Washington,84,100,98.80952381,,,,43.9247446,-72.6656948
10,Vermont,2018-19,Community Schoolhouse,Windham,37,100,97.2972973,,,,42.8535104,-72.5635384
11,Vermont,2018-19,Connecticut River Academy,Orange,27,100,96.2962963,,,,43.98568,-72.121826
12,Vermont,2018-19,Dover Elementary,Windham,90,100,98.88888889,,,,42.938863,-72.80991
13,Vermont,2018-19,East Valley Academy,Orange,20,100,100,,,,43.9320097,-72.5521479
14,Vermont,2018-19,Elmore,Lamoille,13,100,92.30769231,,,,44.5406085,-72.5231674
15,Vermont,2018-19,Fairfield Center,Franklin,223,100,97.75784753,,,,44.800548,44.800548
16,Vermont,2018-19,Fay Honey Knopp,Rutland,9,100,100,,,,43.5954079,-72.9770574
17,Vermont,2018-19,Fletcher Elementary,Lamoille,97,100,96.90721649,,,,44.67049,-72.923782
18,Vermont,2018-19,HARP,Windsor,15,100,93.33333333,,,,43.696484,-72.3241647
19,Vermont,2018-19,Holland Elementary,Orleans,30,100,96.66666667,,,,44.9730783,-72.0133074
20,Vermont,2018-19,Inspire For Autism Inc,Windham,14,100,100,,,,42.842979,-72.5752897
21,Vermont,2018-19,Isle La Motte Elementary,Grand Isle,29,100,100,,,,44.8823346,-73.346067
22,Vermont,2018-19,Jean Garvin,Chittenden,24,100,100,,,,44.4502695,-73.1191922
