index,name,state,city,county,enrollment,mmr,overall,xmed,xrel,xper,lat,lng
1,Academy Nw - Marysville Campus,Washington,Marysville,Snohomish,1,100,100,0,0,0,47.7825781,-122.2212001
2,Alfajer,Washington,Seattle,King,1,100,100,0,0,0,47.6385485,-122.3605128
3,Almira Elementary,Washington,Almira,Lincoln,3,100,100,0,0,0,47.7078084,-118.9407795
4,America's Child Montessori,Washington,Bellevue,King,13,100,100,0,0,0,47.6298661,-122.1486096
5,Apple Valley Elementary,Washington,Yakima,Yakima,69,100,100,0,0,0,46.5978171,-120.6241421
6,Applied Scholastics Academy Of Seattle,Washington,Seattle,King,2,100,100,0,0,0,47.6772225,-122.3223546
7,Beach Elem,Washington,Lummi Island,Whatcom,10,100,90,0,0,0,48.7250894,-122.6871187
8,Bel-Red Bilingual Academy,Washington,Bellevue,King,39,100,100,0,0,0,47.6272617,-122.1379997
9,Bellevue Montessori,Washington,Bellevue,King,26,100,100,0,0,0,47.6321914,-122.1914335
10,Bertschi,Washington,Seattle,King,36,100,97.22,0,0,2.78,47.639247,-122.3204491
11,Bethany Lutheran Elementary,Washington,Port Orchard,Kitsap,16,100,100,0,0,0,47.5260852,-122.6482434
12,Blossoming Hill Montessori,Washington,Maple Valley,King,7,100,100,0,0,0,47.407957,-122.021862
13,Boistfort Elem,Washington,Curtis,Lewis,9,100,100,0,0,0,46.5500592,-123.1328173
14,Buena Vista Sda,Washington,Auburn,King,19,100,100,0,0,0,47.2807066,-122.1571647
15,Camas Elementary,Washington,Wapato,Yakima,81,100,95.06,0,0,0,46.4386233,-120.4189428
16,Capital Montessori,Washington,Olympia,Thurston,10,100,100,0,0,0,47.0425517,-122.8432017
17,Captain Gray Elementary,Washington,Pasco,Franklin,69,100,97.1,0,0,0,46.2404616,-119.1039466
18,Carrolls Elementary,Washington,Carrolls,Cowlitz,16,100,93.75,0,0,0,46.070278,-122.865326
19,Cascade Christian Schools-Fredrickson Elementary,Washington,Tacoma,Pierce,48,100,100,0,0,0,47.0976309,-122.3831678
20,Cascadia Montessori,Washington,Redmond,King,26,100,100,0,0,0,47.6484745,-122.1255774
21,Cataldo,Washington,Spokane,Spokane,28,100,92.86,3.57,3.57,0,47.6387091,-117.4186366
22,Cathcart Elementary,Washington,Snohomish,Snohomish,56,100,100,0,0,0,47.8272793,-122.1221178
23,Cedar Crest Bellewood,Washington,Bellevue,King,52,100,100,0,0,0,47.6298727,-122.1922937
24,Centerville Elementary,Washington,Centerville,Klickitat,6,100,83.33,0,0,0,45.7528471,-120.8995126
25,Christ The King,Washington,Richland,Benton,43,100,100,0,0,0,46.2825533,-119.2855221
26,Christ The King,Washington,Seattle,King,20,100,100,0,0,0,47.7138423,-122.3535149
27,Clallam Bay High And Elementary,Washington,Clallam Bay,Clallam,11,100,100,0,0,0,48.2521529,-124.2586534
28,Colton,Washington,Colton,Whitman,13,100,100,0,0,0,46.5664405,-117.1311101
29,Columbia High And Elementary,Washington,Hunters,Stevens,8,100,100,0,0,0,48.1194695,-118.2025848
30,Concord Lutheran,Washington,Tacoma,Pierce,12,100,100,0,0,0,47.2059302,-122.4280277
31,Concordia Lutheran,Washington,Seattle,King,4,100,100,0,0,0,47.6803887,-122.2892184
32,Cottonwood Elementary,Washington,Bremerton,Kitsap,48,100,93.75,0,0,0,47.6424949,-122.646231
33,Creston Elementary,Washington,Creston,Lincoln,1,100,100,0,0,0,47.7549819,-118.5200414
34,Cypress Adventist,Washington,Lynnwood,Snohomish,4,100,75,0,0,0,47.8028725,-122.2581612
35,Damman Elementary,Washington,Ellensburg,Kittitas,7,100,100,0,0,0,46.9699644,-120.5707975
36,Discovery Montessori,Washington,Port Orchard,Kitsap,11,100,100,0,0,0,47.5334621,-122.6367225
37,Dower Elementary,Washington,Lakewood,Pierce,53,100,100,0,0,0,47.1857499,-122.5226821
38,Eagle Rock Multiage,Washington,Duvall,King,10,100,90,10,0,0,47.7348642,-121.9491595
39,East Valley Elementary,Washington,Yakima,Yakima,81,100,100,0,0,0,46.5752673,-120.4025966
40,Emerson Elementary,Washington,Pasco,Franklin,101,100,98.02,0,0,0,46.2376156,-119.1108143
41,Epiphany,Washington,Seattle,King,34,100,100,0,0,0,47.6181091,-122.2867518
42,Fairmount Elementary,Washington,Everett,Snohomish,7,100,100,0,0,0,47.8944611,-122.2693616
43,Fairview Christian,Washington,Seattle,King,11,100,90.91,0,0,9.09,47.6857193,-122.3184389
44,Garfield Elementary,Washington,Garfield,Whitman,6,100,100,0,0,0,47.0135981,-117.1407366
45,George Elementary,Washington,Quincy,Grant,23,100,95.65,0,0,0,47.0762953,-119.8565326
46,Gig Harbor Academy,Washington,Gig Harbor,Pierce,14,100,92.86,0,0,7.14,47.285603,-122.630004
47,Glenwood Elementary,Washington,Glenwood,Klickitat,2,100,100,0,0,0,46.0209185,-121.2906856
48,Grace Christian Academy,Washington,Republic,Ferry,1,100,100,0,0,0,48.6481069,-118.7384298
49,Grace Lutheran,Washington,Yakima,Yakima,3,100,100,0,0,0,46.5828095,-120.5155841
50,Grandview Adventist Junior Academy,Washington,Grandview,Yakima,4,100,100,0,0,0,46.25626,-119.8945153
51,Grant Elementary,Washington,East Wenatchee,Douglas,85,100,98.82,0,0,0,47.4034762,-120.2640772
52,Grays Harbor Adventist Christian,Washington,Montesano,Grays Harbor,1,100,100,0,0,0,46.9754103,-123.6588615
53,Guardian Angel St. Boniface,Washington,Colton,Whitman,4,100,100,0,0,0,46.5709731,-117.129024
54,Harrah Community Christian,Washington,Harrah,Yakima,4,100,100,0,0,0,46.4036356,-120.5474424
55,Highland Terrace Elementary,Washington,Shoreline,King,71,100,100,0,0,0,47.745914,-122.359616
56,Holy Family Bi-Lingual,Washington,Seattle,King,18,100,100,0,0,0,47.5169883,-122.3595786
57,Holy Family,Washington,Clarkston,Asotin,12,100,100,0,0,0,46.410913,-117.0510449
58,Holy Rosary Edmonds,Washington,Edmonds,Snohomish,28,100,92.86,0,0,7.14,47.8152625,-122.3711831
59,Holy Trinity Lutheran,Washington,Des Moines,King,18,100,100,0,0,0,47.368188,-122.307467
60,Hoover Elementary,Washington,Yakima,Yakima,120,100,96.67,0,0,0,46.5809477,-120.5126361
61,Jewish Day,Washington,Bellevue,King,11,100,100,0,0,0,47.612981,-122.1283035
62,Journey,Washington,Lynnwood,Snohomish,13,100,100,0,0,0,47.8026048,-122.2591263
63,Kahlotus Elementary And High,Washington,Kahlotus,Franklin,2,100,100,0,0,0,46.6413367,-118.5565041
64,Lakewood Lutheran,Washington,Lakewood,Pierce,9,100,100,0,0,0,47.1553465,-122.5719197
65,Leonard M Jennings Elementary,Washington,Colfax,Whitman,42,100,100,0,0,0,46.8945859,-117.3606661
66,Les Lilas,Washington,Kirkland,King,2,100,100,0,0,0,47.6647954,-122.1661701
67,Lewis County Adventist,Washington,Chehalis,Lewis,2,100,100,0,0,0,46.661791,-123.0142428
68,Living Montessori Academy,Washington,Bellevue,King,19,100,100,0,0,0,47.6324014,-122.1547126
69,Longfellow Elementary,Washington,Pasco,Franklin,57,100,98.25,0,0,0,46.2310677,-119.1016406
70,Loyal Heights Elementary,Washington,Seattle,King,70,100,97.14,0,0,2.86,47.685192,-122.3890677
71,Lyman Elementary,Washington,Lyman,Skagit,17,100,100,0,0,0,48.5280546,-122.0697855
72,Lynndale Elementary,Washington,Lynnwood,Snohomish,60,100,96.67,1.67,0,1.67,47.8258039,-122.3315934
73,Mary Purcell Elementary,Washington,Sedro-Woolley,Skagit,48,100,100,0,0,0,48.5001206,-122.2287983
74,Matheia,Washington,Seattle,King,1,100,100,0,0,0,47.6774734,-122.3846273
75,Maya Angelou Elementary,Washington,Pasco,Franklin,123,100,100,0,0,0,46.2816185,-119.1994448
76,Michael Anderson Elementary,Washington,Fairchild AFB,Spokane,77,100,97.4,0,0,2.6,47.6316336,-117.6606452
77,Montessori School Of Pullman,Washington,Pullman,Whitman,7,100,100,0,0,0,46.731053,-117.183229
78,Newport Children's,Washington,Bellevue,King,21,100,100,0,0,0,47.5686924,-122.1666764
79,North Country Christian,Washington,Oroville,Okanogan,1,100,100,0,0,0,48.939196,-119.095424
80,North Seattle French,Washington,Seattle,King,13,100,84.62,0,0,0,47.6773216,-122.3528675
81,Northlake Preschool/ Northlake Academy,Washington,Kirkland,King,26,100,100,0,0,0,47.713639,-122.1676529
82,Northwest Christian,Washington,Puyallup,Pierce,20,100,100,0,0,0,47.1828869,-122.2580901
83,Northwest School For Hearing Impaired,Washington,Shoreline,King,2,100,100,0,0,0,47.7408548,-122.3502443
84,Nueva Esperanza Leadership Acamy,Washington,Prescott,Walla Walla,4,100,100,0,0,0,46.315,-118.7661111
85,Oakbrook Elementary,Washington,Lakewood,Pierce,44,100,100,0,0,0,47.1861212,-122.5485457
