index,state,year,name,type,address,city,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1,Wisconsin,2018-19,Al Behrman Elementary,,,Baraboo,Sauk,,,,95,,5,5,43.458278,-89.738543
2,Wisconsin,2018-19,Albany Elementary,,,Albany,Green,,,,95,,5,5,42.706961,-89.434
3,Wisconsin,2018-19,Alma Elementary,,,Alma,Buffalo,,,,95,,5,5,44.363158,-91.943294
4,Wisconsin,2018-19,Arcadia Elementary,,,Arcadia,Trempealeau,,,,95,,5,5,44.25289,-91.495131
5,Wisconsin,2018-19,Argyle Elementary,,,Argyle,Lafayette,,,,95,,5,5,42.707231,-89.868213
6,Wisconsin,2018-19,Assumption Catholic,,,Durand,Pepin,,,,95,,5,5,44.622429,-91.971544
7,Wisconsin,2018-19,Auburndale Elementary,,,Auburndale,Wood,,,,95,,5,5,44.629299,-90.010987
8,Wisconsin,2018-19,Augusta Elementary,,,Augusta,Eau Claire,,,,95,,5,5,44.685257,-91.141028
9,Wisconsin,2018-19,Bader Hillel Academy,,,Milwaukee,Milwaukee,,,,95,,5,5,43.1472184,-87.9400902
10,Wisconsin,2018-19,Bannach Elementary,,,Stevens Point,Portage,,,,95,,5,5,44.528174,-89.51768
11,Wisconsin,2018-19,Banta,,,Menasha,Winnebago,,,,95,,5,5,44.209532,-88.450046
12,Wisconsin,2018-19,Barneveld Elementary,,,Barneveld,Iowa,,,,95,,5,5,43.013,-89.895465
13,Wisconsin,2018-19,Beautiful Savior Lutheran,,,Waukesha,Waukesha,,,,95,,5,5,42.9911374,-88.2263582
14,Wisconsin,2018-19,Believers in Christ Academy,,,Milwaukee,Milwaukee,,,,95,,5,5,43.0913086,-87.9451732
15,Wisconsin,2018-19,Ben Franklin Elementary,,,Franklin,Milwaukee,,,,95,,5,5,42.898346,-88.008989
16,Wisconsin,2018-19,Benjamin Franklin El&amp;Early Lrn,,,Menomonee Falls,Waukesha,,,,95,,5,5,43.1654969,-88.0924934
17,Wisconsin,2018-19,Berry Elementary,,,Appleton,Outagamie,,,,95,,5,5,44.227788,-88.378983
18,Wisconsin,2018-19,Bird Elementary,,,Sun Prairie,Dane,,,,95,,5,5,43.1957535,-89.2272018
19,Wisconsin,2018-19,Black Earth Elementary,,,Black Earth,Dane,,,,95,,5,5,43.138645,-89.74631
20,Wisconsin,2018-19,Blessed Savior Catholic,,,Milwaukee,Milwaukee,,,,95,,5,5,43.0909093,-87.9928051
21,Wisconsin,2018-19,Brandon Elementary,,,Brandon,Fond du Lac,,,,95,,5,5,43.732784,-88.784152
22,Wisconsin,2018-19,Brookfield Academy,,,Brookfield,Waukesha,,,,95,,5,5,43.08191,-88.144972
23,Wisconsin,2018-19,Brookfield Elementary,,,Brookfield,Waukesha,,,,95,,5,5,43.064992,-88.144499
24,Wisconsin,2018-19,Bruce Elementary,,,Bruce,Rusk,,,,95,,5,5,45.45975,-91.273529
25,Wisconsin,2018-19,Bruce Guadalupe,,,Milwaukee,Milwaukee,,,,95,,5,5,43.020718,-87.922096
26,Wisconsin,2018-19,Burleigh Elementary,,,Brookfield,Waukesha,,,,95,,5,5,43.077695,-88.113521
27,Wisconsin,2018-19,Butte des Morts Elementary,,,Menasha,Winnebago,,,,95,,5,5,44.207519,-88.451981
28,Wisconsin,2018-19,Cashton Elementary,,,Cashton,Monroe,,,,95,,5,5,43.739104,-90.783854
29,Wisconsin,2018-19,Cataract Elementary,,,Sparta,Monroe,,,,95,,5,5,44.084371,-90.840257
30,Wisconsin,2018-19,Cathedral,,,La Crosse,La Crosse,,,,95,,5,5,43.8060688,-91.2368308
31,Wisconsin,2018-19,Catholic East Elementary,,,Milwaukee,Milwaukee,,,,95,,5,5,43.062928,-87.8857994
32,Wisconsin,2018-19,Chilton Area Catholic,,,Chilton,Calumet,,,,95,,5,5,44.0301422,-88.1611807
33,Wisconsin,2018-19,Chilton Elementary,,,Chilton,Calumet,,,,95,,5,5,44.028526,-88.173427
34,Wisconsin,2018-19,Christ King,,,Wauwatosa,Milwaukee,,,,95,,5,5,43.0669039,-88.0269965
35,Wisconsin,2018-19,Christian Life,,,Kenosha,Kenosha,,,,95,,5,5,42.57,-87.939081
36,Wisconsin,2018-19,Clay Lamberton Elementary,,,Berlin,Green Lake,,,,95,,5,5,43.974718,-88.939666
37,Wisconsin,2018-19,Columbus Elementary,,,Columbus,Columbia,,,,95,,5,5,43.335585,-89.021547
38,Wisconsin,2018-19,Coon Valley Elementary,,,Coon Valley,Vernon,,,,95,,5,5,43.69962,-91.014866
39,Wisconsin,2018-19,Cooper Elementary,,,Sheboygan,Sheboygan,,,,95,,5,5,43.770299,-87.733337
40,Wisconsin,2018-19,County Line Elementary,,,Germantown,Washington,,,,95,,5,5,43.197989,-88.107389
41,Wisconsin,2018-19,Crandon Elementary,,,Crandon,Forest,,,,95,,5,5,45.573725,-88.925584
42,Wisconsin,2018-19,Crivitz Elementary,,,Crivitz,Marinette,,,,95,,5,5,45.23445,-88.004942
43,Wisconsin,2018-19,Cuba City Elementary,,,Cuba City,Grant,,,,95,,5,5,42.608679,-90.437439
44,Wisconsin,2018-19,Davey Elementary,,,Eau Claire,Eau Claire,,,,95,,5,5,44.851262,-91.478712
45,Wisconsin,2018-19,Davids Star Lutheran,,,Jackson,Washington,,,,95,,5,5,43.288707,-88.105276
46,Wisconsin,2018-19,Decorah Elementary,,,West Bend,Washington,,,,95,,5,5,43.403914,-88.173447
47,Wisconsin,2018-19,Dickinson Elementary,,,De Pere,Brown,,,,95,,5,5,44.443332,-88.051753
48,Wisconsin,2018-19,Divine Mercy,,,South Milwaukee,Milwaukee,,,,95,,5,5,42.930104,-87.856172
49,Wisconsin,2018-19,Divine Savior Catholic,,,Fredonia,Ozaukee,,,,95,,5,5,43.46984,-87.949246
50,Wisconsin,2018-19,Dixon Elementary,,,Brookfield,Waukesha,,,,95,,5,5,43.062349,-88.10474
51,Wisconsin,2018-19,Doubek Elementary,,,East Troy,Walworth,,,,95,,5,5,42.7871838,-88.4093944
52,Wisconsin,2018-19,Douglas Elementary,,,Watertown,Jefferson,,,,95,,5,5,43.205043,-88.716067
53,Wisconsin,2018-19,Downsville Elementary,,,Downsville,Dunn,,,,95,,5,5,44.777572,-91.928598
54,Wisconsin,2018-19,Eagle Sch of Madison,,,Madison,Dane,,,,95,,5,5,43.0103445,-89.4225919
